Avg degree: 11.1731843575419

Gene	Degree
AL355499.1	178
AC087312.1	98
SPIB	63
FGD6	63
NOTCH3	56
AP003351.1	53
XRCC6	51
LINC01611	50
TRIP6	49
FER	46
KCNH4	44
AC091152.3	44
AC004156.1	44
EDNRA	43
HMGB3P18	42
VAC14	40
SUGCT	40
OSBPL7	39
PAPPA2	34
APOE	33
AC024267.2	31
PROCR	29
KIF15	28
FAM186B	27
CCND2	27
HGFAC	26
FOXO3	26
ZNF467	24
GATA2	24
LCA5L	23
EBF1	23
AC004869.1	22
LIG3	21
LUZP1	20
ITGA1	20
MYPN	19
AC074286.1	19
DOT1L	16
ZNF516	15
AC009070.1	15
PDE3A	14
FNDC3B	14
AC007563.2	14
AP000317.2	13
