('M0P1', 'M0P2') [[50.39947]]
('N20', 'N149') [[19.598185]]
('N80', 'N100') [[19.21419]]
('N103', 'N133') [[19.150106]]
('N20', 'N160') [[18.994976]]
('N20', 'N103') [[18.972036]]
('N20', 'N116') [[18.942917]]
('N100', 'N133') [[18.929718]]
('N71', 'N135') [[18.863316]]
('N127', 'M0P1') [[18.851892]]
('N8', 'N20') [[18.829206]]
('N8', 'N107') [[18.8215]]
('N8', 'N242') [[18.820053]]
('N4', 'N82') [[18.8089]]
('N20', 'N73') [[18.807835]]
('N113', 'N160') [[18.807386]]
('N100', 'N174') [[18.796955]]
('N20', 'N117') [[18.790924]]
('N20', 'N139') [[18.787731]]
('N20', 'N80') [[18.782598]]
('N65', 'N116') [[18.780699]]
('N8', 'M0P1') [[18.78064]]
('N20', 'N56') [[18.77872]]
('N20', 'M0P1') [[18.773615]]
('N20', 'N141') [[18.767359]]
('N23', 'N171') [[18.756382]]
('N5', 'N20') [[18.754337]]
('N23', 'N232') [[18.751822]]
('N121', 'N231') [[18.746946]]
('N218', 'M0P2') [[18.744555]]
('N43', 'N133') [[18.741827]]
('N127', 'M0P2') [[18.739855]]
('N20', 'N133') [[18.726833]]
('N20', 'N76') [[18.721972]]
('N133', 'N171') [[18.72024]]
('N80', 'N240') [[18.717237]]
('N116', 'N121') [[18.71389]]
('N2', 'N133') [[18.71285]]
('N18', 'N202') [[18.7121]]
('N100', 'N242') [[18.709343]]
('N175', 'N185') [[18.706299]]
('N8', 'N23') [[18.703388]]
('N199', 'N242') [[18.700567]]
('N48', 'N55') [[18.694483]]
('N20', 'N158') [[18.69188]]
('N218', 'M0P1') [[18.691559]]
('N20', 'N86') [[18.688927]]
('N103', 'N107') [[18.688921]]
('N20', 'N48') [[18.686459]]
('N48', 'N135') [[18.685846]]
('N23', 'N97') [[18.685474]]
('N53', 'N188') [[18.679735]]
('N197', 'N227') [[18.677322]]
('N60', 'M0P1') [[18.676073]]
('N20', 'N120') [[18.661915]]
('N20', 'N113') [[18.66161]]
('N4', 'N20') [[18.661531]]
('N148', 'N225') [[18.657204]]
('N20', 'M0P2') [[18.655245]]
('N55', 'N121') [[18.650524]]
('N118', 'N148') [[18.648062]]
('N100', 'N103') [[18.64751]]
('N8', 'N155') [[18.646929]]
('N25', 'N100') [[18.636168]]
('N133', 'N149') [[18.634573]]
('N100', 'N200') [[18.632298]]
('N194', 'N227') [[18.629402]]
('N8', 'N100') [[18.627077]]
('N20', 'N185') [[18.626112]]
('N20', 'N130') [[18.61852]]
('N65', 'N103') [[18.61842]]
('N64', 'N155') [[18.618273]]
('N20', 'N28') [[18.615871]]
('N117', 'N242') [[18.61315]]
('N8', 'N48') [[18.61223]]
('N8', 'N113') [[18.60958]]
('N8', 'N55') [[18.609106]]
('N116', 'N159') [[18.607187]]
('N134', 'N135') [[18.604015]]
('N65', 'N212') [[18.602053]]
('N8', 'N212') [[18.600554]]
('N100', 'N145') [[18.59784]]
('N135', 'N199') [[18.590225]]
('N24', 'N212') [[18.590174]]
('N23', 'N175') [[18.589651]]
('N97', 'N212') [[18.588705]]
('N117', 'N160') [[18.587599]]
('N133', 'N218') [[18.58238]]
('N53', 'M0P1') [[18.577671]]
('N64', 'N82') [[18.575521]]
('N39', 'N149') [[18.57364]]
('N20', 'N100') [[18.572838]]
('N113', 'N135') [[18.572346]]
('N175', 'N212') [[18.56625]]
('N65', 'N165') [[18.565588]]
('N20', 'N79') [[18.56524]]
('N4', 'N235') [[18.562136]]
('N8', 'N53') [[18.560654]]
('N4', 'N53') [[18.558933]]
('N20', 'N36') [[18.558134]]
('N102', 'N132') [[18.557056]]
('N8', 'M0P2') [[18.556362]]
('N20', 'N155') [[18.554277]]
('N20', 'N175') [[18.553247]]
('N60', 'N121') [[18.55242]]
('N148', 'N188') [[18.552402]]
('N23', 'N120') [[18.55157]]
('N117', 'N121') [[18.550476]]
('N117', 'N171') [[18.549105]]
('N36', 'N71') [[18.546326]]
('N97', 'N103') [[18.54488]]
('N20', 'N110') [[18.544798]]
('N109', 'N117') [[18.543139]]
('N118', 'N133') [[18.54302]]
('N48', 'N197') [[18.54276]]
('N36', 'N103') [[18.54235]]
('N13', 'N135') [[18.542328]]
('N82', 'N242') [[18.542234]]
('N155', 'N244') [[18.541391]]
('N36', 'N153') [[18.540888]]
('N8', 'N34') [[18.540586]]
('N100', 'N212') [[18.539991]]
('N23', 'N87') [[18.53914]]
('N36', 'N100') [[18.537762]]
('N133', 'N204') [[18.535416]]
('N133', 'N233') [[18.531511]]
('N23', 'N133') [[18.53015]]
('N8', 'N22') [[18.52782]]
('N113', 'N240') [[18.527359]]
('N134', 'N225') [[18.52685]]
('N100', 'N159') [[18.52575]]
('N20', 'N192') [[18.524803]]
('N130', 'N175') [[18.523706]]
('N53', 'N135') [[18.52351]]
('N42', 'N103') [[18.52244]]
('N23', 'N100') [[18.522398]]
('N33', 'N100') [[18.520481]]
('N60', 'M0P2') [[18.519297]]
('N36', 'N68') [[18.518282]]
('N113', 'N117') [[18.517645]]
('N71', 'N107') [[18.512138]]
('N8', 'N121') [[18.510302]]
('N20', 'N24') [[18.50791]]
('N20', 'N148') [[18.507883]]
('N32', 'N160') [[18.50785]]
('N100', 'N121') [[18.506638]]
('N100', 'N241') [[18.505505]]
('N175', 'N240') [[18.503468]]
('N20', 'N95') [[18.501276]]
('N139', 'N143') [[18.49927]]
('N20', 'N30') [[18.497643]]
('N133', 'N135') [[18.497528]]
('N79', 'N179') [[18.495985]]
('N197', 'N218') [[18.495316]]
('N8', 'N133') [[18.493572]]
('N4', 'N103') [[18.490273]]
('N18', 'N226') [[18.48888]]
('N24', 'N103') [[18.486513]]
('N117', 'N132') [[18.48498]]
('N64', 'N135') [[18.483839]]
('N48', 'N160') [[18.483698]]
('N39', 'N213') [[18.48347]]
('N8', 'N175') [[18.482998]]
('N103', 'N171') [[18.482422]]
('N56', 'N135') [[18.482319]]
('N23', 'N107') [[18.48101]]
('N113', 'N235') [[18.474092]]
('N130', 'N133') [[18.473759]]
('N48', 'N225') [[18.472397]]
('N8', 'N188') [[18.461653]]
('N100', 'N118') [[18.461098]]
('N59', 'N175') [[18.460121]]
('N20', 'N182') [[18.458673]]
('N20', 'N32') [[18.458557]]
('N53', 'N168') [[18.454624]]
('N103', 'N148') [[18.453974]]
('N79', 'N175') [[18.453579]]
('N188', 'N226') [[18.450312]]
('N20', 'N65') [[18.44796]]
('N133', 'N155') [[18.447868]]
('N100', 'N110') [[18.44645]]
('N100', 'N117') [[18.446178]]
('N48', 'N113') [[18.44577]]
('N20', 'N87') [[18.444977]]
('N133', 'N153') [[18.44267]]
('N113', 'N125') [[18.442036]]
('N148', 'N160') [[18.440722]]
('N20', 'N23') [[18.439898]]
('N77', 'N109') [[18.438658]]
('N97', 'N209') [[18.438421]]
('N8', 'N197') [[18.437023]]
('N18', 'N92') [[18.435272]]
('N116', 'N133') [[18.434202]]
('N107', 'N135') [[18.43396]]
('N39', 'N197') [[18.432846]]
('N96', 'N183') [[18.43249]]
('N133', 'N150') [[18.430817]]
('N107', 'N209') [[18.430431]]
('N23', 'N242') [[18.429972]]
('N20', 'N181') [[18.429466]]
('N13', 'N64') [[18.429129]]
('N23', 'N98') [[18.428474]]
('N116', 'N130') [[18.428448]]
('N155', 'N160') [[18.428097]]
('N120', 'N188') [[18.427536]]
('N18', 'N53') [[18.426003]]
('N70', 'N197') [[18.423199]]
('N118', 'N171') [[18.423094]]
('N120', 'N133') [[18.419783]]
('N188', 'N222') [[18.419527]]
('N73', 'N133') [[18.418589]]
('N24', 'N242') [[18.417364]]
('N133', 'N208') [[18.41664]]
('N8', 'N185') [[18.41534]]
('N100', 'N155') [[18.41474]]
('N20', 'N142') [[18.413288]]
('N103', 'N153') [[18.406706]]
('N169', 'N227') [[18.403116]]
('N155', 'N225') [[18.403002]]
('N36', 'N242') [[18.402685]]
('N35', 'N107') [[18.402592]]
('N113', 'N197') [[18.400333]]
('N20', 'N194') [[18.399984]]
('N113', 'N171') [[18.397945]]
('N20', 'N43') [[18.395302]]
('N20', 'N169') [[18.394716]]
('N103', 'N113') [[18.393692]]
('N20', 'N235') [[18.393126]]
('N107', 'N220') [[18.393116]]
('N65', 'N100') [[18.392988]]
('N133', 'N188') [[18.392092]]
('N121', 'N167') [[18.391396]]
('N121', 'N139') [[18.391161]]
('N64', 'N218') [[18.39062]]
('N36', 'N139') [[18.39054]]
('N36', 'N132') [[18.390238]]
('N36', 'N149') [[18.389755]]
('N107', 'N133') [[18.389309]]
('N20', 'N108') [[18.388277]]
('N149', 'N188') [[18.386684]]
('N64', 'M0P1') [[18.385208]]
('N87', 'N194') [[18.384518]]
('N24', 'N139') [[18.383976]]
('N100', 'N109') [[18.381409]]
('N23', 'N103') [[18.380539]]
('N48', 'N138') [[18.377169]]
('N134', 'N197') [[18.37472]]
('N8', 'N57') [[18.373852]]
('N117', 'N187') [[18.373253]]
('N4', 'N133') [[18.372633]]
('N39', 'N212') [[18.371891]]
('N79', 'N121') [[18.371876]]
('N53', 'N80') [[18.370771]]
('N118', 'N123') [[18.370686]]
('N4', 'N44') [[18.370584]]
('N65', 'N113') [[18.370415]]
('N103', 'N130') [[18.370115]]
('N117', 'N148') [[18.366787]]
('N48', 'N52') [[18.365934]]
('N48', 'N64') [[18.36546]]
('N8', 'N85') [[18.36437]]
('N44', 'N48') [[18.36365]]
('N72', 'N117') [[18.36287]]
('N117', 'N118') [[18.362574]]
('N20', 'N44') [[18.36254]]
('N135', 'N222') [[18.360516]]
('N120', 'N240') [[18.359468]]
('N39', 'N82') [[18.35855]]
('N103', 'N149') [[18.358099]]
