('M0P1', 'M0P2') [[45.767616]]
('N182', 'N196') [[21.820524]]
('N196', 'M0P2') [[21.434484]]
('N191', 'M0P2') [[20.851671]]
('N9', 'N237') [[20.549877]]
('N196', 'M0P1') [[20.527748]]
('N196', 'N246') [[20.45609]]
('N191', 'N196') [[20.412432]]
('N191', 'N195') [[20.383102]]
('N4', 'N182') [[20.354698]]
('N182', 'N226') [[20.280674]]
('N124', 'N191') [[20.272444]]
('N113', 'N191') [[20.243769]]
('N4', 'N196') [[20.209885]]
('N186', 'N196') [[20.18289]]
('N124', 'N182') [[20.177711]]
('N9', 'N196') [[20.165798]]
('N226', 'N232') [[20.133615]]
('N196', 'N244') [[20.070547]]
('N76', 'N182') [[20.066801]]
('N46', 'N232') [[20.06492]]
('N196', 'N226') [[20.060495]]
('N182', 'M0P1') [[20.055523]]
('N182', 'N191') [[20.044895]]
('N196', 'N248') [[20.039385]]
('N113', 'N196') [[20.000917]]
('N191', 'N214') [[19.983353]]
('N196', 'N229') [[19.976768]]
('N182', 'N186') [[19.972376]]
('N140', 'N196') [[19.97023]]
('N182', 'M0P2') [[19.966415]]
('N182', 'N246') [[19.963322]]
('N196', 'N213') [[19.9599]]
('N9', 'N182') [[19.955101]]
('N43', 'N196') [[19.945536]]
('N124', 'N196') [[19.937277]]
('N46', 'N182') [[19.92465]]
('N191', 'N226') [[19.895544]]
('N196', 'N232') [[19.883139]]
('N196', 'N204') [[19.881824]]
('N9', 'N85') [[19.875715]]
('N157', 'M0P2') [[19.864138]]
('N9', 'N232') [[19.863577]]
('N64', 'N182') [[19.850012]]
('N191', 'M0P1') [[19.839659]]
('N20', 'N182') [[19.831644]]
('N46', 'N119') [[19.82612]]
('N157', 'N226') [[19.819622]]
('N104', 'N196') [[19.811037]]
('N231', 'N237') [[19.802338]]
('N86', 'N182') [[19.791302]]
('N182', 'N216') [[19.78426]]
('N113', 'N182') [[19.782717]]
('N182', 'N244') [[19.781755]]
('N140', 'N182') [[19.770733]]
('N9', 'N214') [[19.77038]]
('N122', 'N182') [[19.76485]]
('N4', 'N9') [[19.760326]]
('N196', 'N231') [[19.756865]]
('N70', 'N182') [[19.751003]]
('N51', 'N207') [[19.749668]]
('N86', 'N196') [[19.743189]]
('N143', 'N196') [[19.73513]]
('N110', 'N182') [[19.72965]]
('N226', 'N244') [[19.729252]]
('N71', 'M0P1') [[19.725132]]
('N196', 'N211') [[19.720814]]
('N18', 'N102') [[19.720015]]
('N226', 'N248') [[19.71125]]
('N89', 'N182') [[19.706778]]
('N175', 'N196') [[19.70565]]
('N182', 'N213') [[19.699299]]
('N182', 'N230') [[19.694439]]
('N21', 'N182') [[19.681608]]
('N21', 'N196') [[19.681606]]
('N9', 'N191') [[19.656591]]
('N71', 'N213') [[19.65598]]
('N182', 'N193') [[19.655682]]
('N157', 'M0P1') [[19.65484]]
('N9', 'N21') [[19.654074]]
('N237', 'N248') [[19.650938]]
('N91', 'N182') [[19.650023]]
('N4', 'N226') [[19.648252]]
('N80', 'N196') [[19.645853]]
('N182', 'N204') [[19.645658]]
('N195', 'N196') [[19.645601]]
('N124', 'N216') [[19.6452]]
('N182', 'N185') [[19.644255]]
('N140', 'N184') [[19.642286]]
('N196', 'N200') [[19.641426]]
('N86', 'N140') [[19.633863]]
('N187', 'N232') [[19.633427]]
('N116', 'N124') [[19.624418]]
('N102', 'N111') [[19.62393]]
('N115', 'N180') [[19.623608]]
('N188', 'N196') [[19.620647]]
('N91', 'N213') [[19.618132]]
('N47', 'N196') [[19.617622]]
('N0', 'N182') [[19.61547]]
('N21', 'N175') [[19.614109]]
('N45', 'N91') [[19.613432]]
('N113', 'M0P1') [[19.61113]]
('N47', 'N182') [[19.61092]]
('N183', 'N185') [[19.610888]]
('N9', 'N248') [[19.61052]]
('N137', 'N226') [[19.602991]]
('N226', 'N240') [[19.602404]]
('N182', 'N229') [[19.600182]]
('N121', 'N226') [[19.59602]]
('N76', 'N191') [[19.594559]]
('N85', 'N231') [[19.590738]]
('N51', 'N187') [[19.590223]]
('N0', 'N191') [[19.58627]]
('N113', 'N134') [[19.581867]]
('N46', 'N136') [[19.580715]]
('N121', 'N196') [[19.580156]]
('N9', 'N113') [[19.578682]]
('N143', 'N186') [[19.575037]]
('N85', 'N196') [[19.5734]]
('N47', 'N226') [[19.57205]]
('N182', 'N195') [[19.570099]]
('N231', 'N236') [[19.565018]]
('N120', 'N136') [[19.563013]]
('N161', 'N182') [[19.56069]]
('N4', 'N113') [[19.560007]]
('N46', 'N194') [[19.553616]]
('N182', 'N238') [[19.550215]]
('N124', 'N195') [[19.54799]]
('N13', 'N246') [[19.54536]]
('N196', 'N216') [[19.543488]]
('N106', 'N191') [[19.538977]]
('N58', 'N191') [[19.538109]]
('N9', 'N20') [[19.53757]]
('N46', 'N120') [[19.534838]]
('N104', 'N133') [[19.534473]]
('N87', 'N196') [[19.530748]]
('N46', 'N85') [[19.530632]]
('N191', 'N239') [[19.530289]]
('N157', 'N232') [[19.530241]]
('N121', 'N183') [[19.529955]]
('N232', 'M0P2') [[19.529627]]
