('M0P1', 'M0P2') [[30.496181]]
('N88', 'N105') [[19.460491]]
('N54', 'N198') [[19.390306]]
('N177', 'N230') [[19.387722]]
('N172', 'N198') [[19.38296]]
('N129', 'N230') [[19.381418]]
('N17', 'N73') [[19.348242]]
('N88', 'N239') [[19.340078]]
('N32', 'N52') [[19.275942]]
('N61', 'N88') [[19.250782]]
('N158', 'N172') [[19.24256]]
('N55', 'N173') [[19.21796]]
('N53', 'N68') [[19.211576]]
('N3', 'N58') [[19.2115]]
('N54', 'N172') [[19.209242]]
('N61', 'N232') [[19.185963]]
('N196', 'N241') [[19.170135]]
('N32', 'N172') [[19.169455]]
('N115', 'N196') [[19.155819]]
('N105', 'N106') [[19.139067]]
('N106', 'N172') [[19.132244]]
('N106', 'N196') [[19.114115]]
('N55', 'N61') [[19.105972]]
('N94', 'N231') [[19.091019]]
('N152', 'N222') [[19.089209]]
('N17', 'N106') [[19.088749]]
('N88', 'N101') [[19.086355]]
('N54', 'N166') [[19.083565]]
('N105', 'N177') [[19.068024]]
('N3', 'N123') [[19.05524]]
('N162', 'N230') [[19.054386]]
('N201', 'N251') [[19.051643]]
('N198', 'N230') [[19.046686]]
('N56', 'N61') [[19.039911]]
('N12', 'N152') [[19.032125]]
('N88', 'N198') [[19.029993]]
('N3', 'N39') [[19.028982]]
('N230', 'N231') [[19.02738]]
('N22', 'N239') [[19.02494]]
('N88', 'N173') [[19.020447]]
('N22', 'N54') [[19.014236]]
('N185', 'N239') [[19.012152]]
('N1', 'N88') [[19.011219]]
('N46', 'N139') [[19.007296]]
('N74', 'N152') [[19.005754]]
('N88', 'N162') [[19.004217]]
('N172', 'N239') [[19.002481]]
('N88', 'N230') [[18.998547]]
('N68', 'N152') [[18.99455]]
('N56', 'N198') [[18.994352]]
('N73', 'N173') [[18.994024]]
('N21', 'N58') [[18.991545]]
('N115', 'N143') [[18.989765]]
('N73', 'N88') [[18.986187]]
('N102', 'N247') [[18.98339]]
('N172', 'N230') [[18.98211]]
('N52', 'N158') [[18.975756]]
('N168', 'N198') [[18.971786]]
('N219', 'N230') [[18.969154]]
('N177', 'N198') [[18.964966]]
('N182', 'N230') [[18.961765]]
('N88', 'N152') [[18.961075]]
('N74', 'N173') [[18.958885]]
('N88', 'N139') [[18.954731]]
('N139', 'N230') [[18.946764]]
('N52', 'N106') [[18.942804]]
('N198', 'N231') [[18.94198]]
