('M0P1', 'M0P2') [[39.81325]]
('N11', 'N176') [[19.65432]]
('N17', 'N26') [[19.490253]]
('N17', 'N176') [[19.459906]]
('N143', 'N144') [[19.45667]]
('N26', 'N126') [[19.410269]]
('N75', 'N176') [[19.399525]]
('N176', 'N232') [[19.376572]]
('N75', 'N166') [[19.309206]]
('N119', 'N126') [[19.271038]]
('N113', 'N150') [[19.256662]]
('N126', 'N176') [[19.248228]]
('N176', 'N191') [[19.235245]]
('N15', 'N120') [[19.20783]]
('N117', 'N137') [[19.207802]]
('N15', 'N198') [[19.192488]]
('N45', 'N253') [[19.1809]]
('N76', 'N166') [[19.180489]]
('N58', 'N176') [[19.173355]]
('N26', 'N176') [[19.167757]]
('N143', 'N217') [[19.16386]]
('N45', 'N176') [[19.158894]]
('N27', 'N91') [[19.155123]]
('N55', 'N113') [[19.140974]]
('N76', 'N89') [[19.140682]]
('N68', 'N176') [[19.124777]]
('N27', 'N253') [[19.123594]]
('N91', 'N232') [[19.12078]]
('N26', 'N162') [[19.120338]]
('N75', 'N233') [[19.118496]]
('N161', 'N166') [[19.118208]]
('N17', 'N73') [[19.103262]]
('N121', 'N176') [[19.103172]]
('N113', 'N126') [[19.087812]]
('N176', 'N200') [[19.083755]]
('N162', 'N219') [[19.070229]]
('N26', 'N79') [[19.06695]]
('N17', 'N188') [[19.066757]]
('N26', 'N219') [[19.06434]]
('N166', 'N176') [[19.060108]]
('N21', 'N219') [[19.059908]]
('N26', 'N232') [[19.049175]]
('N117', 'N247') [[19.032887]]
('N91', 'N106') [[19.028557]]
('N33', 'N253') [[19.027742]]
('N27', 'N176') [[19.022913]]
('N17', 'N126') [[19.017271]]
('N26', 'N113') [[19.010767]]
('N18', 'N113') [[19.00804]]
('N162', 'N176') [[19.003351]]
('N176', 'N233') [[19.001102]]
('N153', 'N176') [[18.997797]]
('N8', 'N170') [[18.991577]]
('N14', 'N219') [[18.982567]]
('N117', 'N219') [[18.98226]]
('N14', 'N55') [[18.971912]]
('N91', 'N176') [[18.964804]]
('N89', 'N253') [[18.960299]]
('N131', 'N150') [[18.959053]]
('N3', 'N233') [[18.94758]]
('N16', 'N106') [[18.944403]]
('N59', 'N176') [[18.94353]]
('N121', 'N204') [[18.939861]]
('N119', 'N174') [[18.93893]]
('N33', 'N176') [[18.936228]]
('N17', 'N145') [[18.933388]]
('N32', 'N200') [[18.933292]]
('N75', 'N100') [[18.93228]]
