('M0P1', 'M0P2') [[18.697329]]
('N116', 'M0P2') [[15.0258665]]
('N123', 'N144') [[14.997919]]
('N189', 'M0P1') [[14.896805]]
('N70', 'M0P1') [[14.889431]]
('N38', 'N94') [[14.800725]]
('N253', 'M0P1') [[14.763192]]
('N116', 'M0P1') [[14.728077]]
('N144', 'N187') [[14.632059]]
('N57', 'M0P1') [[14.62555]]
('N132', 'N151') [[14.523398]]
('N44', 'N151') [[14.50941]]
('N144', 'N253') [[14.497357]]
('N132', 'N187') [[14.492441]]
('N19', 'N83') [[14.480523]]
('N9', 'M0P1') [[14.479558]]
('N144', 'N204') [[14.470723]]
('N123', 'M0P1') [[14.46781]]
('N18', 'N144') [[14.458885]]
('N10', 'N197') [[14.439798]]
('N144', 'M0P1') [[14.439512]]
('N123', 'N204') [[14.431505]]
('N47', 'N242') [[14.414737]]
('N140', 'M0P1') [[14.410585]]
('N38', 'N47') [[14.408243]]
('N140', 'M0P2') [[14.400622]]
('N38', 'N44') [[14.39741]]
('N151', 'N187') [[14.372726]]
('N132', 'N197') [[14.369938]]
('N38', 'N57') [[14.368048]]
('N161', 'N253') [[14.366078]]
('N253', 'M0P2') [[14.365749]]
('N18', 'N221') [[14.365248]]
('N89', 'M0P1') [[14.35516]]
('N73', 'N143') [[14.352675]]
('N63', 'N253') [[14.352416]]
('N187', 'M0P1') [[14.350943]]
('N144', 'N170') [[14.324344]]
('N197', 'M0P1') [[14.322364]]
('N44', 'N94') [[14.320876]]
('N18', 'N89') [[14.311268]]
('N187', 'N221') [[14.307112]]
('N9', 'N89') [[14.305254]]
('N73', 'N187') [[14.301687]]
('N132', 'N253') [[14.298647]]
('N83', 'M0P1') [[14.297761]]
('N10', 'N242') [[14.289148]]
('N47', 'N151') [[14.288714]]
('N170', 'N253') [[14.285914]]
('N223', 'M0P1') [[14.282912]]
('N44', 'N116') [[14.282486]]
('N16', 'N54') [[14.27162]]
('N81', 'N187') [[14.264002]]
('N19', 'N143') [[14.261542]]
('N115', 'N132') [[14.260069]]
('N9', 'N54') [[14.250466]]
('N233', 'N253') [[14.247767]]
('N18', 'N139') [[14.242639]]
('N18', 'N123') [[14.24168]]
('N187', 'N209') [[14.2366495]]
('N18', 'N46') [[14.230719]]
('N22', 'N47') [[14.230107]]
('N51', 'N89') [[14.229278]]
('N44', 'N47') [[14.229179]]
('N140', 'N187') [[14.227786]]
('N18', 'N242') [[14.226164]]
('N94', 'N143') [[14.225841]]
('N229', 'M0P1') [[14.222954]]
('N132', 'N144') [[14.219484]]
('N47', 'N201') [[14.218135]]
('N54', 'N132') [[14.218015]]
('N73', 'N221') [[14.212708]]
('N138', 'N253') [[14.212654]]
('N94', 'N100') [[14.209304]]
('N187', 'N253') [[14.204283]]
('N57', 'M0P2') [[14.204167]]
('N189', 'N253') [[14.204054]]
('N204', 'M0P1') [[14.200395]]
('N41', 'M0P1') [[14.19653]]
('N18', 'N187') [[14.195686]]
('N123', 'N187') [[14.194118]]
('N47', 'N187') [[14.190503]]
('N72', 'N144') [[14.187621]]
('N44', 'N253') [[14.180274]]
('N16', 'N144') [[14.178453]]
('N16', 'N197') [[14.176845]]
('N144', 'N151') [[14.176614]]
('N89', 'N139') [[14.172338]]
('N143', 'N152') [[14.170948]]
('N44', 'N150') [[14.168884]]
('N38', 'N132') [[14.167508]]
('N63', 'N73') [[14.162629]]
('N123', 'N239') [[14.159887]]
('N16', 'N44') [[14.159153]]
('N16', 'N187') [[14.152437]]
('N100', 'N143') [[14.151138]]
('N19', 'M0P1') [[14.148968]]
('N18', 'N236') [[14.148415]]
('N183', 'M0P1') [[14.147368]]
('N38', 'N253') [[14.14046]]
('N22', 'N140') [[14.139959]]
('N151', 'N197') [[14.139296]]
('N7', 'M0P1') [[14.138015]]
('N83', 'N143') [[14.137449]]
('N18', 'N73') [[14.136134]]
('N170', 'M0P2') [[14.135677]]
('N78', 'N89') [[14.134806]]
('N123', 'N197') [[14.134683]]
('N38', 'N73') [[14.13297]]
('N69', 'M0P1') [[14.128719]]
('N132', 'N233') [[14.126031]]
('N22', 'N132') [[14.114465]]
('N100', 'N144') [[14.113876]]
('N44', 'N242') [[14.112421]]
('N51', 'N187') [[14.110666]]
('N22', 'N83') [[14.110494]]
('N30', 'N44') [[14.10798]]
('N18', 'N170') [[14.106812]]
('N16', 'N170') [[14.105713]]
('N143', 'N144') [[14.105645]]
