('M0P1', 'M0P2') [[34.058384]]
('N35', 'M0P1') [[20.245216]]
('N35', 'M0P2') [[20.15806]]
('N174', 'N230') [[20.005798]]
('N159', 'N230') [[19.992546]]
('N221', 'N228') [[19.948051]]
('N55', 'N159') [[19.864859]]
('N23', 'N236') [[19.802847]]
('N5', 'N228') [[19.777225]]
('N63', 'N191') [[19.705603]]
('N23', 'N152') [[19.702255]]
('N35', 'N113') [[19.672916]]
('N138', 'N159') [[19.64749]]
('N23', 'N228') [[19.64265]]
('N61', 'N85') [[19.64161]]
('N55', 'N155') [[19.638477]]
('N35', 'N246') [[19.637486]]
('N159', 'N174') [[19.628492]]
('N61', 'N236') [[19.620981]]
('N152', 'N159') [[19.614826]]
('N5', 'N23') [[19.59401]]
('N35', 'N108') [[19.571358]]
('N55', 'N108') [[19.569807]]
('N46', 'N108') [[19.569124]]
('N228', 'N252') [[19.565998]]
('N189', 'N252') [[19.552685]]
('N159', 'N240') [[19.551344]]
('N85', 'N246') [[19.545734]]
('N108', 'N228') [[19.518354]]
('N23', 'N113') [[19.494102]]
('N55', 'N125') [[19.494019]]
('N125', 'N152') [[19.491886]]
('N61', 'N228') [[19.488525]]
('N103', 'N236') [[19.486195]]
('N159', 'N217') [[19.474731]]
('N111', 'N191') [[19.473314]]
('N31', 'N220') [[19.458593]]
('N217', 'N236') [[19.457981]]
('N108', 'N140') [[19.457743]]
('N46', 'N63') [[19.45744]]
('N65', 'N228') [[19.445595]]
('N111', 'N236') [[19.435564]]
('N23', 'N55') [[19.431581]]
('N191', 'N243') [[19.426006]]
('N55', 'N252') [[19.424526]]
('N23', 'N125') [[19.414677]]
('N35', 'N127') [[19.412756]]
('N23', 'N26') [[19.412697]]
('N189', 'N191') [[19.409538]]
('N164', 'N236') [[19.405184]]
('N55', 'N217') [[19.39773]]
('N217', 'N220') [[19.396194]]
('N189', 'N228') [[19.39476]]
('N46', 'N159') [[19.394142]]
('N113', 'N125') [[19.390514]]
('N23', 'N46') [[19.385574]]
('N23', 'N199') [[19.381119]]
('N63', 'N164') [[19.373316]]
('N55', 'N115') [[19.373009]]
('N116', 'N236') [[19.371014]]
('N159', 'N191') [[19.363846]]
('N55', 'N113') [[19.362213]]
('N83', 'N159') [[19.359009]]
('N83', 'N152') [[19.343943]]
('N5', 'N191') [[19.343075]]
('N44', 'N174') [[19.339025]]
('N228', 'N237') [[19.335365]]
('N23', 'N216') [[19.33364]]
('N46', 'N125') [[19.327269]]
('N46', 'N236') [[19.326477]]
('N223', 'N246') [[19.32613]]
('N159', 'N236') [[19.32374]]
('N82', 'N228') [[19.32172]]
('N23', 'N172') [[19.317797]]
('N61', 'N101') [[19.316736]]
('N164', 'N228') [[19.308794]]
('N236', 'N243') [[19.307386]]
('N152', 'N207') [[19.30638]]
('N228', 'N233') [[19.300053]]
('N61', 'N246') [[19.293106]]
('N125', 'N191') [[19.289839]]
('N195', 'N228') [[19.289614]]
('N23', 'N244') [[19.283283]]
('N125', 'N189') [[19.278984]]
('N159', 'N189') [[19.271568]]
('N23', 'N108') [[19.270824]]
('N42', 'N236') [[19.265387]]
('N236', 'N237') [[19.261969]]
('N174', 'N223') [[19.261038]]
('N108', 'N221') [[19.259964]]
('N46', 'N174') [[19.259912]]
('N34', 'N105') [[19.259628]]
('N23', 'N61') [[19.256186]]
('N166', 'N199') [[19.255497]]
('N140', 'N174') [[19.254671]]
('N58', 'N159') [[19.253876]]
('N23', 'N174') [[19.250845]]
('N26', 'N46') [[19.248615]]
('N105', 'N125') [[19.248552]]
('N125', 'N217') [[19.2456]]
('N120', 'N159') [[19.237686]]
('N35', 'N53') [[19.23644]]
('N110', 'N159') [[19.234251]]
('N46', 'N140') [[19.233664]]
('N55', 'N236') [[19.232437]]
('N61', 'N253') [[19.23237]]
('N23', 'N234') [[19.22931]]
('N104', 'N236') [[19.226702]]
('N101', 'N191') [[19.22579]]
('N103', 'N191') [[19.224077]]
('N218', 'N228') [[19.222336]]
('N31', 'N221') [[19.221375]]
('N43', 'N228') [[19.218307]]
('N114', 'N159') [[19.215115]]
('N103', 'N189') [[19.209414]]
('N234', 'N236') [[19.201756]]
('N46', 'N221') [[19.201056]]
('N55', 'N164') [[19.199617]]
('N82', 'N199') [[19.197731]]
('N23', 'N164') [[19.196737]]
('N80', 'N252') [[19.19494]]
('N58', 'N152') [[19.19129]]
('N43', 'N233') [[19.18737]]
('N159', 'N216') [[19.183273]]
('N23', 'N42') [[19.182142]]
('N245', 'N252') [[19.180141]]
('N104', 'N125') [[19.178345]]
('N55', 'N80') [[19.175714]]
('N35', 'N228') [[19.172144]]
('N65', 'N240') [[19.171122]]
('N97', 'N189') [[19.167074]]
('N174', 'N191') [[19.162712]]
('N82', 'N230') [[19.16137]]
('N228', 'N236') [[19.161215]]
('N189', 'N217') [[19.15844]]
('N159', 'N166') [[19.15553]]
('N58', 'N61') [[19.155476]]
('N175', 'N191') [[19.154516]]
('N217', 'N237') [[19.154144]]
('N125', 'N246') [[19.15341]]
('N125', 'N236') [[19.14704]]
('N26', 'N39') [[19.145441]]
('N63', 'N234') [[19.136513]]
('N46', 'N103') [[19.136202]]
('N98', 'N239') [[19.13333]]
('N35', 'N191') [[19.13243]]
('N233', 'N234') [[19.131994]]
('N191', 'N228') [[19.131083]]
('N223', 'N228') [[19.129261]]
('N191', 'N236') [[19.125332]]
('N153', 'N236') [[19.122377]]
('N50', 'N174') [[19.119457]]
('N125', 'N159') [[19.118597]]
('N82', 'N125') [[19.118416]]
('N46', 'N234') [[19.117569]]
('N115', 'N243') [[19.112267]]
('N243', 'N252') [[19.111845]]
('N18', 'N46') [[19.111296]]
('N78', 'N228') [[19.108757]]
('N98', 'N243') [[19.10726]]
('N107', 'N115') [[19.103865]]
('N35', 'N223') [[19.102266]]
('N103', 'N220') [[19.102032]]
('N55', 'N61') [[19.100216]]
('N178', 'N223') [[19.099306]]
('N114', 'N189') [[19.09803]]
('N23', 'N54') [[19.09731]]
('N46', 'N152') [[19.092405]]
('N159', 'N228') [[19.089342]]
('N72', 'N240') [[19.088861]]
('N51', 'N164') [[19.088263]]
('N72', 'N236') [[19.086977]]
('N23', 'N181') [[19.086971]]
('N159', 'N185') [[19.084288]]
('N46', 'N233') [[19.080542]]
('N159', 'N233') [[19.080421]]
('N217', 'N228') [[19.079529]]
('N178', 'N228') [[19.078152]]
('N61', 'N66') [[19.077692]]
('N46', 'N189') [[19.074184]]
('N140', 'N217') [[19.074158]]
('N159', 'N253') [[19.074083]]
('N218', 'N236') [[19.07004]]
('N128', 'N246') [[19.068954]]
('N14', 'N221') [[19.068636]]
('N113', 'N236') [[19.067186]]
('N108', 'N155') [[19.066168]]
('N63', 'N228') [[19.062645]]
('N174', 'N228') [[19.06262]]
('N158', 'N220') [[19.062437]]
('N240', 'N252') [[19.062105]]
('N23', 'N81') [[19.0621]]
('N107', 'N215') [[19.059357]]
('N139', 'N236') [[19.05769]]
('N46', 'N156') [[19.05744]]
('N23', 'N230') [[19.05666]]
('N36', 'N110') [[19.052677]]
('N105', 'N155') [[19.052446]]
('N82', 'N236') [[19.051994]]
('N42', 'N46') [[19.0495]]
('N35', 'N189') [[19.04925]]
('N55', 'N191') [[19.046572]]
('N27', 'N244') [[19.04604]]
('N174', 'N189') [[19.044924]]
('N43', 'N46') [[19.043661]]
('N55', 'N228') [[19.043203]]
('N166', 'N217') [[19.043123]]
('N125', 'N228') [[19.043015]]
('N199', 'N228') [[19.04269]]
('N111', 'N207') [[19.041876]]
('N153', 'N174') [[19.040747]]
('N61', 'N252') [[19.036173]]
('N55', 'N243') [[19.033987]]
('N23', 'N66') [[19.031147]]
('N164', 'N234') [[19.030815]]
('N46', 'N83') [[19.030708]]
('N159', 'N252') [[19.029716]]
('N23', 'N63') [[19.02812]]
('N129', 'N159') [[19.027626]]
('N159', 'N237') [[19.024916]]
('N104', 'N191') [[19.024744]]
('N46', 'N191') [[19.0244]]
('N195', 'N230') [[19.018288]]
('N69', 'N221') [[19.017845]]
('N5', 'N189') [[19.017174]]
('N103', 'N159') [[19.01682]]
('N51', 'N63') [[19.01676]]
('N23', 'N191') [[19.016659]]
('N155', 'N236') [[19.016596]]
('N189', 'N223') [[19.016325]]
('N101', 'N243') [[19.015364]]
('N23', 'N58') [[19.013348]]
('N189', 'N233') [[19.012184]]
('N174', 'N236') [[19.012014]]
('N98', 'N108') [[19.01201]]
('N23', 'N115') [[19.01132]]
('N23', 'N226') [[19.01073]]
('N120', 'N236') [[19.009771]]
('N103', 'N108') [[19.008614]]
('N125', 'N177') [[19.00723]]
('N82', 'N237') [[19.006922]]
('N61', 'N164') [[19.00333]]
('N107', 'N236') [[19.003239]]
('N18', 'N82') [[19.002472]]
('N54', 'N221') [[18.999184]]
('N55', 'N247') [[18.99747]]
('N61', 'N125') [[18.996576]]
('N23', 'N240') [[18.996569]]
('N3', 'N230') [[18.996204]]
('N44', 'N82') [[18.995914]]
('N16', 'N61') [[18.995728]]
('N46', 'N144') [[18.993172]]
('N5', 'N174') [[18.99297]]
('N29', 'N61') [[18.992579]]
('N140', 'N175') [[18.99134]]
('N144', 'N233') [[18.991314]]
('N16', 'N199') [[18.98969]]
('N26', 'N103') [[18.989635]]
('N23', 'N105') [[18.988564]]
('N113', 'N218') [[18.987797]]
('N13', 'N23') [[18.986223]]
('N166', 'N220') [[18.985228]]
('N105', 'N236') [[18.985104]]
('N63', 'N187') [[18.983257]]
('N54', 'N223') [[18.982992]]
('N113', 'N226') [[18.981918]]
('N55', 'N145') [[18.981812]]
('N177', 'N230') [[18.981178]]
('N26', 'N113') [[18.980614]]
('N152', 'N215') [[18.98027]]
('N110', 'N191') [[18.980242]]
('N46', 'N61') [[18.979872]]
('N228', 'N230') [[18.978542]]
('N98', 'N236') [[18.97778]]
('N159', 'N172') [[18.977757]]
('N152', 'N174') [[18.976988]]
('N164', 'N233') [[18.976046]]
('N35', 'N105') [[18.97568]]
('N46', 'N55') [[18.975111]]
('N159', 'N243') [[18.97506]]
('N159', 'N177') [[18.971165]]
('N35', 'N230') [[18.97116]]
('N120', 'N174') [[18.971058]]
('N105', 'N221') [[18.970884]]
('N46', 'N147') [[18.970863]]
('N105', 'N191') [[18.970655]]
('N10', 'N159') [[18.969635]]
('N107', 'N226') [[18.968933]]
('N55', 'N166') [[18.967136]]
('N113', 'N152') [[18.96612]]
('N47', 'N236') [[18.965895]]
('N173', 'N236') [[18.965418]]
('N63', 'N221') [[18.965073]]
('N26', 'N164') [[18.964312]]
('N14', 'N236') [[18.964155]]
('N18', 'N155') [[18.963757]]
('N106', 'N191') [[18.961788]]
('N63', 'N113') [[18.960314]]
('N55', 'N161') [[18.958527]]
('N18', 'N166') [[18.957348]]
('N61', 'N245') [[18.957067]]
('N191', 'N237') [[18.957054]]
('N23', 'N159') [[18.957035]]
('N5', 'N46') [[18.956673]]
('N23', 'N185') [[18.955927]]
('N174', 'N226') [[18.95571]]
('N103', 'N228') [[18.952637]]
('N55', 'N221') [[18.952312]]
('N55', 'N174') [[18.951683]]
('N46', 'N49') [[18.950308]]
('N55', 'N111') [[18.950233]]
('N35', 'N159') [[18.950054]]
('N82', 'N122') [[18.949926]]
('N217', 'N221') [[18.949314]]
('N55', 'N104') [[18.948502]]
('N46', 'N113') [[18.9485]]
('N46', 'N98') [[18.946947]]
('N23', 'N29') [[18.946558]]
('N166', 'N228') [[18.946259]]
('N23', 'N142') [[18.946154]]
('N155', 'N173') [[18.946093]]
('N105', 'N152') [[18.945318]]
('N114', 'N236') [[18.943966]]
('N215', 'N233') [[18.943834]]
('N23', 'N177') [[18.94217]]
('N66', 'N230') [[18.941813]]
('N5', 'N159') [[18.93917]]
('N104', 'N243') [[18.938812]]
('N108', 'N113') [[18.93818]]
('N51', 'N189') [[18.937918]]
('N140', 'N228') [[18.937756]]
('N196', 'N228') [[18.937313]]
('N108', 'N189') [[18.935379]]
('N50', 'N55') [[18.935251]]
('N61', 'N150') [[18.935118]]
('N87', 'N191') [[18.93507]]
('N18', 'N66') [[18.934753]]
