('M0P1', 'M0P2') [[35.31642]]
('N30', 'M0P1') [[22.466633]]
('N30', 'M0P2') [[21.859978]]
('N42', 'M0P1') [[20.582808]]
('N42', 'M0P2') [[20.407457]]
('N30', 'N228') [[20.33058]]
('N30', 'N42') [[20.162352]]
('N65', 'M0P1') [[19.956137]]
('N228', 'M0P1') [[19.62836]]
('N42', 'N228') [[19.62393]]
('N228', 'N246') [[19.600481]]
('N66', 'N100') [[19.515234]]
('N66', 'N246') [[19.478872]]
('N65', 'M0P2') [[19.433971]]
('N66', 'N165') [[19.406006]]
('N63', 'N196') [[19.370312]]
('N97', 'N228') [[19.369366]]
('N66', 'N242') [[19.354677]]
('N66', 'N174') [[19.352257]]
('N90', 'N107') [[19.33972]]
('N15', 'N66') [[19.324709]]
('N165', 'N242') [[19.322987]]
('N66', 'N226') [[19.308842]]
('N28', 'N50') [[19.293211]]
('N228', 'N242') [[19.285643]]
('N45', 'N242') [[19.275845]]
('N66', 'N93') [[19.245348]]
('N66', 'N75') [[19.243727]]
('N30', 'N65') [[19.241625]]
('N124', 'N228') [[19.23406]]
('N66', 'N107') [[19.224403]]
('N45', 'N66') [[19.212965]]
('N35', 'N107') [[19.207644]]
('N45', 'N230') [[19.186596]]
('N75', 'N208') [[19.185917]]
('N45', 'N225') [[19.182358]]
('N66', 'N208') [[19.181597]]
('N45', 'N75') [[19.16837]]
('N66', 'N72') [[19.167719]]
('N45', 'N174') [[19.157272]]
('N35', 'N66') [[19.134832]]
('N74', 'N100') [[19.134417]]
('N42', 'N124') [[19.132044]]
('N174', 'N242') [[19.090557]]
('N122', 'N228') [[19.086885]]
('N107', 'N184') [[19.079054]]
('N30', 'N66') [[19.07869]]
('N30', 'N45') [[19.0701]]
('N86', 'N158') [[19.063236]]
('N50', 'N208') [[19.047243]]
('N162', 'N213') [[19.043081]]
('N45', 'N63') [[19.033033]]
('N157', 'N228') [[19.02845]]
('N105', 'N228') [[19.026161]]
('N11', 'N229') [[19.018333]]
('N45', 'N107') [[19.01729]]
('N75', 'N76') [[19.001179]]
('N43', 'N107') [[18.998508]]
('N75', 'N241') [[18.995924]]
('N30', 'N231') [[18.98907]]
('N66', 'N231') [[18.986805]]
('N66', 'N97') [[18.981827]]
('N242', 'N246') [[18.981638]]
('N225', 'N246') [[18.976608]]
('N66', 'N148') [[18.97656]]
('N66', 'N105') [[18.969435]]
('N42', 'N231') [[18.969242]]
('N46', 'N228') [[18.96728]]
('N30', 'N107') [[18.96132]]
('N75', 'N89') [[18.95139]]
('N225', 'N228') [[18.947721]]
('N155', 'N228') [[18.94447]]
('N45', 'N228') [[18.943123]]
('N16', 'N228') [[18.939354]]
('N158', 'N184') [[18.939108]]
('N72', 'N174') [[18.93162]]
('N107', 'N158') [[18.930082]]
('N27', 'N35') [[18.925121]]
('N180', 'N228') [[18.920107]]
('N0', 'N246') [[18.916273]]
('N66', 'N106') [[18.909193]]
('N40', 'N107') [[18.90646]]
('N66', 'N213') [[18.898685]]
('N0', 'N228') [[18.890368]]
('N81', 'N229') [[18.888487]]
('N22', 'N66') [[18.886404]]
('N75', 'N107') [[18.883194]]
('N189', 'N246') [[18.882074]]
('N208', 'N228') [[18.873537]]
('N28', 'N67') [[18.872135]]
('N228', 'M0P2') [[18.86882]]
('N75', 'N139') [[18.867405]]
('N75', 'N105') [[18.861294]]
('N108', 'N242') [[18.857967]]
('N89', 'N190') [[18.857256]]
('N30', 'N89') [[18.854778]]
('N129', 'N225') [[18.854761]]
('N28', 'N75') [[18.85383]]
('N107', 'N246') [[18.849428]]
