('M0P1', 'M0P2') [[37.338013]]
('N23', 'M0P1') [[20.61094]]
('N23', 'M0P2') [[20.490364]]
('N111', 'N141') [[19.802856]]
('N193', 'N252') [[19.79024]]
('N14', 'N153') [[19.757822]]
('N23', 'N141') [[19.74782]]
('N141', 'N252') [[19.747477]]
('N111', 'N151') [[19.709558]]
('N141', 'N180') [[19.684881]]
('N14', 'N111') [[19.662785]]
('N111', 'N244') [[19.639307]]
('N111', 'N209') [[19.623095]]
('N153', 'N180') [[19.611786]]
('N123', 'N250') [[19.567934]]
('N153', 'N208') [[19.551533]]
('N15', 'N169') [[19.548428]]
('N123', 'N131') [[19.512667]]
('N48', 'N141') [[19.504755]]
('N77', 'N123') [[19.49923]]
('N153', 'N252') [[19.481451]]
('N111', 'N180') [[19.455856]]
('N222', 'N252') [[19.42327]]
('N66', 'N111') [[19.414165]]
('N14', 'N183') [[19.393208]]
('N113', 'N206') [[19.383812]]
('N15', 'N138') [[19.380978]]
('N111', 'N206') [[19.37853]]
('N14', 'N47') [[19.370338]]
('N14', 'N193') [[19.369104]]
('N14', 'N206') [[19.36712]]
('N123', 'N193') [[19.362226]]
('N111', 'N125') [[19.34071]]
('N111', 'N183') [[19.339628]]
('N12', 'N15') [[19.33686]]
('N15', 'N194') [[19.330702]]
('N32', 'N111') [[19.323948]]
('N111', 'N213') [[19.31165]]
('N21', 'N111') [[19.310728]]
('N111', 'N157') [[19.306606]]
('N123', 'N153') [[19.304665]]
('N153', 'N241') [[19.299225]]
('N23', 'N252') [[19.298208]]
('N14', 'N252') [[19.29454]]
('N23', 'N134') [[19.28149]]
('N100', 'N252') [[19.277159]]
('N66', 'N141') [[19.264923]]
('N141', 'N238') [[19.26079]]
('N15', 'N111') [[19.257679]]
('N100', 'N141') [[19.245216]]
('N131', 'N153') [[19.244135]]
('N138', 'N141') [[19.242432]]
('N111', 'N193') [[19.238667]]
('N25', 'N111') [[19.223923]]
('N9', 'N111') [[19.220207]]
('N23', 'N193') [[19.21284]]
('N78', 'N111') [[19.211138]]
('N141', 'N225') [[19.20456]]
('N100', 'N180') [[19.20165]]
('N15', 'N114') [[19.190363]]
('N77', 'N208') [[19.185831]]
('N111', 'N153') [[19.185694]]
('N193', 'N206') [[19.181164]]
('N111', 'N114') [[19.180292]]
('N100', 'N111') [[19.180115]]
('N14', 'N218') [[19.178934]]
('N161', 'N206') [[19.176884]]
('N161', 'N252') [[19.176153]]
('N39', 'N193') [[19.171783]]
('N111', 'N161') [[19.169693]]
('N46', 'N78') [[19.161299]]
('N111', 'N134') [[19.15613]]
('N111', 'N220') [[19.152641]]
('N131', 'N213') [[19.152172]]
('N193', 'N222') [[19.14891]]
('N14', 'N151') [[19.134253]]
('N23', 'N138') [[19.132664]]
('N141', 'N193') [[19.128513]]
('N14', 'N194') [[19.124931]]
('N15', 'N38') [[19.12142]]
('N14', 'N226') [[19.10948]]
('N157', 'N193') [[19.108027]]
('N160', 'N250') [[19.104065]]
('N123', 'N183') [[19.103573]]
('N14', 'N163') [[19.097902]]
('N29', 'N111') [[19.094883]]
('N244', 'N252') [[19.090384]]
('N14', 'N123') [[19.090124]]
('N141', 'N160') [[19.082506]]
('N111', 'N252') [[19.082363]]
('N46', 'N123') [[19.080421]]
('N93', 'N135') [[19.077435]]
('N161', 'N209') [[19.076088]]
('N48', 'N111') [[19.075476]]
('N70', 'N111') [[19.072325]]
('N77', 'N250') [[19.072283]]
('N14', 'N109') [[19.068604]]
('N56', 'N111') [[19.06384]]
('N111', 'N116') [[19.062151]]
('N48', 'N250') [[19.061544]]
('N14', 'N131') [[19.057518]]
('N111', 'N218') [[19.056253]]
('N14', 'N180') [[19.05082]]
