('M0P1', 'M0P2') [[21.495993]]
('N248', 'M0P2') [[20.380772]]
('N30', 'N130') [[20.32783]]
('N190', 'M0P2') [[20.24916]]
('N26', 'M0P2') [[20.183187]]
('N215', 'M0P2') [[20.165956]]
('N205', 'M0P2') [[20.127687]]
('N209', 'M0P2') [[20.124208]]
('N147', 'M0P2') [[20.104532]]
('N6', 'N239') [[20.095081]]
('N27', 'M0P2') [[20.085085]]
('N20', 'N79') [[20.08319]]
('N3', 'N190') [[20.049625]]
('N107', 'M0P2') [[20.03469]]
('N210', 'M0P2') [[20.027935]]
('N107', 'N215') [[20.022667]]
('N221', 'M0P2') [[20.017298]]
('N36', 'N209') [[20.015545]]
('N30', 'M0P1') [[20.005884]]
('N1', 'M0P2') [[19.96535]]
('N31', 'M0P2') [[19.964653]]
('N103', 'M0P2') [[19.949175]]
('N36', 'M0P2') [[19.93803]]
('N246', 'M0P2') [[19.9326]]
('N141', 'M0P2') [[19.89142]]
('N30', 'N211') [[19.864145]]
('N172', 'M0P2') [[19.85007]]
('N42', 'N239') [[19.847239]]
('N239', 'M0P2') [[19.83852]]
('N168', 'M0P2') [[19.83715]]
('N30', 'N38') [[19.833185]]
('N6', 'N30') [[19.830154]]
('N6', 'N208') [[19.767246]]
('N239', 'M0P1') [[19.760937]]
('N30', 'N121') [[19.757204]]
('N94', 'M0P2') [[19.752434]]
('N6', 'N141') [[19.74945]]
('N36', 'N218') [[19.748224]]
('N51', 'M0P2') [[19.741028]]
('N18', 'N209') [[19.735727]]
('N22', 'M0P2') [[19.733042]]
('N6', 'N70') [[19.727795]]
('N30', 'N36') [[19.724125]]
('N2', 'N191') [[19.721046]]
('N152', 'M0P2') [[19.720993]]
('N2', 'N38') [[19.720251]]
('N1', 'N36') [[19.719582]]
('N121', 'N210') [[19.715374]]
('N100', 'M0P2') [[19.71246]]
('N202', 'M0P2') [[19.711077]]
('N58', 'N107') [[19.697626]]
('N18', 'N33') [[19.696415]]
('N20', 'N249') [[19.693598]]
('N6', 'N103') [[19.689657]]
('N31', 'N227') [[19.686901]]
('N210', 'M0P1') [[19.685852]]
('N149', 'M0P2') [[19.6848]]
('N209', 'M0P1') [[19.680489]]
('N121', 'N174') [[19.68015]]
('N6', 'N27') [[19.675554]]
('N202', 'M0P1') [[19.667171]]
('N242', 'M0P2') [[19.664606]]
('N31', 'N103') [[19.659607]]
('N63', 'N174') [[19.654957]]
('N86', 'N239') [[19.653223]]
('N92', 'N239') [[19.646955]]
('N1', 'N209') [[19.64584]]
('N32', 'M0P2') [[19.645523]]
('N102', 'M0P2') [[19.644287]]
('N223', 'M0P2') [[19.627007]]
('N1', 'N79') [[19.622118]]
('N44', 'M0P2') [[19.614105]]
('N18', 'N190') [[19.610662]]
('N30', 'N79') [[19.609962]]
('N31', 'N215') [[19.609398]]
('N6', 'N86') [[19.599758]]
('N206', 'N248') [[19.599222]]
('N31', 'N239') [[19.598516]]
('N31', 'N79') [[19.595037]]
('N4', 'N119') [[19.594154]]
('N30', 'N41') [[19.593351]]
('N31', 'N163') [[19.590061]]
('N30', 'N107') [[19.58725]]
('N236', 'N239') [[19.586647]]
('N5', 'N121') [[19.585743]]
('N31', 'N60') [[19.58531]]
('N220', 'M0P2') [[19.58249]]
('N38', 'N134') [[19.57982]]
('N72', 'N155') [[19.577808]]
('N21', 'N121') [[19.573763]]
('N190', 'N239') [[19.571955]]
('N21', 'N151') [[19.566744]]
('N38', 'N241') [[19.56308]]
('N121', 'N242') [[19.559273]]
('N30', 'N223') [[19.554277]]
('N3', 'M0P2') [[19.553354]]
('N196', 'M0P2') [[19.549767]]
('N239', 'N248') [[19.547476]]
('N237', 'M0P2') [[19.54226]]
('N190', 'N221') [[19.537813]]
('N36', 'N130') [[19.528692]]
('N113', 'M0P2') [[19.519241]]
('N121', 'N232') [[19.519096]]
('N31', 'N47') [[19.516611]]
('N36', 'N211') [[19.512146]]
('N18', 'N130') [[19.512064]]
('N241', 'M0P1') [[19.512049]]
('N169', 'N248') [[19.510605]]
('N96', 'M0P2') [[19.509819]]
('N31', 'N100') [[19.506124]]
('N72', 'N171') [[19.505203]]
('N121', 'N248') [[19.502201]]
('N47', 'M0P2') [[19.500887]]
('N119', 'M0P2') [[19.497253]]
('N18', 'N121') [[19.493822]]
('N80', 'M0P2') [[19.493685]]
('N30', 'N147') [[19.492891]]
('N30', 'N232') [[19.49172]]
('N42', 'M0P2') [[19.491493]]
('N30', 'N241') [[19.48922]]
('N103', 'N130') [[19.486649]]
('N239', 'N243') [[19.485813]]
('N6', 'N36') [[19.482107]]
('N52', 'M0P1') [[19.48128]]
('N241', 'M0P2') [[19.479832]]
('N78', 'M0P2') [[19.47775]]
('N66', 'M0P2') [[19.475657]]
('N38', 'N221') [[19.475052]]
('N198', 'M0P2') [[19.47237]]
('N1', 'N6') [[19.471724]]
('N63', 'N248') [[19.471537]]
('N31', 'N210') [[19.471329]]
('N66', 'N190') [[19.468843]]
('N107', 'N222') [[19.465094]]
('N107', 'N195') [[19.463049]]
('N193', 'N213') [[19.461588]]
('N130', 'N209') [[19.461449]]
('N21', 'M0P2') [[19.460852]]
('N187', 'M0P2') [[19.460472]]
('N30', 'N171') [[19.458952]]
('N0', 'N100') [[19.452135]]
('N14', 'N63') [[19.449816]]
('N26', 'N248') [[19.449364]]
('N2', 'M0P1') [[19.448984]]
('N83', 'M0P2') [[19.44871]]
('N18', 'N38') [[19.448284]]
('N30', 'N95') [[19.447874]]
('N6', 'N31') [[19.444613]]
('N244', 'M0P2') [[19.442274]]
('N30', 'N31') [[19.438166]]
('N31', 'N151') [[19.435667]]
('N107', 'N249') [[19.4355]]
('N30', 'N154') [[19.435013]]
('N141', 'M0P1') [[19.4342]]
('N30', 'N191') [[19.4291]]
('N146', 'M0P2') [[19.428911]]
('N40', 'N239') [[19.428358]]
('N36', 'N68') [[19.428024]]
('N174', 'N222') [[19.426416]]
('N52', 'N121') [[19.426088]]
('N105', 'M0P2') [[19.418499]]
('N209', 'N216') [[19.418314]]
('N26', 'N130') [[19.415497]]
('N30', 'N84') [[19.4114]]
('N36', 'N240') [[19.410849]]
('N60', 'M0P2') [[19.409966]]
('N1', 'N190') [[19.409433]]
('N30', 'N140') [[19.408525]]
('N40', 'M0P2') [[19.405914]]
