('M0P1', 'M0P2') [[40.940872]]
('N82', 'N217') [[19.293005]]
('N175', 'N217') [[19.06398]]
('N54', 'N175') [[19.037712]]
('N5', 'N217') [[19.012753]]
('N70', 'N241') [[18.988726]]
('N187', 'N217') [[18.980036]]
('N5', 'N209') [[18.963758]]
('N175', 'N209') [[18.91024]]
('N17', 'N46') [[18.894402]]
('N55', 'N217') [[18.867754]]
('N5', 'N175') [[18.860508]]
('N161', 'N217') [[18.856956]]
('N82', 'N144') [[18.853525]]
('N5', 'N226') [[18.84976]]
('N55', 'N175') [[18.81909]]
('N70', 'N217') [[18.806631]]
('N17', 'N70') [[18.80135]]
('N99', 'N217') [[18.760187]]
('N54', 'N217') [[18.758162]]
('N88', 'N175') [[18.757957]]
('N161', 'N235') [[18.744328]]
('N46', 'N249') [[18.737614]]
('N40', 'N42') [[18.734762]]
('N170', 'N209') [[18.721916]]
('N5', 'N22') [[18.717014]]
('N5', 'N37') [[18.712317]]
('N46', 'N161') [[18.71231]]
('N46', 'N149') [[18.709364]]
('N5', 'N105') [[18.703907]]
('N5', 'N58') [[18.701847]]
('N209', 'N217') [[18.700397]]
('N46', 'N177') [[18.699286]]
('N46', 'N198') [[18.696438]]
('N15', 'N158') [[18.678713]]
('N37', 'N46') [[18.677456]]
('N36', 'N217') [[18.672718]]
('N24', 'N217') [[18.670876]]
('N78', 'N149') [[18.669014]]
('N217', 'N235') [[18.665049]]
('N70', 'N78') [[18.657835]]
('N17', 'N185') [[18.648306]]
('N157', 'N241') [[18.64739]]
('N17', 'N149') [[18.646584]]
('N149', 'N217') [[18.633078]]
('N17', 'N217') [[18.630732]]
('N70', 'N209') [[18.629889]]
('N5', 'N149') [[18.626799]]
('N175', 'N226') [[18.616922]]
('N96', 'N217') [[18.612614]]
('N5', 'N70') [[18.612595]]
('N63', 'N241') [[18.611584]]
('N46', 'N217') [[18.602015]]
('N210', 'N217') [[18.601625]]
('N42', 'N217') [[18.601566]]
('N17', 'N177') [[18.59956]]
('N80', 'N217') [[18.599007]]
('N144', 'N217') [[18.597502]]
('N70', 'N170') [[18.59664]]
('N209', 'N241') [[18.596457]]
('N54', 'N170') [[18.595661]]
('N45', 'N78') [[18.593884]]
('N46', 'N70') [[18.593864]]
('N17', 'N187') [[18.587076]]
