('M0P1', 'M0P2') [[43.092087]]
('N250', 'M0P2') [[19.237957]]
('N11', 'N170') [[19.224552]]
('N45', 'N242') [[19.068703]]
('N51', 'N170') [[18.928076]]
('N31', 'N242') [[18.926243]]
('N170', 'N249') [[18.90613]]
('N11', 'N205') [[18.903103]]
('N31', 'N191') [[18.87034]]
('N76', 'N170') [[18.851105]]
('N31', 'N110') [[18.847162]]
('N78', 'N128') [[18.836767]]
('N194', 'N249') [[18.82542]]
('N31', 'N185') [[18.806152]]
('N31', 'N170') [[18.802715]]
('N151', 'N249') [[18.789677]]
('N226', 'N249') [[18.784355]]
('N68', 'N170') [[18.773844]]
('N8', 'N170') [[18.772757]]
('N68', 'N242') [[18.760355]]
('N20', 'N170') [[18.75134]]
('N226', 'N227') [[18.749578]]
('N127', 'N170') [[18.749569]]
('N188', 'N201') [[18.747128]]
('N11', 'N76') [[18.743343]]
('N116', 'N242') [[18.73899]]
('N153', 'N205') [[18.724993]]
('N170', 'N207') [[18.705462]]
('N3', 'N76') [[18.697313]]
('N207', 'N240') [[18.69297]]
('N226', 'N242') [[18.690565]]
('N120', 'N249') [[18.68943]]
('N120', 'N170') [[18.686773]]
('N31', 'N249') [[18.684303]]
('N151', 'N210') [[18.683159]]
('N205', 'N237') [[18.677395]]
('N15', 'N76') [[18.666246]]
('N35', 'N226') [[18.66486]]
('N227', 'N232') [[18.661877]]
('N217', 'N242') [[18.660019]]
('N11', 'N227') [[18.657993]]
('N84', 'N232') [[18.657671]]
('N62', 'N232') [[18.656033]]
('N143', 'N232') [[18.652418]]
('N170', 'N242') [[18.65068]]
('N216', 'N249') [[18.647007]]
('N127', 'N143') [[18.645313]]
('N76', 'N204') [[18.644173]]
('N232', 'N242') [[18.64344]]
('N72', 'N226') [[18.639402]]
('N226', 'N240') [[18.635138]]
('N31', 'N51') [[18.625696]]
('N11', 'N15') [[18.6235]]
('N161', 'N227') [[18.621174]]
('N228', 'N242') [[18.618397]]
('N11', 'N62') [[18.610989]]
('N105', 'N226') [[18.606256]]
('N114', 'N205') [[18.601423]]
('N1', 'N205') [[18.59986]]
('N120', 'N194') [[18.591722]]
('N51', 'N207') [[18.590988]]
('N179', 'N205') [[18.589096]]
('N127', 'N179') [[18.588472]]
('N194', 'N232') [[18.587263]]
('N116', 'N205') [[18.580154]]
('N62', 'N170') [[18.577898]]
('N200', 'N204') [[18.576511]]
('N15', 'N205') [[18.576155]]
('N127', 'N239') [[18.57379]]
('N11', 'N204') [[18.573372]]
('N72', 'N249') [[18.573303]]
('N179', 'N242') [[18.572506]]
('N177', 'N204') [[18.57223]]
('N164', 'N207') [[18.57118]]
('N11', 'N127') [[18.567226]]
('N76', 'N177') [[18.563644]]
('N1', 'N78') [[18.55808]]
('N15', 'N170') [[18.557205]]
('N224', 'N226') [[18.556444]]
('N209', 'N228') [[18.556286]]
('N164', 'N232') [[18.550117]]
('N94', 'N249') [[18.548046]]
('N185', 'N249') [[18.546858]]
('N201', 'N216') [[18.540718]]
('N204', 'N249') [[18.539356]]
('N120', 'N228') [[18.535984]]
('N228', 'N232') [[18.535164]]
('N52', 'N84') [[18.526506]]
('N114', 'N170') [[18.521671]]
('N11', 'N174') [[18.521532]]
('N193', 'N242') [[18.518808]]
('N76', 'N128') [[18.517967]]
('N128', 'N170') [[18.517511]]
('N177', 'N242') [[18.517424]]
('N11', 'N249') [[18.517065]]
('N20', 'N249') [[18.516531]]
('N51', 'N110') [[18.516523]]
('N31', 'N94') [[18.512342]]
('N170', 'N227') [[18.511477]]
('N170', 'N210') [[18.511015]]
('N10', 'N177') [[18.50776]]
('N31', 'N38') [[18.507418]]
('N31', 'N34') [[18.506737]]
('N8', 'N177') [[18.506319]]
('N31', 'N120') [[18.505747]]
('N8', 'N229') [[18.505074]]
('N76', 'N239') [[18.494968]]
('N76', 'N120') [[18.4888]]
('N250', 'M0P1') [[18.486025]]
('N76', 'N242') [[18.485502]]
('N8', 'N114') [[18.484028]]
('N31', 'N230') [[18.48026]]
('N128', 'N242') [[18.47849]]
('N31', 'N232') [[18.475317]]
('N195', 'N242') [[18.474903]]
('N3', 'N58') [[18.474274]]
('N210', 'N249') [[18.472046]]
('N173', 'N177') [[18.47125]]
('N31', 'N228') [[18.470098]]
('N91', 'N228') [[18.469463]]
('N3', 'N101') [[18.469234]]
('N201', 'N237') [[18.4688]]
('N222', 'N242') [[18.466272]]
('N105', 'N232') [[18.465345]]
('N54', 'N222') [[18.464796]]
('N76', 'N205') [[18.460527]]
('N51', 'N242') [[18.4601]]
('N8', 'N232') [[18.458233]]
('N112', 'N177') [[18.454853]]
('N15', 'N249') [[18.454172]]
('N201', 'N242') [[18.451685]]
('N230', 'N232') [[18.448774]]
('N44', 'N205') [[18.446981]]
('N170', 'N192') [[18.445477]]
('N60', 'N249') [[18.44061]]
('N36', 'N110') [[18.439844]]
('N51', 'N164') [[18.439602]]
('N52', 'N205') [[18.438078]]
('N80', 'N170') [[18.437378]]
('N177', 'N237') [[18.433899]]
('N222', 'N232') [[18.431454]]
('N3', 'N24') [[18.431389]]
('N15', 'N228') [[18.431]]
('N10', 'N112') [[18.429852]]
('N48', 'N230') [[18.429705]]
('N227', 'N249') [[18.426847]]
('N76', 'N78') [[18.42546]]
('N110', 'N226') [[18.423597]]
('N205', 'N216') [[18.423517]]
('N71', 'N177') [[18.420853]]
('N144', 'N242') [[18.41529]]
('N232', 'N249') [[18.415186]]
('N170', 'N232') [[18.415054]]
('N127', 'N185') [[18.412247]]
('N143', 'N216') [[18.409271]]
('N237', 'N242') [[18.408558]]
('N76', 'N101') [[18.406527]]
('N226', 'N228') [[18.406029]]
('N5', 'N177') [[18.405426]]
('N83', 'N242') [[18.4047]]
('N127', 'N249') [[18.404491]]
('N31', 'N143') [[18.403229]]
('N52', 'N242') [[18.40213]]
('N68', 'N175') [[18.401682]]
('N170', 'N228') [[18.400326]]
('N3', 'N31') [[18.397785]]
('N11', 'N49') [[18.397747]]
('N200', 'N229') [[18.397131]]
('N49', 'N242') [[18.39671]]
('N11', 'N232') [[18.39663]]
('N126', 'N170') [[18.394361]]
('N11', 'N20') [[18.394321]]
('N143', 'N193') [[18.394096]]
('N170', 'N229') [[18.392944]]
('N204', 'N227') [[18.392551]]
('N31', 'N164') [[18.392239]]
('N3', 'N153') [[18.39187]]
('N10', 'N120') [[18.391474]]
('N206', 'N249') [[18.39096]]
('N170', 'N240') [[18.390833]]
('N58', 'N242') [[18.389742]]
('N177', 'N194') [[18.388773]]
('N143', 'N185') [[18.388712]]
('N52', 'N232') [[18.38852]]
('N109', 'N232') [[18.388248]]
('N229', 'N249') [[18.388077]]
('N205', 'N207') [[18.387148]]
('N52', 'N114') [[18.385208]]
('N110', 'N216') [[18.384317]]
('N7', 'N229') [[18.382465]]
('N76', 'N127') [[18.379858]]
('N35', 'N227') [[18.379332]]
('N11', 'N31') [[18.375784]]
('N153', 'M0P1') [[18.375376]]
('N34', 'N49') [[18.375088]]
('N226', 'N229') [[18.374718]]
('N193', 'N249') [[18.374338]]
('N188', 'N194') [[18.374046]]
('N185', 'N228') [[18.37356]]
('N60', 'N242') [[18.373438]]
('N177', 'N200') [[18.37333]]
('N1', 'N76') [[18.372997]]
('N238', 'N249') [[18.372755]]
('N191', 'N242') [[18.371834]]
('N170', 'N199') [[18.370203]]
('N3', 'N205') [[18.369902]]
('N10', 'N242') [[18.369846]]
('N78', 'N170') [[18.369785]]
('N191', 'N231') [[18.369421]]
('N177', 'N226') [[18.369244]]
('N31', 'N229') [[18.368523]]
('N228', 'N237') [[18.366901]]
('N76', 'N153') [[18.36642]]
('N15', 'N230') [[18.364912]]
('N49', 'N227') [[18.36434]]
('N120', 'N242') [[18.363487]]
('N68', 'N228') [[18.360792]]
('N28', 'N226') [[18.359055]]
('N120', 'N128') [[18.357344]]
('N153', 'M0P2') [[18.355953]]
('N178', 'N242') [[18.355421]]
('N127', 'N232') [[18.353903]]
('N239', 'N249') [[18.353426]]
('N45', 'N249') [[18.352528]]
('N71', 'N226') [[18.350433]]
('N78', 'N232') [[18.350073]]
('N10', 'N192') [[18.349926]]
('N80', 'N227') [[18.349918]]
('N1', 'N185') [[18.34882]]
('N11', 'N242') [[18.345463]]
('N31', 'N175') [[18.34535]]
('N45', 'N177') [[18.344229]]
('N62', 'N94') [[18.342762]]
('N3', 'N109') [[18.340387]]
('N174', 'N205') [[18.339527]]
('N8', 'N151') [[18.3391]]
('N128', 'N228') [[18.338232]]
('N11', 'N94') [[18.337948]]
('N84', 'N242') [[18.33558]]
('N76', 'N200') [[18.335201]]
('N123', 'N226') [[18.334606]]
('N31', 'N116') [[18.334007]]
('N200', 'N226') [[18.331923]]
('N193', 'N226') [[18.331287]]
