('M0P1', 'M0P2') [[22.053692]]
('N36', 'M0P2') [[15.463598]]
('N47', 'M0P2') [[15.388763]]
('N36', 'M0P1') [[15.311396]]
('N47', 'M0P1') [[15.008857]]
('N36', 'N239') [[14.877736]]
('N112', 'M0P1') [[14.72817]]
('N223', 'N232') [[14.583806]]
('N38', 'N86') [[14.566402]]
('N126', 'N136') [[14.516589]]
('N59', 'N232') [[14.515808]]
('N36', 'N181') [[14.511574]]
('N38', 'N233') [[14.510143]]
('N56', 'N86') [[14.496254]]
('N59', 'N106') [[14.494587]]
('N36', 'N67') [[14.484893]]
('N232', 'N236') [[14.471763]]
('N59', 'N136') [[14.467419]]
('N59', 'N170') [[14.465559]]
('N59', 'N126') [[14.462429]]
('N17', 'N86') [[14.4530325]]
('N6', 'N136') [[14.445761]]
('N6', 'N181') [[14.43186]]
('N36', 'N208') [[14.426325]]
('N110', 'N126') [[14.421864]]
('N87', 'N136') [[14.419151]]
('N181', 'M0P2') [[14.406123]]
('N14', 'N36') [[14.401845]]
('N36', 'N233') [[14.383508]]
('N17', 'N232') [[14.373066]]
('N38', 'N232') [[14.372753]]
('N136', 'N187') [[14.357257]]
('N120', 'N126') [[14.34333]]
('N56', 'N59') [[14.330786]]
('N89', 'N133') [[14.328569]]
('N239', 'M0P2') [[14.32493]]
('N6', 'N89') [[14.322459]]
('N36', 'N59') [[14.310041]]
('N138', 'N232') [[14.306784]]
('N197', 'N232') [[14.295163]]
('N59', 'N132') [[14.294922]]
('N36', 'N195') [[14.293026]]
('N36', 'N112') [[14.289195]]
('N17', 'N36') [[14.286595]]
('N126', 'M0P1') [[14.286128]]
('N106', 'N120') [[14.284612]]
('N226', 'N233') [[14.283127]]
('N126', 'N192') [[14.283113]]
('N239', 'M0P1') [[14.276352]]
('N56', 'M0P1') [[14.275688]]
('N86', 'N239') [[14.272197]]
('N202', 'N232') [[14.260865]]
('N6', 'N187') [[14.258179]]
('N0', 'N86') [[14.257792]]
('N121', 'N232') [[14.253149]]
('N59', 'N236') [[14.252099]]
('N89', 'N106') [[14.249576]]
('N74', 'N138') [[14.246234]]
('N208', 'M0P2') [[14.243206]]
('N17', 'N89') [[14.240142]]
('N181', 'N232') [[14.239756]]
('N14', 'N226') [[14.233968]]
('N56', 'N187') [[14.232792]]
('N59', 'N86') [[14.220181]]
('N36', 'N89') [[14.219626]]
('N59', 'N246') [[14.21682]]
('N126', 'N150') [[14.211757]]
('N106', 'N126') [[14.207708]]
('N36', 'N38') [[14.204344]]
('N89', 'N251') [[14.201761]]
('N170', 'N208') [[14.20122]]
('N232', 'M0P2') [[14.198947]]
('N36', 'N63') [[14.193551]]
('N6', 'N232') [[14.187502]]
('N121', 'N239') [[14.185166]]
('N208', 'M0P1') [[14.181154]]
('N126', 'N142') [[14.181019]]
('N126', 'N131') [[14.180845]]
('N86', 'N232') [[14.177518]]
('N126', 'N218') [[14.174026]]
('N126', 'N233') [[14.167071]]
('N38', 'N181') [[14.159863]]
('N56', 'N126') [[14.1582]]
('N67', 'N232') [[14.158011]]
('N233', 'M0P1') [[14.142768]]
('N126', 'N239') [[14.140266]]
('N17', 'N126') [[14.139336]]
('N47', 'N56') [[14.127316]]
('N59', 'N182') [[14.121668]]
('N86', 'N202') [[14.121185]]
('N38', 'N59') [[14.119147]]
('N133', 'N232') [[14.119043]]
('N47', 'N126') [[14.113725]]
('N96', 'N138') [[14.110025]]
('N47', 'N232') [[14.103514]]
('N86', 'N120') [[14.101724]]
('N59', 'N138') [[14.101334]]
('N186', 'N202') [[14.097026]]
('N17', 'N59') [[14.096936]]
('N85', 'N138') [[14.09292]]
('N141', 'N230') [[14.089443]]
('N56', 'N74') [[14.087088]]
('N43', 'M0P1') [[14.081596]]
('N14', 'N140') [[14.080937]]
('N36', 'N86') [[14.076168]]
('N38', 'N126') [[14.071761]]
('N59', 'N74') [[14.069627]]
('N36', 'N190') [[14.069511]]
('N107', 'N138') [[14.067779]]
('N41', 'N106') [[14.063741]]
('N112', 'M0P2') [[14.059372]]
('N126', 'N204') [[14.058924]]
('N9', 'N59') [[14.05151]]
('N181', 'M0P1') [[14.050769]]
('N38', 'N137') [[14.04741]]
('N59', 'N129') [[14.04537]]
('N8', 'N38') [[14.044297]]
('N59', 'N153') [[14.042185]]
('N43', 'N204') [[14.041207]]
('N31', 'N107') [[14.039418]]
('N138', 'N152') [[14.038284]]
('N56', 'N75') [[14.037903]]
('N56', 'N136') [[14.036043]]
('N59', 'N187') [[14.035596]]
('N67', 'N112') [[14.032991]]
('N36', 'N54') [[14.02474]]
('N86', 'N106') [[14.024013]]
('N47', 'N74') [[14.021892]]
('N56', 'N67') [[14.021768]]
('N138', 'N246') [[14.020998]]
('N59', 'N89') [[14.016232]]
('N120', 'N163') [[14.014977]]
('N204', 'N233') [[14.014294]]
('N138', 'N186') [[14.013642]]
('N36', 'N131') [[14.013283]]
('N143', 'N195') [[14.011452]]
('N56', 'N170') [[14.010519]]
('N234', 'N239') [[14.009918]]
('N67', 'N133') [[14.009173]]
('N127', 'N138') [[14.008454]]
('N19', 'N232') [[14.007831]]
('N138', 'N239') [[14.007706]]
('N36', 'N106') [[14.007673]]
('N155', 'M0P2') [[14.005488]]
('N208', 'N232') [[14.005275]]
('N96', 'N187') [[14.00508]]
('N38', 'M0P1') [[14.005013]]
('N15', 'N36') [[14.002907]]
('N112', 'N232') [[14.001146]]
('N56', 'M0P2') [[13.997088]]
('N36', 'N180') [[13.994158]]
('N89', 'N100') [[13.992268]]
('N35', 'N193') [[13.991182]]
('N85', 'N236') [[13.98973]]
('N187', 'N190') [[13.987419]]
('N63', 'N74') [[13.983501]]
('N106', 'N181') [[13.981642]]
('N93', 'N170') [[13.9810705]]
('N36', 'N41') [[13.980436]]
('N86', 'N170') [[13.9791]]
('N126', 'N229') [[13.97759]]
('N136', 'N232') [[13.976908]]
('N85', 'N232') [[13.976794]]
('N17', 'N252') [[13.976445]]
('N67', 'N121') [[13.971705]]
('N59', 'N226') [[13.97049]]
('N132', 'N232') [[13.970211]]
('N143', 'N226') [[13.969183]]
('N59', 'N180') [[13.961228]]
('N55', 'N226') [[13.958787]]
('N89', 'N187') [[13.957783]]
('N38', 'N252') [[13.955988]]
('N89', 'N193') [[13.955775]]
('N52', 'N181') [[13.9556675]]
('N6', 'N20') [[13.955389]]
('N36', 'N232') [[13.954841]]
('N106', 'N233') [[13.951906]]
('N131', 'N194') [[13.950153]]
('N86', 'N233') [[13.950047]]
('N14', 'N126') [[13.949181]]
('N138', 'N195') [[13.947082]]
('N74', 'N126') [[13.946524]]
('N195', 'M0P1') [[13.945729]]
('N116', 'N195') [[13.945405]]
('N226', 'N235') [[13.943135]]
('N61', 'N126') [[13.942726]]
('N56', 'N208') [[13.942471]]
('N38', 'M0P2') [[13.9421]]
('N38', 'N136') [[13.941856]]
('N121', 'N136') [[13.940413]]
('N89', 'N181') [[13.940075]]
('N126', 'N226') [[13.937215]]
('N56', 'N239') [[13.936863]]
('N38', 'N121') [[13.936716]]
('N38', 'N239') [[13.936635]]
('N47', 'N239') [[13.934831]]
('N17', 'N116') [[13.932417]]
('N89', 'N128') [[13.932282]]
('N26', 'N239') [[13.932132]]
('N17', 'N208') [[13.931091]]
('N111', 'N233') [[13.929941]]
('N36', 'N136') [[13.929764]]
('N138', 'N141') [[13.926362]]
('N181', 'N233') [[13.926341]]
('N75', 'N89') [[13.925411]]
('N35', 'N233') [[13.9211855]]
('N126', 'N135') [[13.918722]]
('N36', 'N226') [[13.91847]]
('N170', 'M0P2') [[13.918465]]
('N86', 'N182') [[13.918056]]
('N152', 'N181') [[13.917233]]
('N67', 'M0P2') [[13.9166155]]
('N86', 'N195') [[13.915592]]
('N172', 'M0P1') [[13.913577]]
('N86', 'M0P2') [[13.912968]]
('N120', 'N181') [[13.911612]]
('N35', 'N106') [[13.910349]]
('N74', 'N86') [[13.909502]]
('N6', 'N59') [[13.90948]]
('N204', 'M0P1') [[13.909033]]
('N43', 'M0P2') [[13.906493]]
('N114', 'N120') [[13.904611]]
('N27', 'N89') [[13.904108]]
('N136', 'N182') [[13.903384]]
('N59', 'N71') [[13.903373]]
('N31', 'N120') [[13.902314]]
('N132', 'N180') [[13.902162]]
('N86', 'N138') [[13.901943]]
('N9', 'N36') [[13.900261]]
('N74', 'N85') [[13.899666]]
('N59', 'N251') [[13.898899]]
('N110', 'N226') [[13.897189]]
('N9', 'N41') [[13.895047]]
('N181', 'N190') [[13.894464]]
('N121', 'N126') [[13.89396]]
('N69', 'N126') [[13.893806]]
('N69', 'M0P1') [[13.893062]]
('N181', 'N208') [[13.892069]]
('N17', 'N56') [[13.891999]]
('N120', 'N164') [[13.891911]]
('N59', 'N124') [[13.891652]]
('N74', 'N120') [[13.89082]]
('N67', 'N181') [[13.890606]]
('N107', 'N233') [[13.888552]]
('N130', 'M0P2') [[13.88799]]
('N36', 'N60') [[13.88742]]
('N17', 'N226') [[13.886542]]
('N138', 'N230') [[13.885592]]
('N89', 'N138') [[13.885163]]
('N6', 'N230') [[13.884113]]
('N6', 'N137') [[13.883608]]
('N181', 'N239') [[13.883486]]
('N69', 'N74') [[13.883427]]
('N114', 'N226') [[13.88292]]
('N41', 'N124') [[13.879645]]
('N137', 'N181') [[13.879231]]
('N86', 'N128') [[13.877795]]
('N91', 'N126') [[13.8777075]]
('N138', 'N212') [[13.877232]]
('N7', 'N138') [[13.876741]]
('N4', 'N36') [[13.875977]]
('N38', 'N101') [[13.87592]]
('N2', 'N138') [[13.875853]]
('N138', 'N251') [[13.875434]]
('N121', 'N138') [[13.874695]]
('N106', 'N142') [[13.873947]]
('N59', 'N70') [[13.873696]]
('N111', 'N132') [[13.873044]]
('N36', 'N165') [[13.872975]]
('N111', 'N126') [[13.872968]]
('N14', 'N233') [[13.872832]]
('N6', 'N17') [[13.871346]]
('N124', 'N126') [[13.870802]]
('N124', 'N233') [[13.8704195]]
('N56', 'N233') [[13.870121]]
('N6', 'N96') [[13.868814]]
('N59', 'N111') [[13.867177]]
('N47', 'N67') [[13.866877]]
('N63', 'N138') [[13.866667]]
('N232', 'M0P1') [[13.86576]]
('N86', 'N237') [[13.86387]]
('N135', 'N232') [[13.86352]]
('N5', 'N226') [[13.863214]]
('N170', 'N181') [[13.862878]]
('N6', 'N190') [[13.86112]]
('N133', 'N141') [[13.860757]]
('N61', 'N138') [[13.860643]]
('N75', 'M0P2') [[13.858242]]
('N232', 'N239') [[13.857868]]
('N126', 'N191') [[13.8576]]
('N85', 'M0P2') [[13.857415]]
('N136', 'N146') [[13.857173]]
('N31', 'N158') [[13.856756]]
('N17', 'N190') [[13.856668]]
('N86', 'M0P1') [[13.85638]]
('N59', 'N181') [[13.856114]]
('N1', 'N63') [[13.85574]]
('N69', 'N181') [[13.855185]]
('N186', 'N232') [[13.854011]]
('N145', 'N174') [[13.85301]]
('N6', 'N197') [[13.852864]]
('N36', 'N56') [[13.852835]]
('N86', 'N181') [[13.851558]]
('N6', 'N36') [[13.851391]]
('N36', 'N98') [[13.851203]]
('N107', 'N111') [[13.851022]]
('N56', 'N234') [[13.849454]]
('N86', 'N234') [[13.848548]]
('N181', 'N204') [[13.8477745]]
('N161', 'N227') [[13.84694]]
('N59', 'N152') [[13.846442]]
('N6', 'N67') [[13.846087]]
('N56', 'N120') [[13.845794]]
('N126', 'N138') [[13.845098]]
('N2', 'N59') [[13.843822]]
('N115', 'N126') [[13.8411045]]
('N36', 'N126') [[13.839855]]
('N126', 'N152') [[13.839789]]
('N136', 'N233') [[13.838731]]
('N126', 'N230') [[13.838172]]
('N120', 'N232') [[13.837372]]
('N36', 'N143') [[13.83687]]
('N36', 'N121') [[13.835502]]
('N74', 'N187') [[13.834718]]
('N62', 'N86') [[13.834586]]
('N6', 'N47') [[13.834285]]
('N59', 'N190') [[13.833808]]
('N17', 'N87') [[13.833333]]
('N17', 'N112') [[13.833329]]
('N50', 'N59') [[13.832858]]
('N41', 'N252') [[13.832848]]
('N126', 'N182') [[13.832797]]
('N7', 'N146') [[13.832622]]
('N59', 'N221') [[13.8325815]]
('N147', 'N252') [[13.832556]]
('N138', 'N166') [[13.832405]]
('N19', 'N59') [[13.83196]]
('N17', 'N135') [[13.831097]]
('N19', 'N138') [[13.830645]]
('N41', 'N138') [[13.829606]]
('N233', 'N252') [[13.828054]]
('N117', 'N138') [[13.825961]]
('N59', 'N197') [[13.825603]]
('N67', 'N136') [[13.824327]]
('N17', 'N163') [[13.823246]]
('N59', 'N193') [[13.819747]]
('N17', 'N165') [[13.818766]]
('N38', 'N56') [[13.818241]]
('N111', 'N232') [[13.817205]]
('N41', 'N163') [[13.816943]]
('N165', 'N181') [[13.815733]]
('N9', 'N86') [[13.815544]]
('N106', 'N138') [[13.815125]]
('N87', 'N138') [[13.813936]]
('N86', 'N119') [[13.813477]]
('N56', 'N69') [[13.813303]]
('N69', 'N132') [[13.813116]]
('N107', 'N232') [[13.813107]]
('N6', 'N138') [[13.812039]]
('N17', 'N101') [[13.809744]]
('N69', 'N170') [[13.809243]]
('N187', 'N192') [[13.809122]]
('N59', 'N137') [[13.808409]]
('N6', 'N152') [[13.807633]]
('N56', 'N60') [[13.805857]]
('N14', 'N170') [[13.805735]]
('N43', 'N86') [[13.804946]]
('N180', 'N232') [[13.804891]]
('N74', 'N136') [[13.804585]]
('N192', 'N226') [[13.804145]]
('N55', 'N192') [[13.804038]]
('N89', 'N136') [[13.803884]]
('N72', 'N187') [[13.803821]]
('N59', 'N164') [[13.8032055]]
('N138', 'N236') [[13.802456]]
('N36', 'N230') [[13.802044]]
('N56', 'N232') [[13.801846]]
('N67', 'N86') [[13.800969]]
('N14', 'N59') [[13.800891]]
('N126', 'N202') [[13.800609]]
('N35', 'N89') [[13.800042]]
('N35', 'N170') [[13.800009]]
('N136', 'N174') [[13.798763]]
('N7', 'N56') [[13.798563]]
('N67', 'N239') [[13.797926]]
('N204', 'N226') [[13.797629]]
('N31', 'N202') [[13.797599]]
('N6', 'N56') [[13.796635]]
('N86', 'N126') [[13.796162]]
('N143', 'N208') [[13.794615]]
('N43', 'N143') [[13.792884]]
('N86', 'N143') [[13.792377]]
('N6', 'N100') [[13.79198]]
('N71', 'N195') [[13.791521]]
('N37', 'N59') [[13.790499]]
('N36', 'N69') [[13.790305]]
('N17', 'N106') [[13.788712]]
('N126', 'N166') [[13.787282]]
('N233', 'N239') [[13.785017]]
('N38', 'N218') [[13.784715]]
('N69', 'N86') [[13.784298]]
('N151', 'N170') [[13.783903]]
('N117', 'N136') [[13.783737]]
('N75', 'M0P1') [[13.782213]]
('N7', 'N246') [[13.781285]]
('N136', 'N202') [[13.781099]]
('N75', 'N170') [[13.779941]]
('N6', 'N26') [[13.779837]]
('N36', 'N194') [[13.779823]]
('N89', 'N170') [[13.779619]]
('N56', 'N84') [[13.779363]]
('N36', 'N91') [[13.77926]]
('N39', 'N189') [[13.7788315]]
('N138', 'N208') [[13.778637]]
('N89', 'N252') [[13.77805]]
('N115', 'M0P1') [[13.777284]]
('N202', 'M0P1') [[13.777244]]
('N4', 'M0P2') [[13.7761965]]
('N59', 'N98') [[13.7760935]]
('N54', 'N232') [[13.775309]]
('N234', 'M0P1') [[13.775007]]
('N70', 'N204') [[13.774685]]
('N56', 'N66') [[13.774452]]
('N138', 'N145') [[13.774336]]
('N107', 'N126') [[13.774073]]
('N36', 'N252') [[13.772191]]
('N165', 'M0P2') [[13.772144]]
('N36', 'N204') [[13.772075]]
('N47', 'N208') [[13.770926]]
('N54', 'N59') [[13.770849]]
('N59', 'N131') [[13.770387]]
('N86', 'N96') [[13.769835]]
('N14', 'N181') [[13.7697525]]
('N138', 'N220') [[13.769738]]
('N151', 'M0P2') [[13.769585]]
('N89', 'N159') [[13.769331]]
('N138', 'M0P2') [[13.768758]]
('N62', 'M0P1') [[13.768686]]
('N106', 'N195') [[13.768466]]
('N38', 'N132') [[13.768449]]
('N126', 'N160') [[13.766672]]
('N41', 'N59') [[13.7665205]]
('N38', 'N246') [[13.76633]]
('N106', 'N163') [[13.7662325]]
('N159', 'N187') [[13.76479]]
('N48', 'N233') [[13.764751]]
('N67', 'N87') [[13.764383]]
('N129', 'N232') [[13.764345]]
('N9', 'N17') [[13.761651]]
('N152', 'N232') [[13.760712]]
('N16', 'N38') [[13.760342]]
('N43', 'N236') [[13.760144]]
('N70', 'N232') [[13.759828]]
('N47', 'N181') [[13.759169]]
('N38', 'N165') [[13.7589445]]
('N116', 'M0P2') [[13.758402]]
('N96', 'N232') [[13.757735]]
('N146', 'N243') [[13.756534]]
('N36', 'N133') [[13.755739]]
('N4', 'N59') [[13.755688]]
('N74', 'N150') [[13.75538]]
('N126', 'N246') [[13.755064]]
('N67', 'M0P1') [[13.754947]]
('N47', 'N138') [[13.754419]]
('N59', 'N207') [[13.754358]]
('N86', 'N99') [[13.754216]]
('N6', 'N75') [[13.754214]]
('N96', 'M0P2') [[13.754]]
('N74', 'N233') [[13.75246]]
('N72', 'N233') [[13.752326]]
('N120', 'N124') [[13.752176]]
('N6', 'N202') [[13.750872]]
('N59', 'N93') [[13.750137]]
('N187', 'N227') [[13.749627]]
('N195', 'N234') [[13.74949]]
('N71', 'N89') [[13.749225]]
('N16', 'N252') [[13.74892]]
('N2', 'N232') [[13.747223]]
('N38', 'N54') [[13.745982]]
('N27', 'N59') [[13.745794]]
('N14', 'N157') [[13.744542]]
('N38', 'N75') [[13.744281]]
('N86', 'N89') [[13.744197]]
('N86', 'N216') [[13.743909]]
('N74', 'N159') [[13.743807]]
('N31', 'N38') [[13.743535]]
('N72', 'M0P2') [[13.743098]]
('N126', 'N234') [[13.742292]]
('N38', 'N202') [[13.741982]]
('N56', 'N181') [[13.7415285]]
('N230', 'N232') [[13.740367]]
('N86', 'N165') [[13.738251]]
('N4', 'N232') [[13.737343]]
('N120', 'N142') [[13.736882]]
('N126', 'N232') [[13.736591]]
('N104', 'N126') [[13.735981]]
('N138', 'N193') [[13.734834]]
('N190', 'N239') [[13.734441]]
('N54', 'N132') [[13.73367]]
('N12', 'N59') [[13.733419]]
('N15', 'N232') [[13.73283]]
('N17', 'N38') [[13.73197]]
('N74', 'N89') [[13.731943]]
('N138', 'N237') [[13.731748]]
('N6', 'N133') [[13.731657]]
('N14', 'N136') [[13.731142]]
('N59', 'N161') [[13.731061]]
('N14', 'N121') [[13.730706]]
('N61', 'N232') [[13.730446]]
('N38', 'N74') [[13.729838]]
('N27', 'N36') [[13.729413]]
('N67', 'N107') [[13.728917]]
('N17', 'N197') [[13.7283945]]
('N138', 'N140') [[13.728162]]
('N59', 'N84') [[13.727851]]
('N17', 'N93') [[13.726442]]
('N38', 'N204') [[13.726029]]
('N10', 'N195') [[13.72501]]
('N11', 'N233') [[13.723876]]
('N126', 'N140') [[13.723465]]
('N74', 'M0P2') [[13.72324]]
('N41', 'N71') [[13.722484]]
('N59', 'N229') [[13.7222395]]
('N17', 'N183') [[13.721809]]
('N165', 'N233') [[13.721569]]
('N120', 'N150') [[13.7211685]]
('N60', 'M0P1') [[13.720991]]
('N59', 'N220') [[13.72035]]
('N153', 'N232') [[13.720061]]
('N132', 'N136') [[13.718962]]
('N106', 'N252') [[13.71744]]
('N38', 'N69') [[13.717288]]
('N126', 'N139') [[13.716576]]
('N121', 'N230') [[13.716445]]
('N54', 'N138') [[13.716329]]
('N136', 'N197') [[13.716163]]
('N56', 'N138') [[13.715962]]
('N17', 'N27') [[13.71591]]
('N126', 'N181') [[13.715695]]
('N7', 'N232') [[13.715595]]
('N56', 'N106') [[13.715241]]
('N89', 'N233') [[13.714637]]
('N59', 'N239') [[13.714389]]
('N36', 'N47') [[13.714298]]
('N86', 'N153') [[13.713777]]
('N6', 'N126') [[13.713506]]
('N7', 'N233') [[13.7131195]]
('N140', 'N233') [[13.710592]]
('N126', 'N137') [[13.708834]]
('N120', 'N192') [[13.708706]]
('N107', 'N229') [[13.708167]]
('N138', 'N226') [[13.708103]]
('N19', 'N56') [[13.707683]]
('N47', 'N190') [[13.707489]]
('N67', 'N180') [[13.706557]]
('N17', 'N120') [[13.705984]]
('N9', 'N252') [[13.704858]]
('N89', 'N197') [[13.704667]]
('N104', 'N181') [[13.704396]]
('N86', 'N136') [[13.704233]]
('N67', 'N187') [[13.70416]]
('N233', 'N251') [[13.703816]]
('N89', 'M0P1') [[13.703729]]
('N112', 'N136') [[13.703715]]
('N38', 'N220') [[13.703579]]
('N142', 'N181') [[13.703561]]
('N14', 'N52') [[13.703352]]
('N126', 'N186') [[13.703061]]
('N137', 'N192') [[13.702977]]
('N38', 'N140') [[13.702939]]
('N9', 'N67') [[13.702593]]
('N173', 'N232') [[13.702506]]
