('M0P1', 'M0P2') [[21.176804]]
('N71', 'N123') [[14.99174]]
('N26', 'M0P2') [[14.818982]]
('N65', 'N83') [[14.793411]]
('N6', 'N71') [[14.788406]]
('N71', 'N122') [[14.784826]]
('N71', 'N155') [[14.777757]]
('N132', 'M0P2') [[14.755732]]
('N24', 'N71') [[14.749576]]
('N9', 'N71') [[14.732924]]
('N71', 'N91') [[14.722892]]
('N71', 'N113') [[14.719883]]
('N65', 'N71') [[14.70619]]
('N65', 'M0P1') [[14.688518]]
('N62', 'N113') [[14.660322]]
('N71', 'N115') [[14.547199]]
('N71', 'N234') [[14.540915]]
('N132', 'M0P1') [[14.51302]]
('N62', 'N71') [[14.51205]]
('N65', 'N156') [[14.511852]]
('N122', 'N123') [[14.502938]]
('N26', 'M0P1') [[14.489796]]
('N91', 'N122') [[14.480674]]
('N122', 'N202') [[14.479466]]
('N92', 'N199') [[14.476965]]
('N71', 'M0P2') [[14.473669]]
('N137', 'N151') [[14.473212]]
('N71', 'N239') [[14.449855]]
('N71', 'N139') [[14.434473]]
('N71', 'N225') [[14.433754]]
('N71', 'N103') [[14.43073]]
('N111', 'N177') [[14.430095]]
('N9', 'N113') [[14.424901]]
('N30', 'N71') [[14.4218]]
('N62', 'N137') [[14.411256]]
('N31', 'N71') [[14.40489]]
('N7', 'M0P2') [[14.4021015]]
('N170', 'N244') [[14.379763]]
('N19', 'N71') [[14.37813]]
('N71', 'N126') [[14.375915]]
('N65', 'N123') [[14.375223]]
('N111', 'N244') [[14.368024]]
('N91', 'N231') [[14.367595]]
('N24', 'N113') [[14.361678]]
('N71', 'N156') [[14.354523]]
('N56', 'N122') [[14.352477]]
('N124', 'M0P1') [[14.351552]]
('N25', 'N71') [[14.344292]]
('N6', 'N151') [[14.341485]]
('N91', 'N113') [[14.341264]]
('N71', 'N179') [[14.339283]]
('N49', 'N91') [[14.337304]]
('N71', 'N151') [[14.326805]]
('N71', 'N137') [[14.326126]]
('N71', 'N212') [[14.323788]]
('N101', 'N113') [[14.322933]]
('N179', 'N202') [[14.3199415]]
('N123', 'N164') [[14.316956]]
('N151', 'N234') [[14.3160715]]
('N30', 'N91') [[14.312193]]
('N46', 'N71') [[14.310245]]
('N64', 'N122') [[14.308672]]
('N25', 'N65') [[14.307769]]
('N71', 'N186') [[14.305356]]
('N84', 'N113') [[14.300997]]
('N1', 'N71') [[14.300071]]
('N71', 'N76') [[14.292548]]
('N71', 'N111') [[14.290254]]
('N71', 'N199') [[14.287308]]
('N67', 'N71') [[14.286235]]
('N47', 'N199') [[14.284597]]
('N111', 'N199') [[14.280658]]
('N117', 'M0P2') [[14.279368]]
('N117', 'M0P1') [[14.277315]]
('N62', 'N233') [[14.275861]]
('N62', 'N121') [[14.274737]]
('N71', 'N247') [[14.27404]]
('N71', 'N228') [[14.273362]]
('N56', 'N91') [[14.269132]]
('N122', 'N243') [[14.263415]]
('N71', 'N117') [[14.261742]]
('N122', 'N179') [[14.26136]]
('N30', 'N155') [[14.2584305]]
('N122', 'N218') [[14.255657]]
('N123', 'N170') [[14.253733]]
('N65', 'N164') [[14.252508]]
('N111', 'N113') [[14.249019]]
('N12', 'N244') [[14.2464905]]
('N6', 'N65') [[14.24269]]
('N123', 'N239') [[14.242397]]
('N234', 'M0P1') [[14.240401]]
('N133', 'N212') [[14.239342]]
('N122', 'N156') [[14.237181]]
('N71', 'N188') [[14.237124]]
('N71', 'N202') [[14.235861]]
('N84', 'N244') [[14.232189]]
('N111', 'N151') [[14.224362]]
('N44', 'N71') [[14.218319]]
('N122', 'N244') [[14.216805]]
('N15', 'N65') [[14.215756]]
('N71', 'N218') [[14.213608]]
('N71', 'N224') [[14.210596]]
('N68', 'N71') [[14.208975]]
('N31', 'N151') [[14.207328]]
('N122', 'N146') [[14.206676]]
('N71', 'N233') [[14.206091]]
