('M0P1', 'M0P2') [[65.269966]]
('N175', 'N182') [[19.45638]]
('N36', 'N202') [[19.423475]]
('N36', 'N252') [[19.294188]]
('N212', 'N252') [[19.279306]]
('N175', 'N202') [[19.205841]]
('N76', 'N156') [[19.184305]]
('N156', 'N228') [[19.148376]]
('N156', 'N182') [[19.12996]]
('N36', 'N146') [[19.127258]]
('N152', 'N202') [[19.088737]]
('N165', 'N202') [[19.083578]]
('N101', 'N175') [[19.074802]]
('N192', 'N202') [[19.043058]]
('N63', 'N202') [[19.039114]]
('N76', 'N101') [[19.037193]]
('N10', 'N146') [[19.02822]]
('N19', 'N228') [[19.027088]]
('N36', 'N230') [[19.014523]]
('N101', 'N253') [[19.01321]]
('N202', 'N228') [[18.991516]]
('N148', 'N202') [[18.986862]]
('N223', 'N239') [[18.972383]]
('N86', 'N156') [[18.965864]]
('N156', 'N253') [[18.938896]]
('N156', 'N223') [[18.935602]]
('N19', 'N156') [[18.926332]]
('N202', 'N252') [[18.919144]]
('N19', 'N205') [[18.913134]]
('N114', 'N253') [[18.901747]]
('N36', 'N175') [[18.899664]]
('N19', 'N182') [[18.874622]]
('N156', 'N210') [[18.871767]]
('N101', 'N114') [[18.857351]]
('N202', 'N209') [[18.855774]]
('N228', 'N252') [[18.854149]]
('N162', 'N253') [[18.851389]]
('N63', 'N156') [[18.849281]]
('N127', 'N148') [[18.836527]]
('N114', 'N175') [[18.815561]]
('N95', 'N252') [[18.815418]]
('N99', 'N146') [[18.79905]]
('N36', 'N63') [[18.798594]]
('N135', 'N165') [[18.797056]]
('N124', 'N239') [[18.795649]]
('N182', 'N228') [[18.7927]]
('N202', 'N212') [[18.787031]]
('N19', 'N36') [[18.77034]]
('N65', 'N182') [[18.769604]]
('N101', 'N226') [[18.76671]]
('N156', 'N175') [[18.757915]]
('N12', 'N156') [[18.752523]]
('N146', 'N226') [[18.751608]]
('N173', 'N202') [[18.750557]]
('N146', 'N205') [[18.747257]]
('N36', 'N148') [[18.74505]]
('N36', 'N245') [[18.73816]]
('N200', 'N202') [[18.732086]]
('N19', 'N124') [[18.730928]]
('N184', 'N202') [[18.730457]]
('N87', 'N182') [[18.728941]]
('N128', 'N200') [[18.723932]]
('N146', 'N202') [[18.717196]]
('N202', 'N214') [[18.705742]]
('N95', 'N253') [[18.701826]]
('N19', 'N239') [[18.694181]]
('N60', 'N156') [[18.689857]]
('N105', 'N202') [[18.687368]]
('N173', 'N175') [[18.68408]]
('N132', 'N170') [[18.683739]]
('N101', 'N132') [[18.679094]]
('N39', 'N95') [[18.676012]]
('N101', 'N105') [[18.673065]]
('N175', 'N212') [[18.67297]]
('N200', 'N226') [[18.67219]]
('N19', 'N173') [[18.67202]]
('N165', 'N200') [[18.670843]]
('N182', 'N231') [[18.669994]]
('N39', 'N252') [[18.668097]]
('N36', 'N45') [[18.667141]]
('N19', 'N221') [[18.66435]]
('N196', 'N252') [[18.656769]]
('N45', 'N202') [[18.655964]]
('N175', 'N253') [[18.654568]]
('N114', 'N182') [[18.653572]]
('N19', 'N252') [[18.652956]]
('N19', 'N202') [[18.652903]]
('N156', 'N193') [[18.651543]]
('N156', 'N232') [[18.647392]]
