('M0P1', 'M0P2') [[40.8207]]
('N24', 'M0P2') [[21.298052]]
('N24', 'M0P1') [[21.166615]]
('N204', 'M0P1') [[19.240025]]
('N204', 'M0P2') [[19.214636]]
('N233', 'M0P2') [[19.139868]]
('N178', 'N181') [[19.123018]]
('N14', 'N24') [[19.10004]]
('N32', 'N37') [[19.098986]]
('N17', 'N140') [[19.077763]]
('N14', 'N178') [[19.034784]]
('N233', 'M0P1') [[19.021152]]
('N109', 'N238') [[19.005041]]
('N24', 'N251') [[18.98426]]
('N17', 'N181') [[18.912067]]
('N217', 'N251') [[18.90953]]
('N24', 'N32') [[18.906702]]
('N24', 'N181') [[18.881899]]
('N37', 'N88') [[18.87394]]
('N167', 'N181') [[18.862518]]
('N59', 'N140') [[18.86251]]
('N4', 'N235') [[18.841215]]
('N24', 'N178') [[18.82607]]
('N109', 'N167') [[18.823732]]
('N14', 'N26') [[18.802755]]
('N167', 'N242') [[18.79893]]
('N28', 'N123') [[18.797361]]
('N17', 'N251') [[18.796494]]
('N71', 'N209') [[18.78844]]
('N45', 'N181') [[18.781124]]
('N168', 'N192') [[18.777672]]
('N9', 'N24') [[18.771492]]
('N88', 'N113') [[18.767471]]
('N168', 'N178') [[18.75066]]
('N88', 'N166') [[18.73601]]
('N110', 'N120') [[18.73451]]
('N4', 'N236') [[18.734476]]
('N26', 'N251') [[18.73144]]
('N140', 'N155') [[18.729164]]
('N88', 'N136') [[18.720016]]
('N37', 'N235') [[18.714352]]
('N14', 'N158') [[18.714098]]
('N119', 'N178') [[18.710594]]
('N24', 'N26') [[18.708435]]
('N205', 'N251') [[18.708397]]
('N109', 'N189') [[18.707918]]
('N24', 'N140') [[18.702065]]
('N20', 'N67') [[18.694836]]
('N113', 'N251') [[18.694256]]
('N81', 'N178') [[18.688385]]
('N24', 'N204') [[18.68794]]
('N49', 'N88') [[18.687817]]
('N13', 'N251') [[18.683178]]
('N45', 'N109') [[18.680256]]
('N17', 'N223') [[18.680002]]
('N88', 'N178') [[18.676374]]
('N109', 'N155') [[18.672447]]
('N236', 'N242') [[18.669819]]
('N167', 'N178') [[18.667282]]
('N178', 'N190') [[18.663317]]
('N9', 'N88') [[18.663105]]
('N181', 'N251') [[18.660938]]
('N105', 'N140') [[18.656702]]
('N105', 'N251') [[18.656174]]
('N32', 'N54') [[18.647972]]
('N9', 'N32') [[18.647556]]
('N4', 'N37') [[18.645658]]
('N109', 'N251') [[18.639002]]
('N203', 'N205') [[18.637632]]
('N24', 'N150') [[18.637007]]
('N136', 'N178') [[18.635702]]
('N142', 'N192') [[18.62695]]
('N109', 'N140') [[18.624376]]
('N4', 'N181') [[18.623934]]
('N163', 'N192') [[18.617252]]
('N169', 'N192') [[18.616827]]
('N119', 'N167') [[18.616703]]
('N140', 'N178') [[18.608492]]
('N204', 'N223') [[18.608223]]
('N45', 'N223') [[18.599045]]
('N88', 'N155') [[18.598516]]
