Avg betweenness: 0.007163813508954548

Gene	betweenness
ZFAND2A	0.3550271708641316
MIR4421	0.11933645008975972
DACH1	0.09225588794778071
LRRC10B	0.08703401307570943
SLC7A2	0.08315567673892317
SLC39A8	0.0781178431695587
CCDC63	0.05170287768194284
RPS27	0.04379123989811797
SSPN	0.037089603322641204
GPR20	0.024587523501804272
HRCT1	0.02358863599820686
DBH	0.021926599858572905
CAPZA1	0.01824398885943579
SLC8A1	0.01685198823401473
MECR	0.015706652844629874
GAB2	0.015672701771224814
BANK1	0.014840124659115024
AC018866.2	0.01443582644449992
DNAJB4	0.010926348460185685
NUDT3	0.010679114090229367
PDE10A	0.00980334370675965
SH2B3	0.009441465721055793
