Avg bridging: 0.0013263703418058845

Gene	bridging
CCDC63	0.022164680806201768
DACH1	0.014070693345825912
LRRC10B	0.013050146305224433
SLC39A8	0.012015188476117891
MIR4421	0.011695302890128515
HRCT1	0.009692552263171027
SLC7A2	0.009050233696147856
SSPN	0.008900030480098822
ZFAND2A	0.008734505951542838
GPR20	0.008130146634839899
RPS27	0.008058147711034093
BANK1	0.007907251721168579
MECR	0.007843767046662441
DBH	0.007644161963033969
AC018866.2	0.007558044828452545
CAPZA1	0.007387361316965521
SLC8A1	0.006429991404642305
NUDT3	0.0054676306538089135
GAB2	0.005191710661742329
DNAJB4	0.005012266547284363
PDE10A	0.004621897276780672
SH2B3	0.0031292632806501296
CABCOCO1	0.002369997766912608
PRSS44P	0.0022515285973263616
ATP12A	0.0017144558608575054
POLN	0.0016350837392966424
RIMKLB	0.001634028172295288
EXOC5P1	0.0014618120583267831
BTRC	0.001403321620566651
PDE1A	0.0013776968543594821
