Avg closeness: 0.4656968569684436

Gene	closeness
ZFAND2A	0.784037558685446
MIR4421	0.6549019607843137
SLC7A2	0.6472868217054264
LRRC10B	0.630188679245283
SLC39A8	0.6185185185185185
DACH1	0.6185185185185185
RPS27	0.6072727272727273
SSPN	0.583916083916084
GAB2	0.5641891891891891
GPR20	0.5604026845637584
CAPZA1	0.5566666666666666
SLC8A1	0.5529801324503312
SH2B3	0.5493421052631579
DBH	0.5493421052631579
CCDC63	0.545751633986928
POLN	0.540453074433657
HRCT1	0.5387096774193548
ATP12A	0.5387096774193548
AC016735.1	0.5352564102564102
DNAJB4	0.5301587301587302
CABCOCO1	0.5301587301587302
PDE1A	0.5284810126582279
BANK1	0.5284810126582279
PDE10A	0.526813880126183
GABBR1	0.526813880126183
BTRC	0.521875
HDAC7	0.5202492211838006
MECR	0.5186335403726708
RPS27P25	0.5170278637770898
NTN4	0.5170278637770898
MXI1	0.5154320987654321
NUDT3	0.5138461538461538
AC018866.2	0.5107033639143731
TEX41	0.5091463414634146
AL356534.1	0.5060606060606061
EXOC5P1	0.5045317220543807
NAV1	0.5015015015015015
GMPPA	0.5015015015015015
CCDC141	0.5015015015015015
KIF2A	0.49554896142433236
GDF2	0.49554896142433236
AGPAT4	0.49554896142433236
SLC35F1	0.4940828402366864
NCOR2	0.49262536873156343
FRK	0.49262536873156343
CCM2	0.49262536873156343
CCKBR	0.49262536873156343
ZAP70	0.49117647058823527
SORCS3	0.49117647058823527
SDCCAG8	0.49117647058823527
GUCY1A1	0.4897360703812317
ARHGEF17	0.48830409356725146
GRM7	0.4868804664723032
UBASH3B	0.48546511627906974
RAPSN	0.48546511627906974
PLEKHG1	0.48546511627906974
AC099535.1	0.48546511627906974
RIMKLB	0.48265895953757226
RBMS3	0.48265895953757226
PRSS44P	0.48265895953757226
MRAS	0.48265895953757226
NOS3	0.4812680115273775
GNB4	0.4812680115273775
PABPC4	0.47988505747126436
MYEOV	0.47988505747126436
AC068985.1	0.47988505747126436
TASOR	0.4785100286532951
RERE	0.47714285714285715
MLF1	0.47714285714285715
KLF7	0.47714285714285715
DUSP1	0.47714285714285715
HSPA4	0.4757834757834758
FRS2	0.4757834757834758
FAHD2CP	0.4757834757834758
AC109322.2	0.4757834757834758
AC055878.1	0.4757834757834758
CLPB	0.4744318181818182
PRDM16	0.4730878186968839
MINDY4	0.4730878186968839
CD160	0.4704225352112676
AL137781.1	0.4691011235955056
STN1	0.4677871148459384
AC016745.1	0.4677871148459384
AC008125.1	0.4677871148459384
RPL24P7	0.4664804469273743
ARHGAP42	0.4664804469273743
