Avg eigenvector: 0.05373747814224364

Gene	eigenvector
ZFAND2A	0.2796536271279102
MIR4421	0.23585194140609883
SLC7A2	0.23478376583024888
LRRC10B	0.2165502973106172
SLC39A8	0.21340495547067312
DACH1	0.21095146055195735
RPS27	0.2033977133869771
SSPN	0.18674673235550132
GAB2	0.16335902178456022
GPR20	0.15761465568209546
SH2B3	0.1540370770717802
SLC8A1	0.15091050414745194
DBH	0.14621278003051935
CAPZA1	0.14084399722213675
ATP12A	0.13691983802602903
GABBR1	0.13488737360638783
AC016735.1	0.13421332781764495
POLN	0.12950935416314963
HRCT1	0.12910162974604833
CABCOCO1	0.12856985594629758
CCDC63	0.12707141164693853
PDE10A	0.12190842981609828
HDAC7	0.11579709461951991
DNAJB4	0.11558101913486903
PDE1A	0.11515691235963918
NTN4	0.11164245386913854
BANK1	0.10850514412829902
BTRC	0.1058493387213773
NUDT3	0.10424048900613599
MECR	0.0952917391012246
RPS27P25	0.09483785403832787
TEX41	0.0943269100760741
CCDC141	0.0922963456209811
AC018866.2	0.09054628745122356
MXI1	0.08953502100606807
AL356534.1	0.08710729901029801
GMPPA	0.08557863440219496
NAV1	0.08110182831240688
KIF2A	0.07747179128478067
PRSS44P	0.07577211038761132
EXOC5P1	0.07362489939911804
CCM2	0.07126365238308162
SDCCAG8	0.06981479160830557
RAPSN	0.06916073396239521
FRK	0.06794141306989175
AGPAT4	0.0678344070591738
SLC35F1	0.06612293264170022
ZAP70	0.06429425344163354
GUCY1A1	0.06377291582393113
PLEKHG1	0.06303268305154294
ARHGEF17	0.06297752514709772
CCKBR	0.06293138689827164
AC099535.1	0.06242251292021294
SORCS3	0.06005839678515022
UBASH3B	0.05669036369575824
GDF2	0.056616081010751315
GRM7	0.05569698564479844
HSPA4	0.05538655777403645
NCOR2	0.05497433694077973
DUSP1	0.05431259240502997
RBMS3	0.053975548795182876
