Avg bridging: 0.0010854875737341435

Gene	bridging
AL355499.1	0.01787655094088168
GATA2	0.016787651637526983
AC087312.1	0.015682660641117202
TRIP6	0.012217085123189407
HGFAC	0.011925457761424365
APOE	0.008348883454612765
MORF4L1	0.008181985822031598
FGD6	0.007856044717898886
AC023161.1	0.007844700398019058
EDNRA	0.007364022093845555
CCND2	0.006582051723978611
AC091152.3	0.006269330168032732
SUGCT	0.0062301509088761335
AC104119.1	0.0042844799649129385
VAC14	0.00333178487094752
FNDC3B	0.0033291308068397795
AC074286.1	0.00324593578595955
AP003351.1	0.0031484680763566937
KCNH4	0.0030520230223538268
WNT7A	0.002978757259390017
PAPPA2	0.002973679697125041
PHACTR4	0.0029732438315234265
KIF15	0.002930243748761914
NOTCH3	0.0026531438150747136
MYPN	0.002191762808346046
OSBPL7	0.0019458439684148727
SPIB	0.0017871038335946535
FAM186B	0.001649174351497332
AC009097.2	0.0016008187232962046
FHOD3	0.0015855617814237986
AC024267.2	0.0015534233424376797
LIG3	0.001552975120100818
PROM1	0.0013199886711261198
AL359091.2	0.0012998121020330643
ELN	0.0012473868430624725
FER	0.0011727089247529974
LUZP1	0.0011667042437184072
