Avg closeness: 0.4660865261751344

Gene	closeness
AL355499.1	0.7698744769874477
GATA2	0.6943396226415094
AC087312.1	0.6501766784452296
HGFAC	0.5954692556634305
TRIP6	0.5935483870967742
EDNRA	0.5859872611464968
CCND2	0.5841269841269842
SUGCT	0.5822784810126582
APOE	0.5714285714285714
AC104119.1	0.5714285714285714
KCNH4	0.5459940652818991
SPIB	0.5411764705882353
FNDC3B	0.5411764705882353
AP003351.1	0.5395894428152492
MYPN	0.5380116959064327
WNT7A	0.5333333333333333
PAPPA2	0.5333333333333333
FGD6	0.5333333333333333
AC024267.2	0.5302593659942363
PHACTR4	0.5287356321839081
OSBPL7	0.5287356321839081
PROM1	0.5272206303724928
LINC01611	0.5272206303724928
AC091152.3	0.5242165242165242
MYH6	0.5227272727272727
KIF15	0.5227272727272727
HMGB3P18	0.5227272727272727
LIG3	0.5212464589235127
AC007563.2	0.5212464589235127
NOTCH3	0.519774011299435
KAT2B	0.519774011299435
FHOD3	0.519774011299435
FER	0.519774011299435
AC074286.1	0.519774011299435
AC009097.2	0.5154061624649859
VAC14	0.5139664804469274
ELN	0.5139664804469274
EEPD1	0.5139664804469274
MYO1E	0.5125348189415042
COG5	0.5125348189415042
AC004869.1	0.5125348189415042
EBF1	0.5111111111111111
DOT1L	0.5096952908587258
PLXDC2	0.5082872928176796
FOXO3	0.5068870523415978
AC023161.1	0.5054945054945055
TP53	0.5041095890410959
LUZP1	0.5041095890410959
LINC02230	0.5027322404371585
AC058822.1	0.5027322404371585
PYY	0.5
FAM186B	0.5
ZNF467	0.4986449864498645
RN7SKP15	0.4972972972972973
HDAC9	0.4972972972972973
AL359091.2	0.4972972972972973
ITGA1	0.4932975871313673
ODF2L	0.49066666666666664
CCDC75P1	0.49066666666666664
AL163932.1	0.49066666666666664
ARL6IP6	0.48936170212765956
FBLN5	0.48677248677248675
RNF207	0.4842105263157895
MPPE1P1	0.4842105263157895
LRRC69	0.48293963254593175
YKT6	0.4804177545691906
SAMD4AA	0.4791666666666667
MSH5	0.4791666666666667
AC009070.1	0.4791666666666667
RANP6	0.4779220779220779
KCNQ5	0.4779220779220779
AL357146.1	0.47668393782383417
CEP164	0.4754521963824289
AC093904.1	0.4754521963824289
NEBL	0.4742268041237113
ABCC9	0.4742268041237113
JCAD	0.47058823529411764
RIN3	0.46938775510204084
MAP2K2	0.46938775510204084
CYBRD1	0.46938775510204084
AL365295.1	0.46938775510204084
RABGAP1	0.467005076142132
