Avg degree: 10.81081081081081

Gene	Degree
AL355499.1	130
GATA2	103
AC087312.1	85
HGFAC	60
TRIP6	59
EDNRA	56
CCND2	54
SUGCT	53
APOE	49
AC104119.1	47
KCNH4	35
SPIB	32
FNDC3B	32
AP003351.1	31
MYPN	29
OSBPL7	27
FGD6	27
AC091152.3	27
WNT7A	26
PAPPA2	26
AC024267.2	25
PROM1	24
KIF15	24
VAC14	23
PHACTR4	23
LINC01611	23
NOTCH3	22
HMGB3P18	22
AC007563.2	21
FER	20
AC074286.1	20
MYH6	19
LIG3	19
AC009097.2	19
LUZP1	18
FHOD3	18
AC004869.1	18
KAT2B	17
EEPD1	17
ELN	16
COG5	16
SCAI	15
MYO1E	15
FOXO3	15
DOT1L	15
TP53	13
TMEM239	13
PLXDC2	13
LINC02230	13
FAM186B	13
EBF1	13
AC009070.1	13
AC023161.1	12
