Avg eigenvector: 0.04996987863216509

Gene	eigenvector
AL355499.1	0.2800192712440706
GATA2	0.2587120268632379
AC087312.1	0.24223072801188988
TRIP6	0.20344023612265466
SUGCT	0.2022349788113882
HGFAC	0.20018861343369845
EDNRA	0.1993420170965717
CCND2	0.19748541539396522
AC104119.1	0.18406289853619295
APOE	0.17783136256730317
KCNH4	0.14865218888347628
SPIB	0.1446794143077835
MYPN	0.13880909248566264
AP003351.1	0.13305782340133804
FNDC3B	0.1312160911384922
OSBPL7	0.12468398019142794
WNT7A	0.11816795195758431
LINC01611	0.11734655590558055
AC024267.2	0.11655953241685146
PAPPA2	0.11487614851778714
PHACTR4	0.113410871537536
PROM1	0.11287130305343517
FGD6	0.11176552005027846
KIF15	0.11125118695582221
MYH6	0.10903538441360026
VAC14	0.10900896695991986
HMGB3P18	0.10856384122304875
FER	0.10582416882752795
KAT2B	0.1027653048442171
AC007563.2	0.10231370442697316
AC074286.1	0.10130050683621011
AC091152.3	0.09996725722880993
LIG3	0.09862082667488938
NOTCH3	0.09587311912869338
AC004869.1	0.09480102309092873
FHOD3	0.09478586028376916
EEPD1	0.09072540135322193
AC009097.2	0.09000725136691881
ELN	0.08788624245840504
MYO1E	0.08593973582506202
DOT1L	0.08242337855674053
LUZP1	0.08228305130244762
COG5	0.08168388991669535
FOXO3	0.07825714845554528
PLXDC2	0.07761296999681552
EBF1	0.0736291007493437
LINC02230	0.06987410398457783
SCAI	0.06878130572066495
TP53	0.06876489973583232
TMEM239	0.06554574465699893
AC009070.1	0.06548383029247688
ZNF467	0.063628924965942
AC023161.1	0.061985745273988244
AC058822.1	0.06118148845408067
FAM186B	0.06086681635430446
RN7SKP15	0.06027669181053517
ITGA1	0.059176989201133824
AL359091.2	0.05659499892527335
ODF2L	0.05519718329812627
HDAC9	0.054548131295760145
PYY	0.05450450402715569
MORF4L1	0.05417990367913752
