Avg betweenness: 0.005976012129529573

Gene	betweenness
PTEN	0.4396989106863828
PRKAG1	0.2596884136581882
ARHGEF25	0.06406997265081647
HNF4GP1	0.052633181014856444
TFAP2D	0.048012584075661766
C12orf75	0.043755539669465784
CDC16	0.0436982497814007
TTC28	0.03670419748329708
AC004917.1	0.030487472202401993
GRIN2B	0.019551756348456663
NCALD	0.015363946149881078
CNNM2	0.012413599279359118
RPL17P50	0.011294708798848535
AC087664.2	0.011128800990642606
SVEP1	0.009580009685172064
FARP2	0.008840689222174462
