Avg bridging: 0.0007990780222530144

Gene	bridging
C12orf75	0.013558803606108576
PRKAG1	0.012502242657565162
TFAP2D	0.011446610988070484
ARHGEF25	0.011369864112849114
TTC28	0.008816890992943404
HNF4GP1	0.008315245826017163
CDC16	0.006811544774637041
AC087664.2	0.0067002206212511866
RPL17P50	0.006589045806517092
AC004917.1	0.006379588151733493
GRIN2B	0.006124461942477952
NCALD	0.005636082082994043
PTEN	0.005458526007089028
CNNM2	0.004580884744908221
SVEP1	0.004420756493871182
FARP2	0.0036831528893937864
GLIS3	0.0029147527340069195
PLCD3	0.0027736471237816054
RNF130	0.002767577897144727
L2HGDH	0.002193696548300525
LRBA	0.0018246395866025281
WASF3	0.0017180053702515433
AMPD3	0.0016552029825133497
CWC27	0.0016525152822861404
TBR1	0.0015426564234693346
AC068888.1	0.0014886412096111513
LINC01478	0.0014664780904133593
PRKD3	0.0014655242139346763
CDKAL1	0.0008979419420241552
