Avg degree: 10.256410256410257

Gene	Degree
PTEN	150
PRKAG1	118
HNF4GP1	68
CDC16	66
ARHGEF25	64
AC004917.1	57
TTC28	56
TFAP2D	56
GRIN2B	41
C12orf75	41
NCALD	37
FARP2	36
CNNM2	36
L2HGDH	33
SVEP1	30
LRBA	28
AC068888.1	28
WASF3	26
PLCD3	26
RNF130	25
RNY1P8	21
NAA60	21
CWC27	21
AMPD3	21
PPP2R5E	20
MTHFR	20
FBRSL1	19
AC087664.2	19
KDF1	18
GLIS3	18
CDKAL1	18
AL590080.1	18
UFL1	17
HOXA3	17
SNRNP70	16
SZT2	15
RPL17P50	15
RBMS1	15
PRKD3	15
PREX2	15
LINC00824	15
TBR1	14
SKI	14
APOH	14
STK39	13
S1PR2	13
EIF2AK4	12
OLA1	11
AC091979.1	11
