Avg eigenvector: 0.04925982478693546

Gene	eigenvector
PTEN	0.3134086248935944
PRKAG1	0.2829656214306369
CDC16	0.2223527384255366
HNF4GP1	0.21648507981915158
ARHGEF25	0.2041332857094582
AC004917.1	0.19179891277464847
TTC28	0.1893200392563509
TFAP2D	0.1884229078684353
GRIN2B	0.15226378758460757
C12orf75	0.15173648664288472
NCALD	0.14996811258066714
CNNM2	0.1486408278831777
L2HGDH	0.14669690375675243
FARP2	0.1393195713677179
SVEP1	0.1281397795792553
LRBA	0.12553821378517346
AC068888.1	0.12373767940357165
WASF3	0.12184058782370862
RNF130	0.11718349738448376
RNY1P8	0.1099216104896855
PLCD3	0.10975575675515721
MTHFR	0.10846638264642779
NAA60	0.1046599630354656
FBRSL1	0.10389030452001667
AMPD3	0.10141415247512767
CDKAL1	0.09835933915964219
UFL1	0.09747099252710115
CWC27	0.09599897437558044
HOXA3	0.09303683767143328
PREX2	0.09222035216252257
SZT2	0.09150726824348729
GLIS3	0.09063380064404128
AL590080.1	0.09063325455172848
SNRNP70	0.08949863056958647
KDF1	0.08844675491473616
PPP2R5E	0.08823541362180116
AC087664.2	0.08626685380652106
LINC00824	0.08483312236991311
S1PR2	0.08429589577851818
APOH	0.07976017646080874
PRKD3	0.07939231040529451
RBMS1	0.078679383766317
SKI	0.0785941599142694
EIF2AK4	0.07612573855924144
STK39	0.06806750869548969
AC091979.1	0.06752711134511005
OLA1	0.06695570980898287
ERBB4	0.06652362519337818
ZNF318	0.06472506731042553
TBR1	0.06386957793534549
RAD52	0.06148186716772078
LATS2	0.06107387404611493
RPL17P50	0.06090235170366163
MKLN1	0.05973256353499409
FAM13A	0.059424678910683704
AC099541.1	0.0589397474881569
JAZF1	0.05810968532445377
PRDM6	0.05781587729743111
FOXC1	0.056683341781048543
LINC02172	0.05631170766362028
MAST4	0.05497560277530384
AC073359.1	0.05410573626596328
SIPA1	0.05319677394973752
PDE8A	0.05300420900628256
NIBAN2	0.05083717581372433
LRCH1	0.050443673295543515
BANP	0.049384414053618875
