Avg betweenness: 0.006447252669633279

Gene	betweenness
AL355499.1	0.4093746350480012
GATA2	0.22640424727751957
AC087312.1	0.12973403338517853
TRIP6	0.0623825194505113
HGFAC	0.058600706335535886
APOE	0.03267636415524117
EDNRA	0.03125094612926765
CCND2	0.02895465606392576
SUGCT	0.027751919113244625
FGD6	0.016622174166342752
AC104119.1	0.015893917838059785
AC091152.3	0.013084628602647402
AC023161.1	0.011281897974466513
MORF4L1	0.011208845484532194
FNDC3B	0.007898304022281378
KCNH4	0.007850357430202161
AP003351.1	0.007361739615974695
