rs709209 ICMT,RNF207
rs9662255 None
rs150266910 LUZP1
rs143167197 PHACTR4
rs4652875 PHC2
rs4360494 SF3A3,RNU6-510P
rs72659998 CCDC30,RNU6-536P,AL445669.1
rs512083 AKR1A1
rs147696085 FAF1
rs112557609 None
rs60199046 AC093425.1,LINC01358
rs20354 SGIP1
rs12034319 DDAH1,AC092807.4,AC092807.3
rs385437 ODF2L,MIR7856
rs17516329 TGFBR3
rs11585169 ENSA,AL356356.1
rs4656180 NME7
rs12118102 PAPPA2
rs10913934 QSOX1
rs2761436 None
rs2820443 None
rs36006409 CELF2
rs11010905 MALRD1
rs72795925 PLXDC2
rs10732433 None
rs9337951 JCAD
rs11008355 AL359546.1
rs10826995 None
rs7914287 CTNNA3
rs10823136 None
rs10998362 TET1
rs10887914 TSPAN14
rs11191156 ARMH3
rs34872471 TCF7L2
rs7126805 CD151,PNPLA2,CRACR2B,AP006621.1
rs11031051 ARL14EP
rs4922591 None
rs4755947 PRDM11,AC103681.2
rs11607056 TMX2,AP001931.2
rs4980515 COX8A,AP000721.1
rs2289125 NOX4
rs10830963 MTNR1B
rs12807220 YAP1
rs8258 CEP164
rs11222084 ADAMTS8,ZBTB44-DT
rs11222386 SNX19
rs117233107 None
rs7313556 RERG
rs73080726 PDE3A
rs704191 ABCC9,AC008250.1
rs17287293 None
rs10842991 RN7SKP15
rs2261608 H1-7,AC024257.5
rs7977389 FAM186B,PRPF40B
rs76785029 AC023161.1
rs7977311 FGD6
rs11615689 MED13L
rs4304924 None
rs3742182 ING1
rs9549328 MCF2L
rs452036 MYH6
rs8904 NFKBIA
rs210381 AL365295.1
rs7144602 None
rs11627326 None
rs4904503 None
rs2244643 FBLN5
rs11160085 RIN3
rs8013933 CCDC197
rs9323988 AL163932.1
rs1475130 EML1
rs28470843 YY1,AL157871.6,MIR6764
rs11626434 None
rs1036477 FBN1
rs3098186 USP8,USP50
rs3191402 MYO1E,AC092757.2
rs956006 TLN2
rs832890 AC069368.1,AC069368.2
rs2289261 SMAD3
rs62011052 MORF4L1,RPL21P116
rs66990951 ADAMTSL3
rs28611491 IDH2,IDH2-DT
rs11632112 CHD2,AC013394.1
rs11248862 AC120498.4
rs4785955 LINC01569
rs11642631 CLEC16A
rs3915425 MYH11
rs11639856 TNRC6A
rs37060 CNOT1
rs28633979 AC009055.1
rs33063 NFAT5
rs62047964 VAC14
rs62053102 AC009097.2
rs35261357 CFDP1,AC009163.2,AC009163.5
rs56844452 ARLNC1,AC009070.1
rs7500448 CDH13
