rs7796  NADK
rs260508    SKI
rs880315    CASZ1 
rs17367504  MTHFR
rs3820068   CELA2A 
rs2807337   LOC107985377 
rs79598313  KDF1 
rs3737801   FGR 
rs11210029  None
rs7515635   HIVEP3 
rs839755    SZT2,MED8
rs11579440  AGBL4 
rs10923038  None
rs10922502  None
rs7514579   BCAR3 
rs76719272  SEMA4A
rs1043069   XPR1 
rs4651224   C1orf21,LOC107985236 
rs12042924  CRB1 
rs7555285   IRF6 
rs67720684  LOC105373456
rs1344653   None
rs55701159  ADCY3
rs1275988   KCNK3 
rs9678851   SUPT7L,SLC4A1AP 
rs7562  FOSL2 
rs13420463  PRKD3
rs35590893  THADA 
rs6545155   NRXN1 
rs10189186  LOC105369165
rs2920899   RTN4 
rs2300481   MEIS1 
rs72847885  POLR1A 
rs6723509   TFCP2L1 
rs72844590  THSD7B 
rs79523138  None
rs55732192  TBR1 
rs1446468   None
rs6712203   COBLL1 
rs6749447   STK39 
rs11694601  OLA1 
rs1837164   PDE11A 
rs1486236   None
rs6739913   LOC105373777 
rs28558491  None
rs296797    None
rs55780018  LINC01857 
rs1047891   CPS1 
rs12694277  ERBB4 
rs2972146   None
rs1044822   TRIP12 
rs139354822 FARP2 
rs347591    HRH1 
rs11128722  FGD5
rs12638085  LOC101927995 
rs267517    ITGA9 
rs6788984   None
rs6774721   None
rs4499560   None
rs9857362   None
rs1375564   CADM2 
rs6438857   ITGB5 
rs9875380   TMEM108 
rs863930    None
rs143112823 None
rs9833313   None
rs262986    YEATS2 
rs2610990   LCORL 
rs2291435   LINC02513 
rs12511987  None
rs10008637  SHROOM3 
rs2014912   ARHGAP24 
rs13149209  FAM13A 
rs1347345   BMPR1B 
rs13112725  None
rs3097937   LINC01091 
rs7439567   None
rs72719160  None
rs6823767   LRBA 
rs17035181  None
rs4957026   AHRR
rs10069690  TERT
rs1173771   None
rs74774746  LOC107986411 
rs1694068   ARL15 
rs13179413  C5orf67 
rs6875372   CWC27 
rs3121685   LOC105379003 
rs4286632   MAST4 
rs246973    None
rs10059921  TMEM161B 
rs709668    ERAP1 
rs1871190   None
rs10077885  None
rs13359291  PRDM6 
rs62373688  LINC01184 
rs6595838   FBN2 
rs702395    ZMAT2 
rs1650911   SPRY4-AS1
rs11953630  None
rs12153395  RNF130 
rs2745599   FOXC1 
rs9368222   CDKAL1 
rs6911827   CASC15 
rs1563788   ZNF318
rs78648104  TFAP2D 
rs9449350   None
rs35410524  UFL1-AS1
rs2498586   NUS1 
rs10782230  NCOA7 
rs9885632   EPB41L2 
rs7765526   None
rs6959688   MAD1L1 
rs73049928  None
rs12979 GSDME 
rs6969780    HOXA3 
rs10274928  JAZF1
rs6593297   CCT6A,SNORA22B 
rs6963105   POM121C 
rs848445    PHTF2
rs17477177  None
rs4728142   None
rs34072724  LOC105375508 
rs13238550  MKLN1 
rs141212865 HIPK2 
rs11771693  LOC107986858 
rs10224002  PRKAG2 
rs1870735   None
rs4875958   CLN8 
rs61040371  None
rs62491354  None
rs1986971   MSRA 
rs2898290   LINC00208 
rs6557876   EBF2 
rs2979470   RBPMS 
rs1906672   DDHD2 
rs4873492   None
rs6996733   None
rs2354862   None
rs13253358  PREX2 
rs72688070  None
rs62526122  None
rs4582532   NDUFAF6 
rs142449193 NCALD 
rs35783704  None
rs62523863  None
rs4598218   LINC00824 
rs4129585   TSNARE1,LOC107986983
rs520015    DOCK8 
rs60191654  None
rs28558845  None
rs1332813   PTPRD 
rs9886665   None
rs7045409   CENPP
rs111245230 SVEP1 
rs7023828   None
rs1891730   FAM129B 
rs184457    IER5L
rs56352451  FAM208B 
rs3802517   ARMC4 
rs12572586  None
rs4746172   VCL 
rs77413490  PTEN 
rs11187142  None
rs932764    PLCE1
rs112184198 None
rs11191548  CNNM2 
rs11197813  HSPA12A 
rs11592107  None
rs72834453  HTRA1 
rs7912283   PPP2R2D 
rs1133400   INPP5A
rs661348    LSP1 
rs7129220   CAND1.11
rs757081    NUCB2 
rs10766533  CSRP3,LOC105376580 
rs871004    METTL15 
rs190194639 LOC101929918 
rs9667596   None
rs4385883   None
rs75905900  None
rs11229457  OR5B12 
rs3741378   SIPA1 
rs7927515   GVQW3 
rs4754196   LOC105369477 
rs17119370  None
rs1076485   SIK3 
rs78998485  KDM5A 
rs11571376  RAD52 
rs2024385   APOLD1,LOC107984129 
rs28621435  GRIN2B
rs7976167   SOX5 
rs1098708   None
rs1126930   None
rs73099903  TNS2,LOC283335 
rs7297416   HOXC4 
rs10437954  ARHGEF25,DTX3 
rs4143175   LOC105369813 
rs7963801   SYT1 
rs17249754  ATP2B1 
rs5742643   IGF1,LINC02456
rs11112548  None
rs117206641 FBRSL1 
rs2480171   LATS2 
rs606950    None
rs1331012   WASF3 
rs4274337   None
rs73187288  DGKH 
rs912434    LRCH1 
rs75961402  None
rs78474310  None
rs7331680   CDC16 
rs17115145  PRKD1 
rs34983854  None
rs72683923  L2HGDH 
rs9888615   FERMT2,LOC105370500 
rs8016306   PPP2R5E 
rs11623535  RGS6 
rs11159091  LTBP2 
rs11629850  EIF2AK4 
rs2759308   ABHD17C 
rs3743157   PDE8A 
rs11632436  None
rs2379829   None
rs35450617  RBFOX1 
rs34941092  None
rs1012089   None
rs7187540   GSE1,LINC00311
rs3851018   None
rs6540125   BANP 
rs4480845   HIC1
rs4925159   TOP3A 
rs11080134  ATAD5 
rs1551355   None
rs9899540   PSMD11 
rs12946454  ACBD4,PLCD3
rs7406910   HOXB7
rs1036902   BCAS3
rs2240736   TBX2 
rs6504213   None
rs112260610 None
rs9302885   USP36 
rs34413141  YES1 
rs1154214   CHST9 
rs12958173  None
rs11876341  None
rs10048404  WDR7 
rs6567160   None
rs12454712  BCL2 
rs10460108  None
rs2613765   KDM4B 
rs4247374   INSR 
rs10409243  S1PR2 
rs8105753   None
rs7256564   PEPD 
rs73046792  SNRNP70 
rs1812666   None
rs1764975   None
rs6031435   JPH2 
rs6021247   LINGO1 
rs1882961   None
rs11701033  EVA1C 
rs9608690   TTC28,LOC101929594
rs28578714  PLXNB2
rs1041163   VCAM1
rs1367117   APOB
rs3741240   SCGB1A1,LOC102723765
rs1800590   LPL
