('M0P1', 'M0P2') [[34.42983]]
('N63', 'M0P2') [[23.944757]]
('N213', 'M0P2') [[23.755718]]
('N63', 'M0P1') [[23.130209]]
('N213', 'M0P1') [[23.020561]]
('N134', 'M0P2') [[22.934013]]
('N134', 'M0P1') [[22.237562]]
('N63', 'N213') [[21.43558]]
('N134', 'N213') [[21.097488]]
('N13', 'M0P2') [[20.760029]]
('N63', 'N134') [[20.572216]]
('N13', 'M0P1') [[20.330534]]
('N186', 'N213') [[20.118692]]
('N54', 'M0P2') [[19.990305]]
('N146', 'N186') [[19.850943]]
('N208', 'N213') [[19.849337]]
('N40', 'N186') [[19.839537]]
('N63', 'N186') [[19.828379]]
('N18', 'N213') [[19.782923]]
('N186', 'N221') [[19.768026]]
('N208', 'N251') [[19.715668]]
('N83', 'N214') [[19.696209]]
('N164', 'N186') [[19.695599]]
('N63', 'N208') [[19.665682]]
('N144', 'N213') [[19.651926]]
('N138', 'N208') [[19.640324]]
('N15', 'N213') [[19.634254]]
('N186', 'N201') [[19.633154]]
('N40', 'N138') [[19.619967]]
('N40', 'M0P1') [[19.617329]]
('N163', 'N213') [[19.60657]]
('N102', 'N143') [[19.606464]]
('N186', 'N208') [[19.588308]]
('N208', 'N233') [[19.579094]]
('N37', 'M0P2') [[19.57669]]
('N134', 'N250') [[19.521082]]
('N134', 'N214') [[19.505714]]
('N213', 'N233') [[19.505337]]
('N186', 'N214') [[19.504717]]
('N234', 'M0P2') [[19.501884]]
('N63', 'N90') [[19.500515]]
('N198', 'N214') [[19.49697]]
('N54', 'N63') [[19.492962]]
('N37', 'N134') [[19.484203]]
('N69', 'N134') [[19.480946]]
('N244', 'M0P2') [[19.472506]]
('N213', 'N242') [[19.470222]]
('N208', 'M0P1') [[19.467203]]
('N138', 'N246') [[19.457829]]
('N160', 'N213') [[19.447422]]
('N40', 'N221') [[19.420313]]
('N184', 'M0P2') [[19.415115]]
('N40', 'N213') [[19.412533]]
('N134', 'N138') [[19.411598]]
('N102', 'N146') [[19.41011]]
('N54', 'N181') [[19.39628]]
('N102', 'N213') [[19.390375]]
('N53', 'N186') [[19.383785]]
('N118', 'N144') [[19.372677]]
('N37', 'N186') [[19.371223]]
('N63', 'N242') [[19.370316]]
('N178', 'M0P2') [[19.36901]]
('N54', 'N177') [[19.367445]]
('N73', 'N246') [[19.356754]]
('N138', 'N190') [[19.356016]]
('N40', 'N63') [[19.35336]]
('N90', 'N213') [[19.344442]]
('N186', 'N239') [[19.344269]]
('N40', 'M0P2') [[19.343346]]
('N62', 'N186') [[19.342558]]
('N54', 'N213') [[19.337574]]
('N62', 'N146') [[19.334164]]
('N31', 'N213') [[19.33299]]
('N180', 'N213') [[19.329338]]
('N186', 'M0P2') [[19.320177]]
('N164', 'N213') [[19.30944]]
('N177', 'N221') [[19.306099]]
('N163', 'N246') [[19.302494]]
('N96', 'N102') [[19.302387]]
('N138', 'N237') [[19.302067]]
('N62', 'N237') [[19.299019]]
('N190', 'N233') [[19.298353]]
('N158', 'N213') [[19.294245]]
('N143', 'N186') [[19.293592]]
('N138', 'N164') [[19.291569]]
('N152', 'N208') [[19.28567]]
('N13', 'N63') [[19.282322]]
('N163', 'N208') [[19.279198]]
('N113', 'N134') [[19.270874]]
('N186', 'N248') [[19.26702]]
('N214', 'M0P2') [[19.266762]]
('N96', 'N123') [[19.264435]]
('N194', 'N213') [[19.264072]]
('N235', 'M0P2') [[19.263323]]
('N62', 'N208') [[19.262566]]
('N15', 'N186') [[19.259268]]
('N53', 'N213') [[19.258629]]
('N182', 'N186') [[19.253887]]
('N138', 'N233') [[19.252836]]
('N186', 'M0P1') [[19.248188]]
('N54', 'N123') [[19.242716]]
('N63', 'N188') [[19.242706]]
('N40', 'N102') [[19.240114]]
('N37', 'N163') [[19.23096]]
('N63', 'N232') [[19.230352]]
('N62', 'N96') [[19.230215]]
('N134', 'N235') [[19.229902]]
('N134', 'N186') [[19.22578]]
('N239', 'N246') [[19.22519]]
('N62', 'N239') [[19.224602]]
('N134', 'N156') [[19.223267]]
('N184', 'N248') [[19.223114]]
('N245', 'M0P2') [[19.216051]]
('N186', 'N198') [[19.212618]]
('N143', 'N182') [[19.212183]]
('N182', 'N208') [[19.211943]]
('N90', 'M0P2') [[19.211773]]
('N77', 'N102') [[19.210522]]
('N94', 'N213') [[19.20833]]
('N146', 'N190') [[19.20348]]
('N138', 'N182') [[19.20139]]
('N186', 'N235') [[19.20059]]
('N37', 'M0P1') [[19.200274]]
('N102', 'N144') [[19.199339]]
('N134', 'N148') [[19.198832]]
('N186', 'N242') [[19.193151]]
('N54', 'N94') [[19.192524]]
('N138', 'N187') [[19.191792]]
('N63', 'N214') [[19.191193]]
('N163', 'M0P2') [[19.187729]]
('N65', 'N83') [[19.186865]]
('N203', 'M0P2') [[19.164743]]
('N81', 'N213') [[19.162025]]
('N213', 'N234') [[19.16074]]
('N33', 'N186') [[19.158432]]
('N163', 'N235') [[19.155897]]
('N134', 'N246') [[19.155672]]
('N54', 'N163') [[19.153318]]
('N134', 'N144') [[19.152626]]
('N134', 'N178') [[19.151846]]
('N79', 'N123') [[19.151365]]
('N175', 'N213') [[19.150768]]
('N144', 'N164') [[19.147522]]
('N146', 'N221') [[19.146894]]
('N213', 'N250') [[19.14019]]
('N84', 'N138') [[19.138573]]
('N123', 'N203') [[19.13812]]
('N221', 'M0P1') [[19.137924]]
('N138', 'M0P2') [[19.13699]]
('N221', 'M0P2') [[19.134323]]
('N233', 'M0P2') [[19.133116]]
('N79', 'N213') [[19.132132]]
('N146', 'M0P2') [[19.131704]]
('N208', 'M0P2') [[19.131258]]
('N71', 'N213') [[19.129148]]
('N71', 'N134') [[19.129038]]
('N221', 'N246') [[19.128258]]
('N138', 'N221') [[19.126936]]
('N69', 'N186') [[19.126062]]
('N185', 'M0P2') [[19.124916]]
('N83', 'N146') [[19.121828]]
('N186', 'N189') [[19.120132]]
('N63', 'N234') [[19.119413]]
('N213', 'N214') [[19.11838]]
('N146', 'N248') [[19.115278]]
('N118', 'N158') [[19.113352]]
