rs7796 NADK
rs260508 SKI
rs880315 CASZ1
rs17367504 CLCN6,MTHFR
rs3820068 CELA2A,CELA2B
rs2807337 MIR4418
rs79598313 KDF1
rs3737801 FGR
rs11210029 None
rs7515635 HIVEP3
rs839755 MED8,SZT2,MED8-AS1
rs11579440 AGBL4
rs10923038 PKN2-AS1
rs10922502 GTF2B
rs7514579 BCAR3
rs1041163 VCAM1
rs76719272 SEMA4A
rs1043069 XPR1
rs4651224 C1orf21,AL713852.1
rs12042924 CRB1
rs7555285 IRF6
rs56352451 TASOR2,GDI2
rs3802517 ARMC4
rs12572586 None
rs4746172 VCL
rs77413490 PTEN
rs11187142 AL590080.1
rs932764 PLCE1,HDAC1P1
rs112184198 None
rs11191548 NT5C2,CNNM2
rs11197813 HSPA12A
rs11592107 None
rs72834453 HTRA1
rs7912283 PPP2R2D
rs1133400 INPP5A
rs661348 LSP1,MIR7847,PRR33
rs7129220 AMPD3
rs757081 NUCB2
rs10766533 CSRP3,CSRP3-AS1
rs871004 METTL15
rs190194639 AC090469.2
rs9667596 None
rs4385883 None
rs75905900 OR4A16
rs11229457 OR5B12
rs3741240 SCGB1A1,AP003064.2
rs3741378 PCNX3,SIPA1
rs7927515 GVQW3
rs4754196 None
rs17119370 None
rs1076485 SIK3
rs78998485 KDM5A
rs11571376 RAD52
rs2024385 APOLD1
rs28621435 GRIN2B
rs7976167 SOX5
rs1098708 None
rs1126930 PRKAG1,DDN-AS1
rs73099903 EIF4B,TNS2,AC068888.1
rs7297416 HOXC4
rs10437954 ARHGEF25,DTX3,AC025165.1
rs4143175 None
rs7963801 SYT1
rs17249754 ATP2B1
rs5742643 IGF1,LINC02456
rs11112548 None
rs117206641 FBRSL1
rs2480171 LATS2
rs606950 None
rs1331012 None
rs4274337 None
rs73187288 DGKH
rs912434 LRCH1
rs75961402 None
rs78474310 None
rs7331680 CDC16
rs17115145 PRKD1,AL356756.1
rs34983854 MIA2,AL157791.1
rs72683923 L2HGDH
rs9888615 FERMT2,AL139317.5
rs8016306 PPP2R5E
rs11623535 RGS6
rs11159091 LTBP2
rs11629850 EIF2AK4
rs2759308 ABHD17C
rs3743157 PDE8A
rs11632436 AKAP13,AC021739.3,AC021739.2,AC021739.5
rs2379829 NAA60,C16orf90,AC004224.2,MIR6126
rs35450617 RBFOX1
rs34941092 AC007493.1
rs1012089 AC138627.1
rs7187540 LINC00311,GSE1,AC092275.1
rs3851018 None
rs6540125 BANP
rs4480845 SMG6,HIC1,MIR212
rs4925159 TOP3A
rs11080134 ATAD5,AC127024.1,AC130324.2
rs1551355 AC007923.2
rs9899540 PSMD11,AC005899.9
rs12946454 ACBD4,PLCD3
rs7406910 HOXB8,HOXB7,HOXB-AS3
rs1036902 BCAS3
rs2240736 TBX2,TBX2-AS1,LINC02875
rs6504213 RPL31P57
rs112260610 APOH
rs9302885 USP36
rs34413141 YES1
rs1154214 AQP4-AS1,CHST9
rs12958173 LINC01478
rs11876341 None
rs10048404 WDR7
rs6567160 RNU4-17P,AC090771.2
rs12454712 BCL2
rs10460108 None
rs2613765 KDM4B
rs4247374 INSR
rs10409243 DNMT1,S1PR2
rs8105753 None
rs7256564 PEPD
rs73046792 SNRNP70
rs1812666 AC011495.1
rs67720684 None
rs1344653 None
rs1367117 APOB
rs55701159 ADCY3
rs1275988 KCNK3
rs9678851 SLC4A1AP,SUPT7L
rs7562 FOSL2
rs13420463 PRKD3
rs35590893 THADA,RN7SL531P
rs6545155 NRXN1
rs10189186 AC010967.1
rs2920899 RTN4
rs2300481 MEIS1
rs72847885 POLR1A
rs6723509 TFCP2L1
rs72844590 THSD7B
rs79523138 None
rs55732192 TBR1,AC009487.1,SLC4A10,AC009487.2
rs1446468 AC016766.1
rs6712203 COBLL1
rs6749447 STK39
rs11694601 OLA1
rs1837164 PDE11A
rs1486236 None
rs6739913 AC096555.1
rs28558491 None
rs296797 None
rs55780018 LINC01857
rs1047891 CPS1
rs12694277 ERBB4
rs2972146 None
rs1044822 TRIP12
rs139354822 FARP2
rs1764975 SMOX
rs6031435 JPH2
rs6021247 NFATC2
rs1882961 None
rs11701033 EVA1C,CFAP298-TCP10L
rs9608690 TTC28
rs28578714 PLXNB2
rs347591 HRH1
rs11128722 FGD5,FGD5-AS1
rs12638085 None
rs267517 ITGA9
rs6788984 None
rs6774721 USP4
rs4499560 None
rs9857362 None
rs1375564 CADM2
rs6438857 ITGB5
rs9875380 TMEM108
rs863930 None
rs143112823 None
rs9833313 AC079943.2
rs262986 YEATS2
rs2610990 LCORL
rs2291435 LINC02513,AC024023.1
rs12511987 None
rs10008637 SHROOM3
rs2014912 ARHGAP24
rs13149209 FAM13A
rs1347345 BMPR1B
rs13112725 NPNT
rs3097937 LINC01091
rs7439567 LINC02172
rs72719160 AC104596.1
rs6823767 LRBA
rs17035181 PDGFC
rs4957026 AHRR
rs10069690 TERT
rs1173771 None
rs74774746 None
rs1694068 ARL15
rs13179413 C5orf67
rs6875372 CWC27
rs3121685 AC092353.2,AC092353.1
rs4286632 MAST4
rs246973 None
rs10059921 TMEM161B
rs709668 AC009126.1
rs1871190 None
rs10077885 None
rs13359291 PRDM6
rs62373688 LINC01184
rs6595838 FBN2
rs702395 ZMAT2,VTRNA1-1
rs1650911 SPRY4-AS1
rs11953630 None
rs12153395 RNF130,AC010285.3
rs2745599 FOXC1
rs9368222 CDKAL1
rs6911827 CASC15,NBAT1
rs1563788 ZNF318
rs78648104 TFAP2D
rs9449350 TENT5A
rs35410524 UFL1-AS1
rs2498586 NUS1
rs10782230 NCOA7
rs9885632 EPB41L2
rs7765526 STXBP5
rs6959688 MAD1L1,AC069288.1
rs73049928 None
rs12979 MPP6,GSDME
rs6969780 HOXA3,HOXA-AS2
rs10274928 JAZF1
rs6593297 CCT6A,PSPH,SNORA22B
rs6963105 POM121C
rs848445 PHTF2
rs17477177 LINC02577,AC004917.1
rs4728142 IRF5
rs34072724 None
rs13238550 MKLN1
rs141212865 HIPK2
rs11771693 None
rs10224002 PRKAG2
rs1870735 None
rs4875958 CLN8,AC019257.8
rs61040371 None
rs62491354 None
rs1986971 MSRA
rs2898290 LINC00208
rs1800590 LPL
rs6557876 EBF2
rs2979470 RBPMS
rs1906672 NSD3,PLPP5,DDHD2,AC087362.2
rs4873492 None
rs6996733 AC087664.2
rs2354862 AC018953.1
rs13253358 PREX2
rs72688070 ZBTB10,AC009812.5,AC009812.1,AC034114.2
rs62526122 AC103409.1
rs4582532 NDUFAF6
rs142449193 NCALD
rs35783704 ZFPM2
rs62523863 AC091114.1
rs4598218 LINC00824
rs4129585 TSNARE1
rs520015 DOCK8-AS1,AL158832.2
rs60191654 None
rs28558845 GLIS3
rs1332813 PTPRD
rs9886665 AL391117.1
rs7045409 CENPP
rs111245230 SVEP1
rs7023828 None
rs1891730 NIBAN2
rs184457 AL158151.1,IER5L,AL158151.3
