('M0P1', 'M0P2') [[20.050674]]
('N188', 'M0P2') [[16.161118]]
('N5', 'M0P2') [[15.501233]]
('N47', 'M0P2') [[15.421786]]
('N253', 'M0P2') [[15.1975765]]
('N27', 'M0P2') [[15.070521]]
('N188', 'M0P1') [[15.068802]]
('N105', 'M0P2') [[15.066608]]
('N6', 'M0P2') [[15.045829]]
('N126', 'M0P2') [[15.007024]]
('N31', 'M0P2') [[14.974006]]
('N23', 'N186') [[14.966808]]
('N47', 'N80') [[14.964295]]
('N27', 'N216') [[14.922643]]
('N154', 'M0P2') [[14.910673]]
('N151', 'M0P2') [[14.907008]]
('N220', 'M0P2') [[14.906615]]
('N27', 'M0P1') [[14.900751]]
('N80', 'N133') [[14.861544]]
('N47', 'N216') [[14.841389]]
('N47', 'N167') [[14.816297]]
('N148', 'M0P2') [[14.810109]]
('N79', 'M0P2') [[14.804166]]
('N80', 'M0P2') [[14.789215]]
('N49', 'M0P2') [[14.782203]]
('N47', 'N208') [[14.77188]]
('N216', 'M0P2') [[14.767804]]
('N48', 'N216') [[14.755011]]
('N28', 'M0P2') [[14.750483]]
('N145', 'M0P2') [[14.746708]]
('N118', 'M0P2') [[14.744183]]
('N55', 'N216') [[14.737136]]
('N76', 'N80') [[14.723185]]
('N47', 'N81') [[14.706088]]
('N55', 'N208') [[14.705601]]
('N81', 'M0P2') [[14.70279]]
('N47', 'N227') [[14.690872]]
('N186', 'M0P2') [[14.678981]]
('N47', 'N118') [[14.676738]]
('N8', 'M0P2') [[14.674789]]
('N47', 'N120') [[14.673302]]
('N88', 'M0P2') [[14.66796]]
('N27', 'N55') [[14.6597805]]
('N55', 'M0P2') [[14.658261]]
('N144', 'M0P2') [[14.650081]]
('N47', 'N69') [[14.643906]]
('N55', 'M0P1') [[14.639996]]
('N47', 'N88') [[14.636281]]
('N20', 'M0P2') [[14.633939]]
('N23', 'M0P2') [[14.61988]]
('N47', 'N133') [[14.615404]]
('N252', 'M0P2') [[14.612275]]
('N48', 'N145') [[14.61019]]
('N54', 'M0P2') [[14.6061735]]
('N47', 'N188') [[14.600459]]
('N247', 'M0P2') [[14.594538]]
('N69', 'M0P2') [[14.594131]]
('N133', 'N188') [[14.594036]]
('N245', 'M0P2') [[14.583666]]
('N90', 'M0P2') [[14.578709]]
('N134', 'M0P2') [[14.578195]]
('N45', 'M0P2') [[14.576965]]
('N47', 'N130') [[14.572597]]
('N81', 'N118') [[14.559283]]
('N15', 'N216') [[14.549063]]
('N27', 'N188') [[14.547184]]
('N12', 'M0P2') [[14.546561]]
('N31', 'N47') [[14.543975]]
('N53', 'M0P2') [[14.541811]]
('N81', 'N130') [[14.539976]]
('N118', 'N216') [[14.531413]]
('N156', 'M0P2') [[14.53078]]
('N44', 'N81') [[14.5283]]
('N168', 'M0P2') [[14.524336]]
('N120', 'N186') [[14.5132475]]
('N47', 'N252') [[14.512047]]
('N9', 'M0P2') [[14.497767]]
('N80', 'M0P1') [[14.496688]]
('N106', 'M0P2') [[14.496318]]
('N47', 'N139') [[14.495417]]
('N50', 'M0P2') [[14.495165]]
('N55', 'N118') [[14.491279]]
('N31', 'M0P1') [[14.4909115]]
('N166', 'M0P2') [[14.4847975]]
('N47', 'N241') [[14.480653]]
('N216', 'N252') [[14.464626]]
('N69', 'N188') [[14.4642935]]
('N148', 'N188') [[14.464027]]
('N164', 'M0P2') [[14.463868]]
('N165', 'M0P2') [[14.461495]]
('N10', 'N27') [[14.456361]]
('N126', 'M0P1') [[14.454269]]
('N33', 'M0P2') [[14.448641]]
('N47', 'N180') [[14.438131]]
('N215', 'M0P2') [[14.435387]]
('N80', 'N119') [[14.429953]]
('N8', 'N118') [[14.424739]]
('N47', 'N49') [[14.423878]]
('N2', 'N47') [[14.420763]]
('N191', 'M0P2') [[14.414018]]
('N154', 'N188') [[14.406763]]
('N27', 'N80') [[14.401349]]
('N22', 'M0P2') [[14.398954]]
('N47', 'N102') [[14.396414]]
('N41', 'N133') [[14.395207]]
('N167', 'M0P2') [[14.395177]]
('N239', 'M0P2') [[14.390234]]
('N152', 'M0P2') [[14.383634]]
('N47', 'N156') [[14.38251]]
('N130', 'M0P2') [[14.379825]]
('N58', 'M0P2') [[14.373911]]
('N124', 'M0P2') [[14.371186]]
('N186', 'N250') [[14.371129]]
('N148', 'N164') [[14.369762]]
('N47', 'N52') [[14.369661]]
('N47', 'N135') [[14.367893]]
('N182', 'M0P2') [[14.364524]]
('N10', 'M0P2') [[14.364077]]
('N223', 'M0P2') [[14.364058]]
('N218', 'M0P2') [[14.363413]]
('N22', 'N216') [[14.362399]]
('N31', 'N81') [[14.362263]]
('N55', 'N80') [[14.359838]]
('N47', 'N92') [[14.357105]]
('N50', 'N80') [[14.356131]]
('N185', 'M0P2') [[14.352322]]
('N94', 'M0P2') [[14.351926]]
('N80', 'N252') [[14.350402]]
('N47', 'N146') [[14.349896]]
('N18', 'N216') [[14.349679]]
('N44', 'N216') [[14.344748]]
('N114', 'N118') [[14.343323]]
('N15', 'M0P2') [[14.340446]]
('N137', 'M0P2') [[14.336141]]
('N5', 'N10') [[14.335537]]
('N124', 'M0P1') [[14.334516]]
('N47', 'N119') [[14.334235]]
('N150', 'M0P2') [[14.3341675]]
('N48', 'N120') [[14.3318815]]
('N152', 'N216') [[14.328501]]
('N118', 'M0P1') [[14.328073]]
('N146', 'M0P2') [[14.326885]]
('N47', 'N96') [[14.325755]]
('N76', 'N133') [[14.325379]]
('N107', 'M0P2') [[14.324257]]
('N12', 'N216') [[14.322936]]
('N47', 'N223') [[14.319916]]
('N208', 'M0P2') [[14.319043]]
('N133', 'N216') [[14.317157]]
('N235', 'M0P2') [[14.31639]]
('N47', 'N201') [[14.3163]]
('N45', 'N216') [[14.304826]]
('N81', 'N199') [[14.304736]]
('N47', 'N234') [[14.303459]]
('N135', 'M0P2') [[14.303088]]
('N47', 'N148') [[14.2984]]
('N48', 'M0P2') [[14.297102]]
('N143', 'N216') [[14.294502]]
('N135', 'N216') [[14.294286]]
('N15', 'N168') [[14.293134]]
('N47', 'N168') [[14.292944]]
('N81', 'N166') [[14.29275]]
('N118', 'N186') [[14.29243]]
('N47', 'N144') [[14.292418]]
('N47', 'N136') [[14.291715]]
('N197', 'M0P2') [[14.287933]]
('N108', 'M0P2') [[14.285133]]
('N55', 'N133') [[14.284734]]
('N47', 'N163') [[14.28433]]
('N16', 'N28') [[14.282924]]
('N47', 'N214') [[14.278521]]
('N204', 'M0P2') [[14.278212]]
('N52', 'M0P2') [[14.278126]]
('N58', 'N167') [[14.275017]]
('N0', 'N47') [[14.267767]]
('N26', 'N47') [[14.26696]]
('N210', 'M0P2') [[14.26433]]
('N237', 'M0P2') [[14.263246]]
('N28', 'N216') [[14.262329]]
('N80', 'N234') [[14.261517]]
('N81', 'N248') [[14.258034]]
('N47', 'N250') [[14.257832]]
('N15', 'N133') [[14.256308]]
('N12', 'N47') [[14.256254]]
('N192', 'M0P2') [[14.254641]]
('N222', 'M0P2') [[14.254515]]
('N116', 'M0P2') [[14.254017]]
('N80', 'N167') [[14.253171]]
('N27', 'N133') [[14.252783]]
('N47', 'N158') [[14.248236]]
('N167', 'N208') [[14.246603]]
('N12', 'N80') [[14.246514]]
('N80', 'N147') [[14.2443285]]
('N10', 'N167') [[14.242145]]
('N178', 'M0P2') [[14.240806]]
