('M0P1', 'M0P2') [[35.35953]]
('N50', 'N62') [[19.46154]]
('N105', 'N162') [[19.339663]]
('N32', 'N97') [[19.291649]]
('N97', 'N161') [[19.193182]]
('N32', 'N130') [[19.117514]]
('N125', 'N198') [[19.117287]]
('N33', 'M0P1') [[19.104664]]
('N105', 'N161') [[19.093243]]
('N45', 'N92') [[19.084185]]
('N97', 'N105') [[19.067978]]
('N7', 'N212') [[19.044636]]
('N7', 'N32') [[19.039381]]
('N32', 'N92') [[19.030268]]
('N7', 'N130') [[19.02561]]
('N3', 'N11') [[19.008331]]
('N70', 'N97') [[19.004686]]
('N24', 'N32') [[18.985285]]
('N105', 'N156') [[18.982286]]
('N49', 'N97') [[18.981308]]
('N65', 'N97') [[18.978943]]
('N65', 'N250') [[18.972351]]
('N32', 'N49') [[18.955727]]
('N97', 'N208') [[18.941742]]
('N7', 'N15') [[18.928894]]
('N62', 'N223') [[18.923601]]
('N84', 'N105') [[18.92324]]
('N3', 'N65') [[18.916893]]
('N105', 'N150') [[18.905464]]
('N59', 'N97') [[18.904652]]
('N21', 'N166') [[18.899042]]
('N21', 'N32') [[18.88924]]
('N32', 'N250') [[18.878933]]
('N62', 'N166') [[18.869713]]
('N127', 'N190') [[18.868736]]
('N62', 'N200') [[18.86332]]
('N45', 'N97') [[18.858355]]
('N29', 'N49') [[18.855692]]
('N24', 'N50') [[18.853304]]
('N130', 'N198') [[18.853062]]
('N96', 'N105') [[18.8485]]
('N65', 'N99') [[18.840054]]
('N40', 'N97') [[18.837473]]
('N130', 'N161') [[18.829536]]
('N65', 'N216') [[18.828745]]
('N20', 'N161') [[18.827274]]
('N65', 'N161') [[18.824959]]
('N208', 'N212') [[18.8211]]
('N11', 'N161') [[18.818954]]
('N49', 'N50') [[18.815691]]
('N92', 'N97') [[18.814651]]
('N65', 'N139') [[18.814482]]
('N62', 'N212') [[18.809416]]
('N59', 'N174') [[18.803654]]
('N105', 'N165') [[18.800303]]
('N161', 'N190') [[18.796648]]
('N190', 'N223') [[18.79381]]
('N130', 'N166') [[18.790026]]
('N49', 'N82') [[18.785778]]
('N49', 'N220') [[18.779999]]
('N7', 'N62') [[18.778135]]
('N32', 'N206') [[18.773539]]
('N156', 'N224') [[18.77027]]
('N24', 'N65') [[18.768442]]
('N97', 'N190') [[18.76632]]
('N105', 'N170') [[18.766111]]
('N21', 'N50') [[18.76245]]
('N21', 'N250') [[18.760178]]
('N132', 'N215') [[18.75821]]
('N62', 'N119') [[18.757177]]
('N32', 'N176') [[18.75596]]
('N32', 'N199') [[18.755526]]
('N97', 'M0P1') [[18.752758]]
('N3', 'N250') [[18.744507]]
('N3', 'N59') [[18.74319]]
('N32', 'N70') [[18.736408]]
('N62', 'N111') [[18.734343]]
('N32', 'N174') [[18.732672]]
('N49', 'N79') [[18.731522]]
('N62', 'N209') [[18.727901]]
('N125', 'N241') [[18.727205]]
('N62', 'N130') [[18.723888]]
('N51', 'N104') [[18.723793]]
('N50', 'N166') [[18.723442]]
('N7', 'N105') [[18.720293]]
('N7', 'N111') [[18.719479]]
('N24', 'N250') [[18.713892]]
('N25', 'N161') [[18.711443]]
('N32', 'N139') [[18.710964]]
('N166', 'N206') [[18.708849]]
('N97', 'N101') [[18.70614]]
('N33', 'N97') [[18.701607]]
