('M0P1', 'M0P2') [[21.554005]]
('N63', 'N162') [[19.981838]]
('N63', 'N89') [[19.83567]]
('N153', 'N162') [[19.757572]]
('N123', 'N182') [[19.652096]]
('N162', 'N216') [[19.626331]]
('N70', 'N216') [[19.62448]]
('N37', 'N123') [[19.61365]]
('N50', 'N162') [[19.557384]]
('N63', 'N70') [[19.535643]]
('N153', 'N203') [[19.534279]]
('N123', 'N162') [[19.47287]]
('N31', 'N162') [[19.472212]]
('N37', 'N63') [[19.461832]]
('N24', 'N50') [[19.45129]]
('N63', 'M0P2') [[19.41292]]
('N31', 'N173') [[19.400604]]
('N40', 'N162') [[19.393211]]
('N6', 'N162') [[19.382652]]
('N153', 'M0P2') [[19.369537]]
('N65', 'N123') [[19.361946]]
('N89', 'M0P2') [[19.347868]]
('N37', 'N109') [[19.325188]]
('N19', 'N162') [[19.314165]]
('N216', 'M0P1') [[19.312603]]
('N70', 'N162') [[19.297232]]
('N24', 'N65') [[19.296019]]
('N27', 'N37') [[19.289362]]
('N153', 'N191') [[19.278086]]
('N162', 'N173') [[19.267052]]
('N216', 'M0P2') [[19.266197]]
('N182', 'N228') [[19.265812]]
('N109', 'N129') [[19.265224]]
('N109', 'N162') [[19.253738]]
('N153', 'N216') [[19.24843]]
('N70', 'N220') [[19.24469]]
('N70', 'N188') [[19.244675]]
('N162', 'N182') [[19.23921]]
('N104', 'M0P2') [[19.239063]]
('N70', 'N73') [[19.236897]]
('N37', 'N162') [[19.236383]]
('N150', 'M0P2') [[19.221111]]
('N24', 'N37') [[19.219868]]
('N92', 'N162') [[19.216343]]
('N177', 'N203') [[19.206892]]
('N162', 'N228') [[19.200312]]
('N70', 'N123') [[19.197386]]
('N37', 'N215') [[19.195436]]
('N2', 'N162') [[19.191187]]
('N19', 'N216') [[19.189238]]
('N70', 'N89') [[19.176851]]
('N24', 'N182') [[19.171694]]
('N129', 'N205') [[19.169437]]
('N112', 'N182') [[19.158117]]
('N162', 'N249') [[19.15684]]
('N123', 'N203') [[19.156048]]
('N37', 'N89') [[19.154]]
('N63', 'N180') [[19.153421]]
('N63', 'N228') [[19.143522]]
('N177', 'N216') [[19.141056]]
('N2', 'N216') [[19.140814]]
('N24', 'N162') [[19.137785]]
('N17', 'N123') [[19.133097]]
('N52', 'N123') [[19.132795]]
('N69', 'N123') [[19.123716]]
('N162', 'N222') [[19.122076]]
('N70', 'N129') [[19.117191]]
('N31', 'N215') [[19.116688]]
('N14', 'N37') [[19.105022]]
('N29', 'N203') [[19.093485]]
('N109', 'N182') [[19.092457]]
('N37', 'N235') [[19.090878]]
('N70', 'N96') [[19.0884]]
('N81', 'N162') [[19.084515]]
('N123', 'N210') [[19.083399]]
('N188', 'N228') [[19.082228]]
('N162', 'N246') [[19.080742]]
('N82', 'N123') [[19.077711]]
('N100', 'N182') [[19.07689]]
('N162', 'N210') [[19.069525]]
('N103', 'M0P2') [[19.068048]]
('N50', 'N215') [[19.061607]]
('N52', 'N70') [[19.05769]]
('N37', 'M0P2') [[19.054754]]
('N16', 'M0P2') [[19.054253]]
('N38', 'N162') [[19.052963]]
('N153', 'N190') [[19.052164]]
('N133', 'N162') [[19.05123]]
('N123', 'N153') [[19.04984]]
('N82', 'N162') [[19.048864]]
('N37', 'N203') [[19.044441]]
('N14', 'N153') [[19.044197]]
('N162', 'M0P2') [[19.03782]]
('N70', 'N190') [[19.037563]]
('N70', 'N171') [[19.036299]]
('N162', 'N209') [[19.033573]]
('N70', 'N203') [[19.032187]]
('N38', 'N81') [[19.024332]]
('N63', 'N123') [[19.014778]]
('N63', 'N247') [[19.012465]]
('N162', 'N171') [[19.011164]]
('N69', 'N162') [[19.00769]]
('N37', 'N173') [[19.003826]]
('N63', 'N216') [[19.003496]]
('N39', 'N162') [[18.999706]]
('N130', 'M0P2') [[18.996782]]
('N179', 'N252') [[18.995775]]
('N116', 'N150') [[18.995556]]
('N142', 'N203') [[18.989538]]
('N14', 'N162') [[18.988665]]
('N89', 'N203') [[18.985178]]
('N162', 'N203') [[18.983967]]
('N122', 'N205') [[18.983507]]
('N123', 'N222') [[18.981892]]
('N190', 'M0P2') [[18.97625]]
('N37', 'N85') [[18.974258]]
('N85', 'N162') [[18.971]]
('N36', 'N123') [[18.970432]]
('N105', 'N109') [[18.965826]]
('N50', 'N173') [[18.96478]]
('N86', 'N162') [[18.957634]]
('N37', 'N229') [[18.955112]]
('N42', 'N129') [[18.948997]]
('N162', 'N177') [[18.94703]]
('N162', 'N217') [[18.946283]]
('N171', 'N177') [[18.944653]]
('N89', 'N123') [[18.944101]]
('N99', 'N162') [[18.94158]]
('N36', 'N70') [[18.93784]]
('N173', 'N203') [[18.936508]]
('N116', 'N216') [[18.932798]]
('N141', 'N162') [[18.931791]]
('N33', 'N215') [[18.929443]]
('N187', 'N216') [[18.926233]]
('N162', 'N190') [[18.924738]]
('N70', 'N228') [[18.924189]]
('N162', 'N220') [[18.922754]]
('N121', 'N162') [[18.922474]]
('N29', 'N65') [[18.919838]]
('N89', 'N174') [[18.919456]]
('N16', 'N37') [[18.917456]]
('N122', 'M0P2') [[18.91647]]
('N153', 'N171') [[18.914999]]
('N84', 'N162') [[18.914597]]
('N62', 'N162') [[18.911259]]
('N37', 'N148') [[18.909748]]
('N60', 'M0P2') [[18.909567]]
('N37', 'N182') [[18.90598]]
('N89', 'N173') [[18.904003]]
('N24', 'N203') [[18.902346]]
('N38', 'N210') [[18.901857]]
('N63', 'N104') [[18.901566]]
('N2', 'N63') [[18.89925]]
('N24', 'N196') [[18.896364]]
('N53', 'N153') [[18.89496]]
('N162', 'N215') [[18.894415]]
('N50', 'N182') [[18.894197]]
('N50', 'N203') [[18.892145]]
('N6', 'N65') [[18.891281]]
('N2', 'N195') [[18.887203]]
('N129', 'N235') [[18.885708]]
('N50', 'N104') [[18.88564]]
('N93', 'N162') [[18.882923]]
('N14', 'N237') [[18.882496]]
('N29', 'N190') [[18.881908]]
('N120', 'N123') [[18.881765]]
('N51', 'N215') [[18.881403]]
('N120', 'N182') [[18.880424]]
('N70', 'N249') [[18.880356]]
('N24', 'N153') [[18.87708]]
('N210', 'N247') [[18.876709]]
('N182', 'N196') [[18.87663]]
('N37', 'N70') [[18.876528]]
('N70', 'N153') [[18.876139]]
('N112', 'N162') [[18.87513]]
('N37', 'N153') [[18.875046]]
('N31', 'N50') [[18.874977]]
('N158', 'N162') [[18.873878]]
('N121', 'N196') [[18.871506]]
('N65', 'N162') [[18.870543]]
('N203', 'M0P2') [[18.87036]]
('N7', 'N216') [[18.86952]]
('N29', 'N162') [[18.869244]]
('N29', 'N50') [[18.867826]]
('N70', 'N229') [[18.866701]]
('N182', 'N216') [[18.86526]]
('N182', 'N234') [[18.865238]]
('N62', 'N82') [[18.864403]]
('N123', 'N177') [[18.863186]]
('N162', 'N180') [[18.862793]]
('N37', 'N249') [[18.862516]]
('N70', 'N158') [[18.86088]]
('N182', 'N244') [[18.858173]]
('N105', 'N182') [[18.85462]]
('N14', 'N95') [[18.853645]]
('N37', 'N50') [[18.853605]]
('N19', 'N182') [[18.853048]]
('N70', 'N148') [[18.851458]]
('N99', 'N109') [[18.851068]]
('N85', 'N182') [[18.850628]]
('N38', 'N50') [[18.850222]]
('N65', 'N113') [[18.84993]]
('N50', 'N122') [[18.847692]]
('N182', 'N213') [[18.846905]]
('N203', 'N234') [[18.845375]]
('N113', 'N153') [[18.845348]]
('N104', 'N235') [[18.84246]]
('N150', 'M0P1') [[18.842258]]
('N129', 'N173') [[18.839762]]
('N65', 'N182') [[18.839167]]
('N24', 'N123') [[18.837193]]
('N37', 'N210') [[18.832022]]
('N70', 'N196') [[18.831972]]
('N38', 'M0P2') [[18.83169]]
('N43', 'N231') [[18.82802]]
('N89', 'N192') [[18.827156]]
('N162', 'N188') [[18.826126]]
('N21', 'N63') [[18.825579]]
('N16', 'N42') [[18.824776]]
('N110', 'N180') [[18.823261]]
('N32', 'N210') [[18.81897]]
('N187', 'N188') [[18.818604]]
('N14', 'N63') [[18.818031]]
('N122', 'N162') [[18.81626]]
('N162', 'N167') [[18.814056]]
('N150', 'N216') [[18.812199]]
('N6', 'N50') [[18.811789]]
('N29', 'N89') [[18.81178]]
('N162', 'N240') [[18.81076]]
('N50', 'N70') [[18.808018]]
('N82', 'N249') [[18.805895]]
('N32', 'N129') [[18.805298]]
('N33', 'N37') [[18.80402]]
('N38', 'N244') [[18.803814]]
('N35', 'N70') [[18.803757]]
('N153', 'N188') [[18.801975]]
('N2', 'N70') [[18.800283]]
('N109', 'N190') [[18.796104]]
('N17', 'N222') [[18.7957]]
('N231', 'N247') [[18.794739]]
('N19', 'M0P2') [[18.794128]]
('N205', 'N244') [[18.793741]]
('N14', 'N216') [[18.792545]]
('N32', 'N123') [[18.79163]]
('N145', 'N162') [[18.791172]]
('N24', 'N215') [[18.790905]]
('N89', 'N129') [[18.790073]]
('N9', 'N162') [[18.78987]]
('N50', 'N113') [[18.787865]]
('N70', 'N124') [[18.78714]]
('N68', 'N116') [[18.783863]]
('N29', 'N215') [[18.782772]]
('N89', 'N237') [[18.782187]]
('N89', 'N171') [[18.781021]]
('N171', 'N203') [[18.780521]]
('N171', 'M0P2') [[18.779919]]
('N38', 'N158') [[18.778654]]
('N33', 'N63') [[18.778461]]
('N82', 'N247') [[18.775053]]
('N24', 'N122') [[18.773664]]
('N162', 'N235') [[18.772757]]
('N37', 'N99') [[18.77244]]
('N68', 'N150') [[18.772211]]
('N6', 'N182') [[18.768398]]
('N215', 'M0P2') [[18.767748]]
('N89', 'N162') [[18.767164]]
('N8', 'N162') [[18.764965]]
('N63', 'N222') [[18.764519]]
('N95', 'N162') [[18.763548]]
('N109', 'N123') [[18.762964]]
('N162', 'N174') [[18.760895]]
('N74', 'N182') [[18.76065]]
('N82', 'N153') [[18.759785]]
('N32', 'N109') [[18.759493]]
('N166', 'N196') [[18.759129]]
('N16', 'N63') [[18.75849]]
('N70', 'N104') [[18.758215]]
('N70', 'N187') [[18.75791]]
('N89', 'N234') [[18.756855]]
('N85', 'N216') [[18.755466]]
('N70', 'N244') [[18.7541]]
('N144', 'N162') [[18.75177]]
('N63', 'N235') [[18.750887]]
('N17', 'N182') [[18.75011]]
('N89', 'N150') [[18.7497]]
('N70', 'N85') [[18.749498]]
('N42', 'N173') [[18.74766]]
('N31', 'N177') [[18.744629]]
('N29', 'N70') [[18.74438]]
('N50', 'N186') [[18.743345]]
('N150', 'N171') [[18.741903]]
('N6', 'N153') [[18.741608]]
('N129', 'N213') [[18.741423]]
('N37', 'N222') [[18.740019]]
('N35', 'N153') [[18.73967]]
('N182', 'N222') [[18.738483]]
('N14', 'N220') [[18.73847]]
('N119', 'N162') [[18.738298]]
('N113', 'N203') [[18.73687]]
('N123', 'N129') [[18.736433]]
('N70', 'N206') [[18.735767]]
('N70', 'N82') [[18.73336]]
('N63', 'N129') [[18.731916]]
('N116', 'M0P1') [[18.731098]]
('N70', 'N208') [[18.730553]]
('N142', 'N162') [[18.72994]]
('N21', 'N162') [[18.728704]]
