('M0P1', 'M0P2') [[90.68151]]
('N29', 'M0P2') [[20.521154]]
('N29', 'M0P1') [[19.765491]]
('N61', 'M0P2') [[19.708906]]
('N33', 'M0P2') [[19.549898]]
('N61', 'M0P1') [[19.402008]]
('N37', 'N100') [[19.276571]]
('N115', 'M0P2') [[19.219452]]
('N172', 'M0P2') [[19.151363]]
('N26', 'M0P2') [[18.975023]]
('N204', 'M0P2') [[18.971025]]
('N37', 'M0P2') [[18.970749]]
('N37', 'N153') [[18.952246]]
('N29', 'N33') [[18.886372]]
('N61', 'N236') [[18.882547]]
('N30', 'N162') [[18.879255]]
('N37', 'N243') [[18.852905]]
('N4', 'M0P2') [[18.83368]]
('N43', 'N124') [[18.822542]]
('N29', 'N204') [[18.797573]]
('N37', 'N84') [[18.78068]]
('N37', 'N61') [[18.749752]]
('N33', 'M0P1') [[18.707972]]
('N30', 'N61') [[18.689396]]
('N16', 'N37') [[18.683771]]
('N162', 'M0P2') [[18.672476]]
('N155', 'M0P2') [[18.670177]]
('N37', 'N72') [[18.64615]]
('N37', 'N109') [[18.637035]]
('N37', 'N147') [[18.636602]]
('N96', 'N244') [[18.633495]]
('N115', 'N153') [[18.629126]]
('N33', 'N61') [[18.620613]]
('N30', 'N128') [[18.610773]]
('N147', 'N162') [[18.609295]]
('N37', 'N163') [[18.608538]]
('N51', 'N153') [[18.603037]]
('N34', 'N162') [[18.589682]]
('N109', 'M0P2') [[18.581991]]
('N246', 'M0P2') [[18.577724]]
('N30', 'N153') [[18.576302]]
('N43', 'N243') [[18.573698]]
('N204', 'N243') [[18.561342]]
('N33', 'N162') [[18.558334]]
('N83', 'N88') [[18.554367]]
('N43', 'N115') [[18.545055]]
('N37', 'N208') [[18.54322]]
('N222', 'M0P2') [[18.533474]]
('N109', 'N153') [[18.53236]]
('N172', 'M0P1') [[18.530872]]
('N26', 'N162') [[18.52798]]
('N37', 'N236') [[18.52746]]
('N115', 'M0P1') [[18.52403]]
('N229', 'N236') [[18.51133]]
('N61', 'N204') [[18.498228]]
('N30', 'N37') [[18.483356]]
('N37', 'N115') [[18.482428]]
('N38', 'M0P2') [[18.480442]]
('N37', 'N39') [[18.469118]]
('N26', 'M0P1') [[18.467976]]
('N37', 'N172') [[18.46587]]
('N37', 'N229') [[18.46428]]
('N30', 'N109') [[18.461369]]
('N37', 'N77') [[18.457903]]
('N184', 'N243') [[18.455452]]
('N243', 'N247') [[18.448977]]
('N37', 'N66') [[18.446688]]
('N55', 'N57') [[18.436518]]
('N33', 'N175') [[18.43255]]
('N37', 'N246') [[18.43098]]
('N30', 'M0P2') [[18.430763]]
('N30', 'N66') [[18.425026]]
('N37', 'N83') [[18.424133]]
('N61', 'N229') [[18.423393]]
('N14', 'N51') [[18.421747]]
('N37', 'N128') [[18.420021]]
('N151', 'N204') [[18.41973]]
('N14', 'N128') [[18.419437]]
('N29', 'N243') [[18.416552]]
('N37', 'N51') [[18.416008]]
('N37', 'N171') [[18.412527]]
('N61', 'N109') [[18.41042]]
('N14', 'N38') [[18.410398]]
('N43', 'N112') [[18.4076]]
('N4', 'M0P1') [[18.406399]]
('N37', 'N250') [[18.399433]]
('N192', 'N236') [[18.392517]]
('N184', 'N204') [[18.392357]]
('N37', 'N198') [[18.390396]]
('N115', 'N243') [[18.389738]]
('N43', 'N220') [[18.386776]]
('N43', 'N45') [[18.386452]]
('N43', 'N88') [[18.384577]]
('N33', 'N128') [[18.378836]]
('N38', 'N229') [[18.373457]]
('N55', 'N83') [[18.372643]]
