rs9662255   SPSB1
rs112557609
rs2761436   CD46
rs2820443   AL356364.1
rs10732433  NEBL
rs10826995  ARHGAP12
rs10823136  MYPN
rs4922591   THEM7P
rs117233107 CCND2,AC008012.1
rs17287293  AC087312.1
rs4304924   OBI1
rs7144602
rs11627326  AL049775.2
rs4904503   MPPE1P1
rs11626434  DIO3OS
rs4796514   KIAA0753
rs138285687 AC0242267.2,MIR144,MIR4732
rs9904409   AC091152.3
rs36010659  MAPK4
rs2175337   AC093904.1
rs10779936  KLHL29
rs6731373   CNRIP1
rs150194832 FHL2
rs12052878  COL6A3
rs11087740  LINC01713
rs11909120  AF207955.1
rs737721    UQCR10
rs729639    WNT7A
rs189267552
rs729448
rs2178452   ARL14
rs16833934  AC084017.1
rs7710854   AC104119.1
rs4443403   LINC02230
rs1432457   PRR16
rs9885577   FTMT
rs12216497  AL589647.1
rs60255247  LINC01611
rs9486916   FOXO3
rs11154027  RNU4-35P
rs6925750   HMGB3P18
rs4896104   AL121970.1
rs449789    FNDC1
rs2107595   HDAC9
rs71543920  AC004869.1
rs1091811   ELN,LIMK1
rs1350100   AC022274.1
rs1449544   HNF4G
rs2513758   AP003351.1
rs10982910  AL691420.1
