('M0P1', 'M0P2') [[75.37243]]
('N58', 'N132') [[19.218468]]
('N141', 'N208') [[19.132357]]
('N132', 'N228') [[19.131416]]
('N141', 'N228') [[19.128555]]
('N221', 'N240') [[19.128338]]
('N99', 'N141') [[19.106628]]
('N54', 'N228') [[19.08496]]
('N141', 'N174') [[19.079304]]
('N132', 'N240') [[19.062338]]
('N69', 'N185') [[18.986916]]
('N33', 'N190') [[18.986544]]
('N159', 'N173') [[18.983128]]
('N152', 'N173') [[18.934618]]
('N58', 'N221') [[18.901531]]
('N49', 'N228') [[18.888206]]
('N141', 'N185') [[18.884195]]
('N58', 'N185') [[18.877586]]
('N58', 'N228') [[18.865871]]
('N114', 'N185') [[18.841593]]
('N58', 'N141') [[18.839912]]
('N110', 'N115') [[18.79855]]
('N75', 'N173') [[18.794693]]
('N132', 'N185') [[18.785776]]
('N115', 'N228') [[18.784874]]
('N22', 'N141') [[18.774012]]
('N141', 'N245') [[18.771559]]
('N12', 'N141') [[18.765371]]
('N88', 'N190') [[18.764915]]
('N88', 'N173') [[18.747911]]
('N54', 'N81') [[18.737646]]
('N54', 'N58') [[18.736767]]
('N132', 'N141') [[18.73163]]
('N88', 'N141') [[18.724148]]
('N141', 'N221') [[18.720406]]
('N33', 'N81') [[18.717438]]
('N110', 'N228') [[18.715637]]
('N27', 'N141') [[18.715305]]
('N81', 'N115') [[18.71256]]
('N152', 'N185') [[18.708635]]
('N114', 'N152') [[18.702366]]
('N152', 'N159') [[18.683956]]
('N39', 'N141') [[18.67918]]
('N115', 'N201') [[18.679045]]
('N173', 'N174') [[18.673864]]
('N138', 'N240') [[18.673826]]
('N152', 'N174') [[18.6656]]
('N228', 'N245') [[18.66244]]
('N25', 'N185') [[18.656769]]
('N141', 'N187') [[18.653717]]
('N141', 'N240') [[18.649317]]
('N22', 'N119') [[18.641096]]
('N58', 'N152') [[18.63998]]
('N101', 'N132') [[18.639288]]
('N4', 'N64') [[18.627491]]
('N115', 'N186') [[18.627247]]
('N186', 'N228') [[18.626171]]
('N141', 'N169') [[18.61915]]
('N141', 'N249') [[18.616373]]
('N115', 'N181') [[18.614687]]
('N58', 'N88') [[18.60846]]
('N115', 'N185') [[18.600243]]
('N24', 'N54') [[18.598274]]
('N81', 'N85') [[18.59821]]
('N58', 'N150') [[18.594688]]
('N174', 'N185') [[18.594038]]
('N11', 'N16') [[18.592657]]
('N6', 'N110') [[18.591951]]
('N58', 'N73') [[18.59189]]
('N54', 'N166') [[18.586382]]
('N38', 'N88') [[18.58374]]
('N185', 'N190') [[18.583399]]
('N4', 'N141') [[18.579033]]
('N93', 'N147') [[18.57483]]
('N33', 'N86') [[18.569305]]
('N136', 'N141') [[18.565353]]
('N201', 'N228') [[18.562998]]
('N151', 'N249') [[18.551521]]
('N28', 'N240') [[18.548079]]
('N115', 'N249') [[18.5466]]
('N141', 'N173') [[18.544813]]
('N54', 'N115') [[18.54169]]
('N54', 'N159') [[18.528296]]
('N16', 'N24') [[18.528206]]
('N159', 'N185') [[18.527185]]
('N58', 'N115') [[18.520252]]
('N22', 'N58') [[18.519794]]
('N16', 'N141') [[18.518612]]
('N135', 'N185') [[18.516474]]
('N132', 'N152') [[18.51551]]
('N138', 'N152') [[18.513683]]
('N54', 'N132') [[18.51277]]
('N166', 'N173') [[18.508232]]
('N88', 'N185') [[18.503925]]
('N49', 'N174') [[18.492428]]
('N103', 'N138') [[18.488932]]
('N141', 'N166') [[18.485804]]
('N191', 'N228') [[18.485682]]
('N88', 'N110') [[18.48428]]
('N54', 'N185') [[18.475845]]
('N185', 'N208') [[18.47441]]
('N93', 'N141') [[18.469603]]
('N166', 'N240') [[18.467962]]
('N122', 'N208') [[18.466238]]
('N27', 'N88') [[18.459772]]
('N50', 'N141') [[18.45193]]
('N101', 'N249') [[18.451168]]
('N35', 'N115') [[18.44842]]
('N69', 'N190') [[18.447716]]
