('M0P1', 'M0P2') [[48.197803]]
('N108', 'N206') [[19.801712]]
('N14', 'N161') [[19.659697]]
('N14', 'N224') [[19.600443]]
('N121', 'N213') [[19.486286]]
('N17', 'N108') [[19.485765]]
('N27', 'N108') [[19.47931]]
('N14', 'N79') [[19.385277]]
('N108', 'N166') [[19.342089]]
('N108', 'N139') [[19.336033]]
('N139', 'N202') [[19.335045]]
('N64', 'N237') [[19.329195]]
('N50', 'N108') [[19.323448]]
('N78', 'N148') [[19.30792]]
('N175', 'N177') [[19.275612]]
('N14', 'N19') [[19.231394]]
('N139', 'N178') [[19.219883]]
('N79', 'N96') [[19.219774]]
('N14', 'N77') [[19.210243]]
('N3', 'N14') [[19.205587]]
('N139', 'N173') [[19.166609]]
('N108', 'N175') [[19.16547]]
('N14', 'N187') [[19.164776]]
('N14', 'N175') [[19.16376]]
('N11', 'N14') [[19.163454]]
('N3', 'N139') [[19.163336]]
('N78', 'N108') [[19.159676]]
('N21', 'N177') [[19.154333]]
('N46', 'N108') [[19.115566]]
('N9', 'N108') [[19.107147]]
('N14', 'N245') [[19.102322]]
('N53', 'N108') [[19.098969]]
('N14', 'N96') [[19.09424]]
('N68', 'N139') [[19.090918]]
('N175', 'N200') [[19.086714]]
('N175', 'N240') [[19.083458]]
('N19', 'N213') [[19.07446]]
('N14', 'N112') [[19.059097]]
('N139', 'N172') [[19.056293]]
('N11', 'N148') [[19.04015]]
('N173', 'N206') [[19.025171]]
('N63', 'N206') [[19.02225]]
('N14', 'N170') [[19.016289]]
('N81', 'N108') [[19.0122]]
('N14', 'N108') [[19.003767]]
('N78', 'N166') [[19.001856]]
('N108', 'N213') [[19.001402]]
('N64', 'N152') [[18.995373]]
('N97', 'N107') [[18.986755]]
('N14', 'N193') [[18.984499]]
('N14', 'N94') [[18.979456]]
('N108', 'N219') [[18.97865]]
('N21', 'N159') [[18.977278]]
('N14', 'N134') [[18.968864]]
('N108', 'N177') [[18.968319]]
('N19', 'N108') [[18.964441]]
('N108', 'N200') [[18.959063]]
('N108', 'N248') [[18.95832]]
('N90', 'N108') [[18.956846]]
('N108', 'N148') [[18.949528]]
('N3', 'N68') [[18.937468]]
('N11', 'N96') [[18.931341]]
('N108', 'N173') [[18.928507]]
('N108', 'N116') [[18.923134]]
('N14', 'N60') [[18.921816]]
('N42', 'N148') [[18.919456]]
('N14', 'N88') [[18.916866]]
('N11', 'N108') [[18.91538]]
('N77', 'N108') [[18.91507]]
('N96', 'N177') [[18.914219]]
('N126', 'N148') [[18.913877]]
('N139', 'N240') [[18.895504]]
('N213', 'N237') [[18.892849]]
('N170', 'N177') [[18.890568]]
('N107', 'N108') [[18.890333]]
('N14', 'N213') [[18.88645]]
('N27', 'N200') [[18.883198]]
('N64', 'N108') [[18.881067]]
('N68', 'N108') [[18.880268]]
('N173', 'N194') [[18.878006]]
('N14', 'N252') [[18.87601]]
('N21', 'N210') [[18.874874]]
('N9', 'N139') [[18.870935]]
('N11', 'N187') [[18.870655]]
('N55', 'N108') [[18.870636]]
('N108', 'N123') [[18.869135]]
('N177', 'N181') [[18.869087]]
('N78', 'M0P2') [[18.865507]]
('N4', 'N161') [[18.864338]]
('N161', 'N187') [[18.860353]]
('N11', 'N68') [[18.859236]]
('N9', 'N194') [[18.855984]]
('N8', 'N14') [[18.854607]]
('N108', 'N178') [[18.854494]]
('N64', 'M0P1') [[18.852707]]
('N108', 'N205') [[18.851202]]
('N108', 'N188') [[18.849419]]
('N64', 'N209') [[18.84041]]
('N165', 'N206') [[18.839193]]
('N175', 'N245') [[18.837431]]
('N78', 'N139') [[18.836937]]
('N108', 'N204') [[18.836035]]
('N55', 'N139') [[18.834558]]
('N14', 'N180') [[18.834509]]
('N98', 'N139') [[18.834486]]
('N173', 'N175') [[18.833603]]
('N42', 'N225') [[18.8313]]
('N64', 'N188') [[18.826992]]
('N60', 'N207') [[18.82623]]
('N42', 'N108') [[18.824657]]
('N108', 'N143') [[18.820946]]
('N108', 'N165') [[18.82068]]
('N14', 'N243') [[18.81992]]
('N8', 'N94') [[18.818432]]
('N108', 'N226') [[18.81672]]
('N94', 'N108') [[18.81147]]
('N63', 'N96') [[18.809784]]
('N17', 'N165') [[18.809029]]
('N3', 'N11') [[18.808191]]
('N139', 'N148') [[18.807854]]
('N108', 'N153') [[18.807768]]
('N17', 'N194') [[18.807137]]
('N8', 'N99') [[18.804298]]
('N78', 'M0P1') [[18.795954]]
('N108', 'N159') [[18.790045]]
('N64', 'N172') [[18.78851]]
('N50', 'N53') [[18.787115]]
('N21', 'N246') [[18.784353]]
('N14', 'N192') [[18.78308]]
('N240', 'N252') [[18.778477]]
('N194', 'N213') [[18.777283]]
('N14', 'N59') [[18.776026]]
('N193', 'N213') [[18.773788]]
('N62', 'N226') [[18.772203]]
('N96', 'N161') [[18.769249]]
('N108', 'N210') [[18.768219]]
('N64', 'N234') [[18.766714]]
('N18', 'N55') [[18.76591]]
('N17', 'N68') [[18.765379]]
('N68', 'N165') [[18.764755]]
('N8', 'N224') [[18.75909]]
('N207', 'N240') [[18.757315]]
('N42', 'N156') [[18.757135]]
('N8', 'N108') [[18.756668]]
('N21', 'N175') [[18.755737]]
('N14', 'N206') [[18.755411]]
('N64', 'N135') [[18.754894]]
('N139', 'M0P2') [[18.75413]]
('N42', 'N187') [[18.752153]]
('N14', 'N49') [[18.751808]]
('N78', 'N198') [[18.750826]]
('N76', 'N173') [[18.749067]]
('N42', 'N178') [[18.748772]]
('N14', 'N156') [[18.745934]]
('N14', 'N177') [[18.745865]]
('N139', 'N175') [[18.74523]]
('N147', 'N210') [[18.744724]]
('N14', 'N147') [[18.742449]]
('N166', 'N247') [[18.742165]]
('N107', 'N161') [[18.73301]]
('N38', 'N53') [[18.73098]]
('N36', 'N166') [[18.729458]]
('N175', 'M0P2') [[18.727726]]
('N14', 'N148') [[18.726614]]
('N96', 'N213') [[18.72606]]
('N21', 'N194') [[18.725906]]
('N107', 'N241') [[18.723549]]
('N108', 'N121') [[18.722218]]
('N78', 'N224') [[18.722166]]
('N50', 'N206') [[18.72074]]
('N79', 'N147') [[18.72022]]
('N69', 'N243') [[18.717646]]
('N18', 'N166') [[18.71515]]
('N14', 'N97') [[18.714779]]
('N14', 'N42') [[18.711077]]
