('M0P1', 'M0P2') [[33.54983]]
('N88', 'M0P1') [[15.303795]]
('N169', 'M0P1') [[15.123029]]
('N28', 'N176') [[14.811221]]
('N28', 'N214') [[14.777988]]
('N9', 'N28') [[14.729591]]
('N26', 'N221') [[14.723155]]
('N186', 'N221') [[14.704464]]
('N28', 'N94') [[14.700158]]
('N28', 'N218') [[14.697127]]
('N69', 'M0P1') [[14.692657]]
('N28', 'N48') [[14.663162]]
('N69', 'N238') [[14.649777]]
('N26', 'N117') [[14.645131]]
('N153', 'N227') [[14.640433]]
('N9', 'N153') [[14.61881]]
('N28', 'N88') [[14.615822]]
('N88', 'N106') [[14.595485]]
('N109', 'N153') [[14.576836]]
('N117', 'N153') [[14.563869]]
('N26', 'N28') [[14.555237]]
('N28', 'N172') [[14.517695]]
('N28', 'N108') [[14.510139]]
('N103', 'N148') [[14.500453]]
('N136', 'M0P1') [[14.48069]]
('N117', 'N148') [[14.476445]]
('N63', 'N153') [[14.46254]]
('N153', 'N159') [[14.45603]]
('N98', 'N103') [[14.452334]]
('N28', 'N153') [[14.450603]]
('N28', 'N117') [[14.447494]]
('N153', 'N217') [[14.442175]]
('N153', 'N238') [[14.440961]]
('N98', 'N153') [[14.427179]]
('N69', 'N169') [[14.400963]]
('N153', 'N204') [[14.392332]]
('N9', 'N199') [[14.389278]]
('N28', 'N81') [[14.380423]]
('N169', 'M0P2') [[14.379009]]
('N63', 'N117') [[14.376146]]
('N26', 'N186') [[14.374443]]
('N72', 'N103') [[14.37368]]
('N132', 'N153') [[14.36586]]
('N2', 'N221') [[14.365336]]
('N26', 'N153') [[14.3551655]]
('N2', 'N26') [[14.351815]]
('N26', 'N161') [[14.346824]]
('N9', 'N117') [[14.337438]]
('N18', 'N28') [[14.337398]]
('N27', 'N167') [[14.337396]]
('N153', 'N221') [[14.335751]]
('N153', 'N241') [[14.333145]]
('N47', 'N98') [[14.332081]]
('N153', 'N186') [[14.330922]]
('N2', 'N176') [[14.330256]]
('N1', 'N88') [[14.328758]]
('N28', 'N221') [[14.326106]]
('N15', 'N60') [[14.324615]]
('N117', 'M0P1') [[14.323255]]
('N113', 'N153') [[14.321896]]
('N9', 'N60') [[14.318326]]
('N26', 'N247') [[14.318001]]
('N77', 'N88') [[14.317124]]
('N43', 'N153') [[14.312666]]
('N88', 'N117') [[14.309713]]
('N27', 'N117') [[14.303605]]
('N60', 'N153') [[14.303147]]
('N113', 'N218') [[14.295087]]
('N15', 'N153') [[14.294101]]
('N117', 'N169') [[14.292789]]
('N15', 'N155') [[14.28488]]
('N2', 'N153') [[14.282445]]
('N66', 'N186') [[14.2821245]]
('N176', 'N187') [[14.280901]]
('N155', 'N217') [[14.27957]]
('N153', 'N164') [[14.278371]]
('N27', 'N153') [[14.275104]]
('N7', 'N153') [[14.263288]]
('N105', 'N117') [[14.260071]]
('N60', 'N63') [[14.258037]]
('N186', 'N229') [[14.256657]]
('N215', 'N221') [[14.256239]]
('N97', 'N153') [[14.254751]]
('N9', 'N51') [[14.254538]]
('N105', 'N153') [[14.251492]]
('N103', 'N153') [[14.2476225]]
('N153', 'N183') [[14.23431]]
('N117', 'N176') [[14.22316]]
('N15', 'N111') [[14.21938]]
('N48', 'N221') [[14.209876]]
('N88', 'N173') [[14.209287]]
('N47', 'N153') [[14.208144]]
('N9', 'N94') [[14.205843]]
('N9', 'N176') [[14.203784]]
('N88', 'N215') [[14.202735]]
('N153', 'N166') [[14.2026205]]
('N60', 'N117') [[14.202405]]
('N2', 'N218') [[14.19757]]
('N153', 'N167') [[14.196859]]
('N60', 'N98') [[14.190919]]
('N153', 'N169') [[14.188587]]
('N28', 'N148') [[14.188248]]
('N28', 'N189') [[14.185357]]
('N186', 'N217') [[14.184476]]
('N28', 'N167') [[14.184342]]
('N43', 'N221') [[14.181951]]
('N81', 'N218') [[14.17925]]
('N77', 'N186') [[14.17733]]
('N117', 'N159') [[14.176641]]
('N43', 'N186') [[14.171738]]
('N23', 'N28') [[14.170988]]
('N26', 'N43') [[14.163472]]
('N2', 'N103') [[14.162108]]
('N155', 'N218') [[14.159586]]
('N117', 'N214') [[14.159448]]
('N111', 'N153') [[14.158309]]
('N88', 'N153') [[14.152002]]
('N148', 'N172') [[14.149437]]
('N77', 'M0P1') [[14.148621]]
('N16', 'N104') [[14.148365]]
('N9', 'N159') [[14.148151]]
('N9', 'N232') [[14.145392]]
('N27', 'N28') [[14.143132]]
('N103', 'N159') [[14.1430235]]
('N9', 'N221') [[14.141295]]
('N147', 'N153') [[14.139792]]
('N106', 'N153') [[14.138441]]
('N77', 'N217') [[14.136284]]
('N15', 'N247') [[14.134693]]
('N75', 'N221') [[14.134446]]
('N148', 'N153') [[14.133752]]
('N16', 'N44') [[14.129378]]
('N2', 'N18') [[14.12831]]
('N94', 'N153') [[14.126791]]
('N28', 'N100') [[14.12482]]
('N2', 'N186') [[14.123573]]
('N26', 'N70') [[14.1222515]]
('N2', 'N28') [[14.115816]]
('N136', 'N186') [[14.11418]]
('N9', 'N217') [[14.112686]]
('N28', 'N50') [[14.1115465]]
('N89', 'N153') [[14.111154]]
('N136', 'N217') [[14.10789]]
('N148', 'N169') [[14.102266]]
('N63', 'M0P1') [[14.09793]]
('N9', 'N113') [[14.09653]]
('N9', 'N106') [[14.095546]]
('N169', 'N186') [[14.091243]]
('N26', 'N27') [[14.091181]]
('N88', 'N147') [[14.091026]]
('N28', 'N241') [[14.086726]]
('N9', 'N88') [[14.08533]]
('N99', 'N153') [[14.081848]]
('N25', 'N153') [[14.080803]]
('N88', 'N144') [[14.079802]]
('N138', 'N218') [[14.078011]]
('N153', 'N172') [[14.077674]]
('N72', 'N148') [[14.069925]]
('N28', 'N225') [[14.069879]]
('N113', 'N221') [[14.066984]]
('N187', 'N218') [[14.06623]]
('N7', 'N26') [[14.065168]]
('N153', 'N184') [[14.064906]]
('N83', 'M0P1') [[14.064147]]
('N88', 'N176') [[14.063605]]
('N98', 'N117') [[14.061484]]
('N79', 'N88') [[14.060029]]
('N28', 'N136') [[14.058941]]
('N99', 'N176') [[14.056007]]
('N77', 'N148') [[14.05398]]
('N28', 'N250') [[14.051028]]
('N139', 'N153') [[14.047946]]
('N153', 'N250') [[14.045001]]
('N153', 'N214') [[14.044034]]
('N71', 'N88') [[14.043032]]
('N28', 'N61') [[14.037755]]
('N28', 'N52') [[14.035633]]
('N18', 'N147') [[14.034642]]
('N18', 'N109') [[14.033302]]
('N81', 'N221') [[14.030816]]
('N170', 'N215') [[14.030128]]
('N60', 'N155') [[14.0295]]
('N28', 'N103') [[14.028353]]
('N153', 'N218') [[14.028128]]
('N103', 'N173') [[14.023874]]
('N153', 'N177') [[14.023494]]
('N48', 'N94') [[14.023107]]
('N2', 'N88') [[14.021667]]
('N66', 'N77') [[14.021591]]
('N26', 'N69') [[14.020485]]
('N2', 'N77') [[14.019945]]
('N155', 'N157') [[14.018715]]
('N28', 'N106') [[14.018159]]
('N28', 'N164') [[14.017517]]
('N28', 'N247') [[14.017282]]
('N9', 'N186') [[14.01647]]
('N109', 'N186') [[14.016196]]
('N9', 'N48') [[14.015388]]
('N66', 'N221') [[14.014074]]
('N99', 'N173') [[14.013327]]
('N15', 'N88') [[14.010003]]
('N9', 'N98') [[14.005693]]
('N107', 'N117') [[14.0029335]]
('N117', 'N218') [[14.002334]]
('N28', 'N154') [[14.002135]]
('N69', 'N148') [[14.001939]]
('N26', 'N148') [[13.999564]]
('N77', 'N147') [[13.999434]]
('N28', 'N215') [[13.997941]]
('N117', 'N170') [[13.996928]]
('N73', 'N153') [[13.996433]]
('N28', 'N43') [[13.994962]]
('N9', 'N214') [[13.993485]]
('N88', 'M0P2') [[13.993416]]
('N153', 'N230') [[13.992719]]
('N52', 'N88') [[13.992627]]
('N9', 'N170') [[13.986264]]
('N69', 'N77') [[13.9853525]]
('N23', 'N26') [[13.985338]]
('N9', 'N81') [[13.9850445]]
('N117', 'N251') [[13.984813]]
('N77', 'N176') [[13.983273]]
('N148', 'N219') [[13.98226]]
('N16', 'N28') [[13.981542]]
('N153', 'N176') [[13.981381]]
('N28', 'N186') [[13.98032]]
('N28', 'N42') [[13.980185]]
('N214', 'N221') [[13.979356]]
('N187', 'N253') [[13.979152]]
('N28', 'N99') [[13.977612]]
('N26', 'N138') [[13.976973]]
('N153', 'N173') [[13.975611]]
('N153', 'N235') [[13.973385]]
('N9', 'N171') [[13.971878]]
('N138', 'N186') [[13.971482]]
('N88', 'N221') [[13.970805]]
('N136', 'M0P2') [[13.970419]]
('N28', 'N183') [[13.970362]]
('N108', 'N247') [[13.965209]]
('N88', 'N107') [[13.964595]]
('N50', 'N221') [[13.963777]]
('N153', 'N170') [[13.961755]]
('N136', 'N221') [[13.96073]]
('N32', 'N153') [[13.960483]]
('N26', 'N80') [[13.958044]]
('N186', 'N198') [[13.957963]]
('N109', 'N173') [[13.955884]]
('N28', 'N31') [[13.955694]]
('N60', 'N148') [[13.955436]]
('N148', 'N223') [[13.955406]]
('N16', 'N98') [[13.955286]]
('N47', 'N215') [[13.954636]]
('N117', 'N186') [[13.953831]]
