('M0P1', 'M0P2') [[20.98094]]
('N227', 'M0P2') [[17.749067]]
('N227', 'M0P1') [[16.372776]]
('N64', 'N227') [[15.76745]]
('N46', 'N227') [[15.665655]]
('N13', 'N227') [[15.628331]]
('N227', 'N252') [[15.625338]]
('N103', 'N227') [[15.58687]]
('N227', 'N242') [[15.447007]]
('N242', 'M0P2') [[15.445588]]
('N191', 'M0P2') [[15.44032]]
('N51', 'N227') [[15.321555]]
('N227', 'N249') [[15.308851]]
('N181', 'N227') [[15.287878]]
('N179', 'N227') [[15.266344]]
('N36', 'N227') [[15.25839]]
('N72', 'N227') [[15.250124]]
('N189', 'N227') [[15.247632]]
('N180', 'N227') [[15.231867]]
('N1', 'N227') [[15.210204]]
('N227', 'N244') [[15.183685]]
('N191', 'N227') [[15.151908]]
('N48', 'N227') [[15.147223]]
('N11', 'N227') [[15.121037]]
('N180', 'M0P2') [[15.089581]]
('N122', 'N227') [[15.08295]]
('N34', 'N227') [[15.072066]]
('N60', 'N227') [[15.069621]]
('N46', 'M0P2') [[15.052791]]
('N173', 'N227') [[15.050763]]
('N96', 'N227') [[15.047416]]
('N40', 'N227') [[15.035934]]
('N109', 'N227') [[15.03556]]
('N109', 'M0P1') [[15.027802]]
('N1', 'M0P2') [[15.01196]]
('N137', 'N227') [[15.003741]]
('N62', 'N227') [[14.999225]]
('N227', 'N230') [[14.979332]]
('N35', 'M0P2') [[14.961347]]
('N157', 'N227') [[14.946973]]
('N13', 'M0P2') [[14.942153]]
('N67', 'M0P2') [[14.91723]]
('N227', 'N241') [[14.914675]]
('N48', 'M0P2') [[14.890772]]
('N181', 'M0P2') [[14.888186]]
('N21', 'N227') [[14.884042]]
('N64', 'N252') [[14.871451]]
('N48', 'M0P1') [[14.871166]]
('N243', 'M0P2') [[14.865321]]
('N219', 'N227') [[14.861747]]
('N252', 'M0P2') [[14.830181]]
('N88', 'N227') [[14.828504]]
('N110', 'N227') [[14.828119]]
('N104', 'N227') [[14.826343]]
('N66', 'N227') [[14.820736]]
('N35', 'N227') [[14.812434]]
('N52', 'N191') [[14.796776]]
('N127', 'N227') [[14.790644]]
('N9', 'N227') [[14.771227]]
('N19', 'N227') [[14.769296]]
('N124', 'N227') [[14.76796]]
('N52', 'N227') [[14.758767]]
('N2', 'N227') [[14.750036]]
('N95', 'N227') [[14.749192]]
('N241', 'M0P2') [[14.74837]]
('N239', 'M0P2') [[14.744927]]
('N179', 'N252') [[14.740257]]
('N45', 'N227') [[14.736771]]
('N21', 'N35') [[14.726201]]
('N109', 'M0P2') [[14.719971]]
('N191', 'M0P1') [[14.71889]]
('N209', 'N227') [[14.718051]]
('N67', 'N191') [[14.712941]]
('N149', 'N227') [[14.712128]]
('N17', 'N227') [[14.710914]]
('N100', 'N227') [[14.704729]]
('N48', 'N191') [[14.703816]]
('N191', 'N242') [[14.697841]]
('N90', 'N227') [[14.688314]]
('N3', 'N191') [[14.674125]]
('N73', 'N227') [[14.667668]]
('N227', 'N243') [[14.665312]]
('N2', 'N191') [[14.663687]]
('N192', 'N227') [[14.656034]]
('N21', 'N181') [[14.654471]]
('N175', 'N227') [[14.6512985]]
('N227', 'N236') [[14.6501875]]
('N146', 'N227') [[14.648726]]
('N191', 'N196') [[14.633012]]
('N92', 'N227') [[14.630663]]
('N1', 'N191') [[14.630019]]
('N227', 'N246') [[14.628903]]
('N181', 'M0P1') [[14.625987]]
('N187', 'N227') [[14.624812]]
('N216', 'N227') [[14.624346]]
('N11', 'N191') [[14.622095]]
('N166', 'N227') [[14.6201]]
('N67', 'N246') [[14.613784]]
('N109', 'N218') [[14.6103525]]
('N67', 'N69') [[14.60781]]
('N51', 'N109') [[14.604378]]
('N64', 'M0P2') [[14.599175]]
('N46', 'N242') [[14.598881]]
('N19', 'N179') [[14.592539]]
('N242', 'M0P1') [[14.591252]]
('N227', 'N240') [[14.583619]]
('N3', 'N227') [[14.581614]]
('N213', 'N227') [[14.576998]]
('N227', 'N251') [[14.571294]]
('N227', 'N250') [[14.562099]]
('N214', 'N227') [[14.555699]]
('N102', 'N227') [[14.554454]]
('N13', 'N191') [[14.553402]]
('N28', 'N227') [[14.552361]]
('N207', 'N227') [[14.548184]]
('N140', 'N191') [[14.546326]]
('N46', 'N48') [[14.538985]]
('N186', 'N227') [[14.534165]]
('N62', 'M0P2') [[14.534148]]
('N51', 'N191') [[14.532916]]
('N43', 'N227') [[14.5299635]]
('N90', 'N191') [[14.524546]]
('N96', 'M0P2') [[14.51692]]
('N140', 'N152') [[14.51621]]
('N201', 'N227') [[14.515497]]
('N36', 'M0P1') [[14.507208]]
('N71', 'N227') [[14.506223]]
('N46', 'M0P1') [[14.494429]]
('N246', 'M0P2') [[14.492525]]
('N2', 'N67') [[14.490728]]
('N67', 'N180') [[14.486325]]
('N196', 'N227') [[14.483461]]
('N21', 'N189') [[14.483168]]
('N69', 'N227') [[14.47639]]
('N109', 'N177') [[14.475783]]
('N152', 'N227') [[14.475537]]
('N130', 'N227') [[14.474175]]
