('M0P1', 'M0P2') [[40.04003]]
('N52', 'N69') [[19.620441]]
('N109', 'N165') [[19.489243]]
('N178', 'N251') [[19.488688]]
('N167', 'N200') [[19.401546]]
('N42', 'N192') [[19.331638]]
('N63', 'N178') [[19.301426]]
('N52', 'N167') [[19.275974]]
('N27', 'N165') [[19.253716]]
('N42', 'N109') [[19.24426]]
('N167', 'N190') [[19.239529]]
('N27', 'N167') [[19.224302]]
('N158', 'N165') [[19.1887]]
('N63', 'N182') [[19.157791]]
('N165', 'N246') [[19.150919]]
('N101', 'N167') [[19.13801]]
('N36', 'N109') [[19.136734]]
('N165', 'N182') [[19.124256]]
('N130', 'N250') [[19.117308]]
('N50', 'N192') [[19.113926]]
('N207', 'N250') [[19.082104]]
('N109', 'N194') [[19.072897]]
('N136', 'N251') [[19.05061]]
('N52', 'N63') [[19.049355]]
('N42', 'N100') [[19.048786]]
('N52', 'N207') [[19.04566]]
('N10', 'N109') [[19.040167]]
('N192', 'N212') [[19.033905]]
('N63', 'N212') [[19.024221]]
('N146', 'N252') [[19.023867]]
('N52', 'N165') [[19.016647]]
('N50', 'N212') [[19.015678]]
('N10', 'N251') [[19.006516]]
('N52', 'N147') [[18.997433]]
('N167', 'N251') [[18.987995]]
('N212', 'N251') [[18.987804]]
('N109', 'N229') [[18.979557]]
('N109', 'N219') [[18.973042]]
('N27', 'N52') [[18.944223]]
('N112', 'N165') [[18.94398]]
('N50', 'N198') [[18.941849]]
('N77', 'N212') [[18.937561]]
('N167', 'N192') [[18.935383]]
('N72', 'N165') [[18.934954]]
('N109', 'N195') [[18.934425]]
('N10', 'N112') [[18.923666]]
('N182', 'N250') [[18.92349]]
('N50', 'N171') [[18.92252]]
('N146', 'N212') [[18.920864]]
('N52', 'N192') [[18.914627]]
('N52', 'N146') [[18.914255]]
('N215', 'N251') [[18.903122]]
('N109', 'N212') [[18.90278]]
('N109', 'N174') [[18.901686]]
('N100', 'N165') [[18.900692]]
('N165', 'N225') [[18.898859]]
('N50', 'N207') [[18.897854]]
('N119', 'N200') [[18.887863]]
('N109', 'N136') [[18.87949]]
('N109', 'N215') [[18.876474]]
('N109', 'N225') [[18.874218]]
('N1', 'N167') [[18.873482]]
('N244', 'N252') [[18.870325]]
('N108', 'N144') [[18.864767]]
('N27', 'N248') [[18.863173]]
('N52', 'N163') [[18.8572]]
('N100', 'N109') [[18.852808]]
('N42', 'N136') [[18.851671]]
('N109', 'N200') [[18.849798]]
('N167', 'N212') [[18.846502]]
('N14', 'N165') [[18.843126]]
('N42', 'N161') [[18.841463]]
('N167', 'N182') [[18.84101]]
('N100', 'N192') [[18.838812]]
('N77', 'N82') [[18.832905]]
('N34', 'N167') [[18.830856]]
('N52', 'N212') [[18.824986]]
('N0', 'N52') [[18.824677]]
('N100', 'N212') [[18.823778]]
('N30', 'N167') [[18.823336]]
('N27', 'N182') [[18.820623]]
('N167', 'N171') [[18.819092]]
('N64', 'N109') [[18.817623]]
('N63', 'N214') [[18.815123]]
('N33', 'N44') [[18.814903]]
('N109', 'N207') [[18.81392]]
('N109', 'N185') [[18.813093]]
('N53', 'N100') [[18.811443]]
('N52', 'N109') [[18.809097]]
('N12', 'N109') [[18.80469]]
('N109', 'N182') [[18.803045]]
('N182', 'N215') [[18.802591]]
('N185', 'N212') [[18.800043]]
('N163', 'N167') [[18.79918]]
('N27', 'N63') [[18.791494]]
('N178', 'N204') [[18.789877]]
('N165', 'N218') [[18.789314]]
('N52', 'N204') [[18.78923]]
('N109', 'N171') [[18.788265]]
('N50', 'N77') [[18.78431]]
('N178', 'N212') [[18.783773]]
('N190', 'N200') [[18.78278]]
('N109', 'N167') [[18.781797]]
('N51', 'N100') [[18.781353]]
('N109', 'N251') [[18.7752]]
('N157', 'N167') [[18.775135]]
('N10', 'N167') [[18.773756]]
('N18', 'N27') [[18.772835]]
('N39', 'N165') [[18.772453]]
('N68', 'N183') [[18.771381]]
('N196', 'N207') [[18.768772]]
('N52', 'N225') [[18.76861]]
('N10', 'N206') [[18.768394]]
('N41', 'N200') [[18.767658]]
('N144', 'N167') [[18.764917]]
('N121', 'N167') [[18.763956]]
('N77', 'N182') [[18.7639]]
('N100', 'N167') [[18.763077]]
('N52', 'N185') [[18.76133]]
('N52', 'N53') [[18.75967]]
('N27', 'N178') [[18.75893]]
('N27', 'N136') [[18.755808]]
('N69', 'N147') [[18.755604]]
('N36', 'N167') [[18.75163]]
('N53', 'N109') [[18.748236]]
('N109', 'N253') [[18.745035]]
('N49', 'N250') [[18.744303]]
('N109', 'N161') [[18.74404]]
('N165', 'N168') [[18.74385]]
('N23', 'N167') [[18.742804]]
('N52', 'N200') [[18.741661]]
('N27', 'N194') [[18.741142]]
('N178', 'N192') [[18.7411]]
('N136', 'N167') [[18.740423]]
('N50', 'N251') [[18.739454]]
('N63', 'N79') [[18.738367]]
('N165', 'N200') [[18.737167]]
('N52', 'N237') [[18.735655]]
('N42', 'N193') [[18.735603]]
('N165', 'N229') [[18.734936]]
('N174', 'N191') [[18.734674]]
('N212', 'N218') [[18.733965]]
('N212', 'N252') [[18.731554]]
('N63', 'N102') [[18.73154]]
('N27', 'N162') [[18.730276]]
('N42', 'N200') [[18.730152]]
('N109', 'N158') [[18.729439]]
('N72', 'N109') [[18.729294]]
('N146', 'N211') [[18.729107]]
('N33', 'N52') [[18.726925]]
('N109', 'N216') [[18.725418]]
('N40', 'N109') [[18.725264]]
('N136', 'N165') [[18.72479]]
('N27', 'N191') [[18.724733]]
('N143', 'N167') [[18.723085]]
('N77', 'N146') [[18.721018]]
('N101', 'N200') [[18.720808]]
('N27', 'N30') [[18.720644]]
('N36', 'N200') [[18.715696]]
('N30', 'N63') [[18.71481]]
('N21', 'N165') [[18.714024]]
('N36', 'N42') [[18.711927]]
('N49', 'N52') [[18.709433]]
('N79', 'N109') [[18.70562]]
('N27', 'N42') [[18.704561]]
('N100', 'N136') [[18.703447]]
('N25', 'N109') [[18.703209]]
('N63', 'N252') [[18.702826]]
('N100', 'N207') [[18.702648]]
('N36', 'N136') [[18.70165]]
('N192', 'N245') [[18.698198]]
('N199', 'N212') [[18.696514]]
('N136', 'N210') [[18.695053]]
('N167', 'N229') [[18.694958]]
('N81', 'N109') [[18.69347]]
('N136', 'N162') [[18.693455]]
('N30', 'N165') [[18.689543]]
('N102', 'N109') [[18.689354]]
('N34', 'N200') [[18.688585]]
('N182', 'N212') [[18.68642]]
('N27', 'N198') [[18.684958]]
('N191', 'N193') [[18.68376]]
('N144', 'N165') [[18.682241]]
('N27', 'N36') [[18.682167]]
('N52', 'N100') [[18.68129]]
('N49', 'N215') [[18.680113]]
('N120', 'N165') [[18.679995]]
('N77', 'N144') [[18.67986]]
('N146', 'N215') [[18.678835]]
('N52', 'N168') [[18.676424]]
('N50', 'N229') [[18.674831]]
('N42', 'N191') [[18.673944]]
('N207', 'N212') [[18.673847]]
('N77', 'N167') [[18.670124]]
('N146', 'N207') [[18.66933]]
('N198', 'N212') [[18.669249]]
('N112', 'N185') [[18.669233]]
('N165', 'N186') [[18.668438]]
('N167', 'N198') [[18.667814]]
('N23', 'N63') [[18.66775]]
('N42', 'N167') [[18.666195]]
('N114', 'N167') [[18.66464]]
('N4', 'N50') [[18.664618]]
('N42', 'N182') [[18.664442]]
('N52', 'N144') [[18.660067]]
('N27', 'N212') [[18.659954]]
('N167', 'N202') [[18.659618]]
('N191', 'N212') [[18.658203]]
('N167', 'N219') [[18.657204]]
('N168', 'N200') [[18.65613]]
('N50', 'N64') [[18.655468]]
('N31', 'N77') [[18.654436]]
('N28', 'N167') [[18.65426]]
('N165', 'N251') [[18.653732]]
('N63', 'N80') [[18.653233]]
('N165', 'N195') [[18.65108]]
('N63', 'N165') [[18.648043]]
('N79', 'N251') [[18.646862]]
('N34', 'N226') [[18.64495]]
('N27', 'N96') [[18.64459]]
('N27', 'N109') [[18.64016]]
('N52', 'N252') [[18.639149]]
('N64', 'N165') [[18.63853]]
('N165', 'N206') [[18.637915]]
('N13', 'N63') [[18.637589]]
('N30', 'N109') [[18.63747]]
('N70', 'N167') [[18.637306]]
('N10', 'N24') [[18.63597]]
('N42', 'N52') [[18.635574]]
('N42', 'N178') [[18.63479]]
('N182', 'N229') [[18.63467]]
('N36', 'N192') [[18.634634]]
('N23', 'N27') [[18.633543]]
('N49', 'N162') [[18.63303]]
('N69', 'N109') [[18.632854]]
('N18', 'N63') [[18.632816]]
('N146', 'N162') [[18.63279]]
('N53', 'N212') [[18.632778]]
('N53', 'N69') [[18.632307]]
('N40', 'N53') [[18.631426]]
('N210', 'N250') [[18.630444]]
('N27', 'N251') [[18.630083]]
('N88', 'N100') [[18.629345]]
('N190', 'N212') [[18.627935]]
('N4', 'N109') [[18.627525]]
('N69', 'N130') [[18.626698]]
('N69', 'N198') [[18.625942]]
('N80', 'N251') [[18.624063]]
('N30', 'N100') [[18.624063]]
('N23', 'N212') [[18.621534]]
('N64', 'N225') [[18.619802]]
('N109', 'N117') [[18.618612]]
('N80', 'N215') [[18.618382]]
('N30', 'N194') [[18.617794]]
('N50', 'N177') [[18.615618]]
('N136', 'N207') [[18.615295]]
('N136', 'N192') [[18.615295]]
('N109', 'N184') [[18.614792]]
('N50', 'N210') [[18.614697]]
('N10', 'N136') [[18.614399]]
('N212', 'N227') [[18.613997]]
('N52', 'N114') [[18.613356]]
('N185', 'N200') [[18.61301]]
('N108', 'N165') [[18.612656]]
('N182', 'N246') [[18.612427]]
('N146', 'N183') [[18.612392]]
('N142', 'N178') [[18.612043]]
('N5', 'N178') [[18.609226]]
('N147', 'N192') [[18.608662]]
('N36', 'N196') [[18.608416]]
('N191', 'N192') [[18.607544]]
('N82', 'N109') [[18.607193]]
('N52', 'N164') [[18.60286]]
('N77', 'N171') [[18.601116]]
('N42', 'N212') [[18.599163]]
('N50', 'N136') [[18.59884]]
('N191', 'N198') [[18.597162]]
('N68', 'N215') [[18.596577]]
('N218', 'N246') [[18.596241]]
('N211', 'N246') [[18.594881]]
('N52', 'N233') [[18.592806]]
('N70', 'N165') [[18.592434]]
('N10', 'N146') [[18.59167]]
('N42', 'N251') [[18.59109]]
('N34', 'N218') [[18.589966]]
('N21', 'N52') [[18.589573]]
('N42', 'N250') [[18.588627]]
('N52', 'N210') [[18.588547]]
('N108', 'N192') [[18.58833]]
('N165', 'N207') [[18.586699]]
('N200', 'N252') [[18.586317]]
('N39', 'N100') [[18.585424]]
('N52', 'N137') [[18.585405]]
('N42', 'N149') [[18.584942]]
('N3', 'N63') [[18.58451]]
('N51', 'N251') [[18.584429]]
('N27', 'N121') [[18.584204]]
('N167', 'N194') [[18.584171]]
('N77', 'N194') [[18.584064]]
('N33', 'N79') [[18.583494]]
('N27', 'N210') [[18.583378]]
('N63', 'N192') [[18.583012]]
('N165', 'N199') [[18.581196]]
('N53', 'N192') [[18.58028]]
('N63', 'N167') [[18.580034]]
('N100', 'N191') [[18.579708]]
('N168', 'N191') [[18.577364]]
('N109', 'N246') [[18.57558]]
('N28', 'N42') [[18.574345]]
('N0', 'N104') [[18.573776]]
('N167', 'N245') [[18.57339]]
('N44', 'N52') [[18.57273]]
('N52', 'N92') [[18.572245]]
('N34', 'N192') [[18.571537]]
('N100', 'N144') [[18.571325]]
('N167', 'N195') [[18.570522]]
('N190', 'N192') [[18.567333]]
('N36', 'N212') [[18.567276]]
('N63', 'N250') [[18.566437]]
('N72', 'N204') [[18.565067]]
('N27', 'N69') [[18.564604]]
('N100', 'N169') [[18.564238]]
('N136', 'N214') [[18.562782]]
('N52', 'N250') [[18.561962]]
('N58', 'N77') [[18.560919]]
('N42', 'N227') [[18.560518]]
('N80', 'N192') [[18.556782]]
('N52', 'N162') [[18.556501]]
('N8', 'N229') [[18.554792]]
