('M0P1', 'M0P2') [[79.52961]]
('N109', 'N192') [[18.867933]]
('N55', 'N192') [[18.810295]]
('N157', 'N202') [[18.707228]]
('N192', 'N197') [[18.691256]]
('N14', 'N129') [[18.63716]]
('N79', 'N112') [[18.621565]]
('N79', 'N215') [[18.601543]]
('N30', 'N157') [[18.57373]]
('N107', 'N201') [[18.548357]]
('N125', 'N192') [[18.518087]]
('N129', 'N173') [[18.514568]]
('N129', 'N201') [[18.510284]]
('N50', 'N86') [[18.501364]]
('N66', 'N157') [[18.490128]]
('N151', 'N201') [[18.43239]]
('N140', 'N201') [[18.431534]]
('N81', 'N129') [[18.415127]]
('N167', 'N194') [[18.414368]]
('N25', 'N55') [[18.411129]]
('N123', 'N190') [[18.408157]]
('N123', 'N138') [[18.400023]]
('N129', 'N202') [[18.394806]]
('N0', 'N44') [[18.391727]]
('N99', 'N151') [[18.390543]]
('N81', 'N226') [[18.377043]]
('N151', 'N164') [[18.374016]]
('N111', 'N231') [[18.372507]]
('N148', 'N157') [[18.371033]]
('N107', 'N168') [[18.368078]]
('N125', 'N171') [[18.36717]]
('N54', 'N151') [[18.362728]]
('N123', 'N160') [[18.360998]]
('N15', 'N96') [[18.357714]]
('N49', 'N192') [[18.356798]]
('N125', 'N160') [[18.34685]]
('N40', 'N111') [[18.345507]]
('N79', 'N246') [[18.331766]]
('N8', 'N96') [[18.32992]]
('N44', 'N55') [[18.323616]]
('N123', 'N166') [[18.32156]]
('N96', 'N231') [[18.32061]]
('N201', 'N226') [[18.31213]]
('N123', 'N194') [[18.311987]]
('N129', 'N165') [[18.311783]]
('N95', 'N109') [[18.305319]]
('N134', 'N192') [[18.304949]]
('N14', 'N197') [[18.292212]]
('N113', 'N138') [[18.281265]]
('N81', 'N160') [[18.279554]]
('N84', 'N197') [[18.276152]]
('N34', 'N155') [[18.272213]]
('N113', 'N123') [[18.27036]]
('N96', 'N192') [[18.268913]]
('N192', 'M0P2') [[18.263811]]
('N50', 'N160') [[18.262932]]
('N112', 'N155') [[18.259398]]
('N118', 'N173') [[18.25342]]
('N109', 'N140') [[18.246574]]
('N123', 'N140') [[18.238272]]
('N44', 'N123') [[18.237612]]
('N27', 'N155') [[18.234253]]
('N92', 'N129') [[18.230026]]
('N123', 'N150') [[18.229156]]
('N129', 'N226') [[18.221622]]
('N79', 'N231') [[18.218613]]
('N192', 'N226') [[18.215229]]
('N41', 'N84') [[18.212524]]
('N150', 'N192') [[18.21179]]
('N14', 'N123') [[18.207844]]
('N192', 'N201') [[18.205957]]
('N103', 'N140') [[18.204527]]
('N155', 'N192') [[18.202269]]
('N112', 'N138') [[18.20063]]
('N129', 'N155') [[18.19723]]
('N81', 'N154') [[18.191792]]
('N171', 'N192') [[18.188097]]
('N102', 'N197') [[18.186174]]
('N118', 'N151') [[18.184593]]
('N50', 'N197') [[18.181467]]
('N108', 'N166') [[18.178793]]
('N123', 'N125') [[18.178654]]
('N0', 'N79') [[18.174894]]
('N86', 'N157') [[18.174337]]
('N190', 'N191') [[18.17417]]
('N0', 'N94') [[18.171148]]
('N0', 'N49') [[18.170868]]
('N34', 'N204') [[18.170477]]
