('M0P1', 'M0P2') [[41.31436]]
('N225', 'M0P2') [[21.866856]]
('N225', 'M0P1') [[21.639784]]
('N167', 'M0P2') [[19.873758]]
('N22', 'N161') [[19.793865]]
('N240', 'M0P2') [[19.777302]]
('N161', 'N233') [[19.699257]]
('N161', 'N217') [[19.629995]]
('N29', 'M0P2') [[19.6121]]
('N148', 'N182') [[19.557985]]
('N2', 'N27') [[19.521267]]
('N134', 'N171') [[19.481659]]
('N40', 'N148') [[19.461912]]
('N54', 'N182') [[19.453918]]
('N240', 'M0P1') [[19.44446]]
('N93', 'N198') [[19.42596]]
('N3', 'N231') [[19.41156]]
('N148', 'N192') [[19.408792]]
('N12', 'N240') [[19.387297]]
('N145', 'N233') [[19.373281]]
('N140', 'N192') [[19.352839]]
('N182', 'N230') [[19.321121]]
('N235', 'M0P2') [[19.312561]]
('N161', 'N230') [[19.306849]]
('N231', 'M0P2') [[19.298416]]
('N2', 'N148') [[19.289108]]
('N50', 'N74') [[19.287474]]
('N27', 'N148') [[19.286463]]
('N148', 'N167') [[19.273876]]
('N134', 'N161') [[19.256945]]
('N231', 'N235') [[19.256006]]
('N140', 'N198') [[19.237804]]
('N161', 'N198') [[19.23577]]
('N161', 'N208') [[19.23046]]
('N27', 'N32') [[19.229294]]
('N2', 'N240') [[19.218842]]
('N75', 'N154') [[19.196297]]
('N240', 'N251') [[19.189432]]
('N158', 'N167') [[19.187708]]
('N3', 'M0P2') [[19.17544]]
('N134', 'N230') [[19.173065]]
('N198', 'N240') [[19.154886]]
('N2', 'N33') [[19.152578]]
('N105', 'N203') [[19.1461]]
('N21', 'N240') [[19.141575]]
('N230', 'N240') [[19.139471]]
('N3', 'N182') [[19.135344]]
('N218', 'N240') [[19.134924]]
('N65', 'M0P2') [[19.126474]]
('N234', 'M0P2') [[19.121193]]
('N2', 'M0P2') [[19.117228]]
('N62', 'N218') [[19.110003]]
('N158', 'N176') [[19.109592]]
('N2', 'N167') [[19.103622]]
('N21', 'N75') [[19.100765]]
('N142', 'N148') [[19.0947]]
('N233', 'N240') [[19.079035]]
('N75', 'N167') [[19.07799]]
('N21', 'N32') [[19.072702]]
('N148', 'M0P2') [[19.069605]]
('N134', 'N221') [[19.064922]]
('N167', 'N176') [[19.064283]]
('N62', 'N233') [[19.06325]]
('N50', 'N161') [[19.061598]]
('N89', 'N240') [[19.060549]]
('N3', 'N75') [[19.04988]]
('N18', 'N167') [[19.048023]]
('N0', 'N75') [[19.045244]]
('N41', 'N240') [[19.041985]]
('N173', 'M0P2') [[19.040567]]
('N148', 'N240') [[19.04023]]
('N154', 'N240') [[19.036228]]
('N3', 'N225') [[19.036215]]
('N37', 'N233') [[19.035076]]
('N16', 'N27') [[19.034233]]
('N29', 'M0P1') [[19.034061]]
('N8', 'M0P2') [[19.03084]]
('N148', 'N231') [[19.027178]]
('N203', 'N230') [[19.027163]]
('N203', 'N231') [[19.026976]]
('N65', 'N148') [[19.026508]]
('N134', 'N240') [[19.023926]]
('N28', 'N233') [[19.023514]]
('N54', 'M0P2') [[19.022568]]
('N12', 'M0P1') [[19.018644]]
('N105', 'N225') [[19.016354]]
('N75', 'N161') [[18.998547]]
('N105', 'N134') [[18.995544]]
('N93', 'N240') [[18.995218]]
('N3', 'N145') [[18.987793]]
('N75', 'N240') [[18.98763]]
('N228', 'M0P2') [[18.984713]]
('N62', 'N180') [[18.98434]]
('N233', 'M0P2') [[18.98271]]
('N235', 'N240') [[18.982656]]
('N27', 'N40') [[18.981277]]
('N230', 'M0P2') [[18.977818]]
('N154', 'N200') [[18.974775]]
('N127', 'N148') [[18.973486]]
('N72', 'N230') [[18.96951]]
('N54', 'N148') [[18.966822]]
('N21', 'N94') [[18.962927]]
('N182', 'N217') [[18.960594]]
('N167', 'N225') [[18.959684]]
('N3', 'N20') [[18.959354]]
('N167', 'N230') [[18.957575]]
('N159', 'N161') [[18.955235]]
('N37', 'N161') [[18.948757]]
('N33', 'N148') [[18.948387]]
('N3', 'N233') [[18.94612]]
('N3', 'N40') [[18.945036]]
('N2', 'N171') [[18.94153]]
('N64', 'N161') [[18.937765]]
('N20', 'N240') [[18.936703]]
('N74', 'N180') [[18.93564]]
('N167', 'N231') [[18.933474]]
('N227', 'N240') [[18.92585]]
('N12', 'M0P2') [[18.924019]]
('N95', 'N230') [[18.922993]]
('N190', 'N240') [[18.921354]]
('N41', 'N94') [[18.919195]]
('N12', 'N161') [[18.91768]]
('N138', 'M0P2') [[18.916033]]
('N95', 'N217') [[18.915865]]
('N50', 'N75') [[18.91339]]
('N180', 'N218') [[18.911705]]
('N148', 'N161') [[18.90586]]
('N148', 'N233') [[18.905497]]
('N231', 'N233') [[18.904047]]
('N139', 'N158') [[18.903774]]
('N27', 'N167') [[18.902979]]
('N74', 'N233') [[18.901163]]
('N200', 'N201') [[18.898441]]
('N74', 'N154') [[18.898321]]
('N54', 'N152') [[18.897112]]
('N161', 'N213') [[18.893744]]
('N96', 'M0P2') [[18.893145]]
('N2', 'N161') [[18.892809]]
('N234', 'N240') [[18.891325]]
('N27', 'N198') [[18.890902]]
('N148', 'N237') [[18.889965]]
('N138', 'N167') [[18.8899]]
('N16', 'N40') [[18.888577]]
('N182', 'N240') [[18.888132]]
('N148', 'N219') [[18.887978]]
('N2', 'N78') [[18.886894]]
('N139', 'N240') [[18.886623]]
('N230', 'N233') [[18.885384]]
('N75', 'N201') [[18.885008]]
('N93', 'N169') [[18.884901]]
('N21', 'N50') [[18.883514]]
('N74', 'N78') [[18.882156]]
('N161', 'N231') [[18.880995]]
('N145', 'N192') [[18.880356]]
('N140', 'N167') [[18.880178]]
('N141', 'N145') [[18.879276]]
('N204', 'N230') [[18.876654]]
('N3', 'N18') [[18.876186]]
('N21', 'N54') [[18.875687]]
('N2', 'N154') [[18.873049]]
('N192', 'N240') [[18.87011]]
('N40', 'N230') [[18.869791]]
('N21', 'N233') [[18.869194]]
('N90', 'N161') [[18.867163]]
('N213', 'N231') [[18.86708]]
('N55', 'N233') [[18.86429]]
('N167', 'N240') [[18.863472]]
('N3', 'N230') [[18.863014]]
('N3', 'N180') [[18.86234]]
('N94', 'N218') [[18.858543]]
('N65', 'N167') [[18.855612]]
('N200', 'N240') [[18.854225]]
('N218', 'N223') [[18.851713]]
('N2', 'N35') [[18.84952]]
('N54', 'N161') [[18.849073]]
('N10', 'N230') [[18.843254]]
('N21', 'N87') [[18.842356]]
('N148', 'N230') [[18.842041]]
('N18', 'N40') [[18.840435]]
('N78', 'N201') [[18.839228]]
('N54', 'N62') [[18.835747]]
('N225', 'N231') [[18.835663]]
('N33', 'N161') [[18.834433]]
('N75', 'N217') [[18.833914]]
('N45', 'N200') [[18.832636]]
('N2', 'N230') [[18.83113]]
('N56', 'N213') [[18.830427]]
('N154', 'N201') [[18.829168]]
('N2', 'N16') [[18.82906]]
('N18', 'N235') [[18.828032]]
('N200', 'N218') [[18.82785]]
('N161', 'N200') [[18.826504]]
('N95', 'N161') [[18.825987]]
('N3', 'N218') [[18.825373]]
('N27', 'N142') [[18.824972]]
('N58', 'N161') [[18.824894]]
('N6', 'N95') [[18.822803]]
('N203', 'N240') [[18.82041]]
('N134', 'N148') [[18.819515]]
('N2', 'N192') [[18.81935]]
('N134', 'N200') [[18.819233]]
('N35', 'N148') [[18.819107]]
('N74', 'N218') [[18.818956]]
('N192', 'N203') [[18.817362]]
('N190', 'M0P2') [[18.816616]]
('N217', 'N230') [[18.81541]]
('N138', 'N154') [[18.814121]]
('N3', 'N219') [[18.813486]]
('N12', 'N225') [[18.812706]]
('N2', 'N3') [[18.811802]]
('N3', 'N240') [[18.81013]]
