rs2493292 PRDM16
rs4908678 CAMTA1
rs2252865 RERE
rs3738633 CLCNKA,AL355994.2
rs6686889 AL445648.1
rs1565716 MECR,AL590729.1
rs4660293 PPIEL,SNORA55,PABPC4,PABPC4-AS1
rs12142296 PIK3R3,P3R3URF-PIK3R3
rs4926923 None
rs6681713 MIR4421,MIR6500
rs34517439 DNAJB4,GIPC2
rs2065152 AC093423.3,LRRC8C
rs17396055 ARHGAP29-AS1
rs17030613 CAPZA1
rs12078697 LINC01762
rs1886914 AL139420.1,AL139420.2
rs72704264 CD160
rs12563539 NUP210L,RAB13,RPS27,AL358472.6
rs13796 UBAP2L,HAX1
rs2171690 PBX1,PBX1-AS1
rs7524019 POU2F1
rs12405515 DNM3,PIGC
rs150816167 TDRD5
rs41475048 LAMC1
rs882624 NAV1,IPO9-AS1
rs33996239 ADORA1,AC105940.1
rs2169137 MDM4,AL512306.1
rs2629665 YOD1,PFKFB2
rs12408022 GPATCH2
rs35981664 TGFB2
rs9431431 None
rs6426595 CDC42BPA
rs2760061 WNT3A
rs2004776 AGT,AL512328.1
rs6429422 SDCCAG8
rs4926499 ZNF692,AL672291.1
rs10906391 BEND7
rs1813353 CACNB2
rs1265842 None
rs76164690 EPC1
rs2246438 None
rs34130368 GDF2
rs10761530 ANK3
rs4590817 CABCOCO1
rs10995311 ADO,AC067751.1
rs7090758 REEP3
rs4494250 CYP2C19,AL583836.1
rs603424 PKD2L1
rs72847884 BTRC
rs4387287 STN1
rs191784289 SORCS3
rs111777102 MXI1,AL360182.2
rs1801253 ADRB1
rs72842207 BAG3
rs4411245 CTBP2
rs17224476 OR51E1
rs2929184 CCKBR
rs110419 LMO1
rs10743086 DENND2B
rs360153 SWAP70
rs900145 ARNTL
rs4757391 SOX6
rs11026586 AC055878.1,LINC01495
rs11030119 BDNF,AC103796.1
rs919045 DCDC1
rs1585453 LRP4,LRP4-AS1
rs7103648 RAPSN
rs751984 SYT7,LRRC10B,MIR4488,AP003108.1
rs67976715 None
rs67330701 MYEOV
rs875106 ANO1
rs504217 CLPB,AP000593.4
rs2298807 ARHGEF17
rs4420291 POLD3
rs2450128 GAB2,AP002985.1
rs11021221 AP000820.2
rs633185 ARHGAP42
rs61892344 None
rs12362593 SIK2
rs12574332 None
rs55935819 CACNA1C
rs75507123 AC006206.2
rs7132012 RIMKLB,AC092490.3
rs61912333 AEBP2
rs12579720 LINC02398
rs6487543 SSPN,AC022509.2,AC022509.1
rs7965392 GXYLT1
rs11168245 HDAC7
rs7302981 CERS5,AC074032.1
rs61926181 FAM186A
rs7137749 None
rs521033 FRS2
rs10858966 None
rs11108209 NTN4
rs7134060 CDK17
rs12184466 CCDC63,RPL29P25,AC002375.1
rs3184504 SH2B3,ATXN2
rs35444 None
rs11067763 AC009387.1
rs3898618 RPS27P25
rs28498002 MLXIP
rs1060105 SBNO1
