('M0P1', 'M0P2') [[33.147465]]
('N42', 'N51') [[19.66265]]
('N193', 'N237') [[19.628166]]
('N138', 'N204') [[19.603426]]
('N122', 'N161') [[19.596579]]
('N23', 'N52') [[19.588198]]
('N63', 'N211') [[19.544788]]
('N32', 'N161') [[19.425352]]
('N42', 'N138') [[19.415388]]
('N129', 'N193') [[19.376036]]
('N35', 'N95') [[19.36686]]
('N161', 'N245') [[19.364798]]
('N32', 'N63') [[19.363451]]
('N170', 'N193') [[19.352303]]
('N161', 'N183') [[19.351955]]
('N95', 'N161') [[19.332836]]
('N50', 'N246') [[19.33006]]
('N23', 'N129') [[19.329506]]
('N193', 'N195') [[19.288128]]
('N83', 'N246') [[19.282917]]
('N50', 'N161') [[19.278683]]
('N52', 'N122') [[19.259762]]
('N193', 'N253') [[19.254843]]
('N42', 'N161') [[19.237364]]
('N42', 'N52') [[19.217884]]
('N161', 'N204') [[19.212372]]
('N179', 'N204') [[19.211962]]
('N53', 'N195') [[19.201387]]
('N88', 'N204') [[19.197386]]
('N201', 'N246') [[19.196117]]
('N138', 'N161') [[19.185143]]
('N221', 'N246') [[19.17457]]
('N23', 'N253') [[19.168413]]
('N193', 'N230') [[19.162977]]
('N52', 'N110') [[19.15138]]
('N122', 'N244') [[19.149502]]
('N91', 'N110') [[19.147926]]
('N51', 'N52') [[19.141294]]
('N52', 'N161') [[19.134932]]
('N11', 'N95') [[19.133968]]
('N50', 'N223') [[19.1299]]
('N146', 'N246') [[19.126642]]
('N32', 'N104') [[19.114311]]
('N23', 'N32') [[19.109818]]
('N52', 'N95') [[19.10666]]
('N23', 'N245') [[19.103682]]
('N23', 'N246') [[19.101484]]
('N52', 'N129') [[19.096914]]
('N90', 'N122') [[19.095524]]
('N122', 'N193') [[19.091803]]
('N95', 'N122') [[19.082617]]
('N52', 'N59') [[19.078335]]
('N179', 'N228') [[19.073547]]
('N122', 'N246') [[19.071608]]
('N18', 'N193') [[19.070404]]
('N218', 'N246') [[19.058372]]
('N30', 'N179') [[19.054714]]
('N63', 'N95') [[19.046684]]
('N35', 'N179') [[19.041035]]
('N34', 'N236') [[19.037542]]
('N91', 'N129') [[19.031136]]
('N23', 'N36') [[19.030813]]
('N70', 'N122') [[19.028776]]
('N122', 'N204') [[19.027624]]
('N204', 'N246') [[19.025576]]
('N138', 'N236') [[19.020742]]
('N113', 'N161') [[19.020216]]
('N63', 'N122') [[19.018919]]
('N161', 'N185') [[19.014172]]
('N113', 'N245') [[19.014101]]
('N83', 'N193') [[19.014044]]
('N229', 'N246') [[19.012993]]
('N135', 'N253') [[19.00989]]
('N11', 'N113') [[19.002728]]
('N63', 'N203') [[18.993656]]
('N122', 'N222') [[18.991402]]
('N161', 'N247') [[18.988115]]
('N23', 'N91') [[18.987658]]
('N52', 'N134') [[18.986399]]
('N51', 'N161') [[18.98449]]
('N32', 'N42') [[18.984007]]
('N85', 'N161') [[18.978998]]
('N195', 'N229') [[18.978022]]
('N52', 'N133') [[18.977808]]
('N161', 'N194') [[18.976427]]
('N32', 'N228') [[18.976088]]
('N0', 'N122') [[18.973797]]
('N246', 'M0P1') [[18.97317]]
('N64', 'N83') [[18.971794]]
('N179', 'N194') [[18.969994]]
('N113', 'N193') [[18.964073]]
('N42', 'N251') [[18.962439]]
('N113', 'N237') [[18.95763]]
('N109', 'N161') [[18.956478]]
('N42', 'N122') [[18.956476]]
('N154', 'N246') [[18.956472]]
('N85', 'N236') [[18.953615]]
('N23', 'N194') [[18.95322]]
('N110', 'N179') [[18.952784]]
('N0', 'N246') [[18.94972]]
('N32', 'N138') [[18.948456]]
('N122', 'N201') [[18.947548]]
('N32', 'N51') [[18.947214]]
('N178', 'N195') [[18.945148]]
('N138', 'N151') [[18.944319]]
('N63', 'N246') [[18.942982]]
('N59', 'N204') [[18.942585]]
('N95', 'N246') [[18.94113]]
('N40', 'N42') [[18.937866]]
('N134', 'N186') [[18.936874]]
('N64', 'N161') [[18.936321]]
('N129', 'N195') [[18.933205]]
('N51', 'N245') [[18.927248]]
('N133', 'N161') [[18.924183]]
('N32', 'N246') [[18.922556]]
('N122', 'N139') [[18.92119]]
('N42', 'N141') [[18.920069]]
('N246', 'N247') [[18.917822]]
('N42', 'N59') [[18.912413]]
('N164', 'N236') [[18.911095]]
('N178', 'N193') [[18.910755]]
('N151', 'N245') [[18.908606]]
('N193', 'N236') [[18.906368]]
('N50', 'N134') [[18.902817]]
('N23', 'N138') [[18.901659]]
('N110', 'N122') [[18.90147]]
('N122', 'N134') [[18.90049]]
('N42', 'N246') [[18.898682]]
('N63', 'N137') [[18.897734]]
('N161', 'N246') [[18.89762]]
('N179', 'N215') [[18.896845]]
('N32', 'N163') [[18.893185]]
('N211', 'N228') [[18.890625]]
('N130', 'N193') [[18.890108]]
('N161', 'N229') [[18.88664]]
('N204', 'N221') [[18.884708]]
('N143', 'N237') [[18.881594]]
('N110', 'N246') [[18.881214]]
('N122', 'N176') [[18.88068]]
('N30', 'N237') [[18.87924]]
('N170', 'N236') [[18.87741]]
('N138', 'N195') [[18.87397]]
('N228', 'N237') [[18.872622]]
('N95', 'N133') [[18.872213]]
('N143', 'N228') [[18.869774]]
('N129', 'N236') [[18.867191]]
('N109', 'N113') [[18.863094]]
