('M0P1', 'M0P2') [[37.23092]]
('N49', 'N65') [[19.463839]]
('N85', 'N100') [[19.446371]]
('N100', 'N227') [[19.421164]]
('N106', 'N149') [[19.329124]]
('N106', 'N202') [[19.31781]]
('N149', 'N246') [[19.274254]]
('N174', 'N227') [[19.256088]]
('N149', 'N245') [[19.242552]]
('N224', 'N245') [[19.216549]]
('N134', 'N227') [[19.204384]]
('N65', 'N77') [[19.185678]]
('N65', 'N104') [[19.180878]]
('N32', 'N85') [[19.168089]]
('N106', 'N245') [[19.1522]]
('N10', 'N85') [[19.14859]]
('N211', 'N237') [[19.14808]]
('N85', 'N162') [[19.13652]]
('N72', 'N149') [[19.120663]]
('N149', 'N227') [[19.119173]]
('N65', 'N202') [[19.110596]]
('N168', 'N245') [[19.109432]]
('N65', 'N106') [[19.097376]]
('N170', 'N202') [[19.095888]]
('N65', 'N224') [[19.090471]]
('N17', 'N85') [[19.089527]]
('N32', 'N227') [[19.08641]]
('N141', 'N224') [[19.065306]]
('N106', 'N246') [[19.05666]]
('N36', 'N149') [[19.056147]]
('N85', 'N227') [[19.05037]]
('N85', 'N125') [[19.04776]]
('N23', 'N149') [[19.045973]]
('N32', 'N211') [[19.043697]]
('N149', 'N181') [[19.031124]]
('N85', 'N190') [[19.029057]]
('N133', 'N149') [[19.0213]]
('N85', 'N252') [[19.015015]]
('N149', 'N183') [[19.013819]]
('N85', 'N212') [[19.00906]]
('N64', 'N224') [[19.00582]]
('N149', 'N224') [[19.002707]]
('N149', 'N242') [[18.989195]]
('N32', 'N35') [[18.984528]]
('N149', 'N179') [[18.980795]]
('N31', 'N172') [[18.980247]]
('N65', 'N171') [[18.977777]]
('N65', 'N245') [[18.975864]]
('N13', 'N85') [[18.973963]]
('N134', 'N149') [[18.970465]]
('N4', 'N65') [[18.969559]]
('N202', 'N245') [[18.968203]]
('N49', 'N72') [[18.965796]]
('N211', 'N245') [[18.959425]]
('N106', 'N138') [[18.958654]]
('N141', 'N149') [[18.954664]]
('N171', 'N227') [[18.94721]]
('N134', 'N138') [[18.94617]]
('N168', 'N171') [[18.940693]]
('N65', 'N103') [[18.934633]]
('N64', 'N65') [[18.924728]]
('N165', 'N202') [[18.922056]]
('N18', 'N85') [[18.92121]]
('N60', 'N138') [[18.919798]]
('N107', 'N246') [[18.918913]]
('N138', 'N227') [[18.91151]]
('N124', 'N149') [[18.911358]]
('N17', 'N165') [[18.907406]]
('N85', 'N170') [[18.906199]]
('N17', 'N107') [[18.905745]]
('N4', 'N245') [[18.901972]]
('N224', 'N246') [[18.89586]]
('N58', 'N227') [[18.887018]]
('N35', 'N65') [[18.886547]]
('N85', 'N202') [[18.884672]]
('N32', 'N149') [[18.875313]]
('N85', 'N107') [[18.869982]]
('N107', 'N183') [[18.869799]]
('N149', 'N233') [[18.86827]]
('N23', 'N183') [[18.866755]]
('N23', 'N49') [[18.859867]]
('N87', 'N149') [[18.859163]]
('N65', 'N178') [[18.859018]]
('N60', 'N134') [[18.858675]]
('N7', 'N168') [[18.858242]]
('N77', 'N182') [[18.85783]]
('N5', 'N85') [[18.85389]]
('N227', 'N242') [[18.853445]]
('N65', 'N111') [[18.853321]]
('N4', 'N77') [[18.852194]]
('N149', 'N172') [[18.8521]]
('N211', 'N227') [[18.851025]]
('N224', 'N227') [[18.84883]]
('N85', 'N87') [[18.845093]]
('N82', 'N246') [[18.833466]]
('N85', 'N194') [[18.831102]]
('N49', 'N181') [[18.828308]]
('N65', 'N211') [[18.824564]]
('N107', 'N184') [[18.821724]]
('N23', 'N65') [[18.816196]]
('N49', 'N202') [[18.8107]]
('N65', 'N183') [[18.808851]]
('N128', 'N211') [[18.806494]]
('N181', 'N211') [[18.805592]]
('N65', 'N101') [[18.801657]]
('N7', 'N107') [[18.798977]]
('N60', 'N182') [[18.795935]]
('N4', 'N106') [[18.794937]]
('N85', 'N237') [[18.792202]]
('N85', 'N103') [[18.78933]]
('N107', 'N168') [[18.784296]]
('N43', 'N58') [[18.78174]]
('N54', 'N131') [[18.780128]]
('N5', 'N131') [[18.778961]]
('N49', 'N106') [[18.778458]]
('N149', 'N156') [[18.777382]]
('N107', 'N202') [[18.776812]]
('N85', 'N154') [[18.775229]]
('N42', 'N227') [[18.773268]]
('N52', 'N92') [[18.772678]]
