('M0P1', 'M0P2') [[70.19638]]
('N87', 'M0P1') [[20.535011]]
('N87', 'M0P2') [[20.136757]]
('N92', 'M0P2') [[19.71926]]
('N92', 'M0P1') [[19.315071]]
('N196', 'M0P1') [[19.297678]]
('N29', 'N92') [[19.133904]]
('N87', 'N92') [[19.009926]]
('N102', 'N177') [[18.983244]]
('N14', 'N102') [[18.97644]]
('N67', 'N237') [[18.964897]]
('N224', 'N237') [[18.939997]]
('N95', 'N237') [[18.93703]]
('N67', 'N177') [[18.907133]]
('N196', 'M0P2') [[18.897633]]
('N232', 'M0P2') [[18.81003]]
('N95', 'N203') [[18.805786]]
('N119', 'N177') [[18.788706]]
('N14', 'N237') [[18.74686]]
('N205', 'N225') [[18.717638]]
('N92', 'N177') [[18.715197]]
('N17', 'N92') [[18.712332]]
('N91', 'N177') [[18.703358]]
('N196', 'N232') [[18.702354]]
('N102', 'N237') [[18.679565]]
('N203', 'N237') [[18.67569]]
('N92', 'N203') [[18.670166]]
('N199', 'N237') [[18.658792]]
('N132', 'N177') [[18.643896]]
('N92', 'N237') [[18.642664]]
('N95', 'N199') [[18.640743]]
('N65', 'N237') [[18.632654]]
('N67', 'N145') [[18.623678]]
('N177', 'N224') [[18.623135]]
('N177', 'N212') [[18.614029]]
('N177', 'N237') [[18.61046]]
('N27', 'N203') [[18.610247]]
('N65', 'N145') [[18.605068]]
('N102', 'N203') [[18.590723]]
('N91', 'N203') [[18.588123]]
('N14', 'N67') [[18.585863]]
('N177', 'N203') [[18.583519]]
('N197', 'N203') [[18.580187]]
('N145', 'N177') [[18.564072]]
('N65', 'N177') [[18.56239]]
('N135', 'N237') [[18.561052]]
('N64', 'N74') [[18.556753]]
('N7', 'N98') [[18.55287]]
('N156', 'N177') [[18.53316]]
('N163', 'N203') [[18.532385]]
('N11', 'N252') [[18.531256]]
('N69', 'N237') [[18.529436]]
('N158', 'N252') [[18.528294]]
('N8', 'N145') [[18.526539]]
('N74', 'N95') [[18.524223]]
('N95', 'N224') [[18.52384]]
('N92', 'N102') [[18.522411]]
('N232', 'N237') [[18.52235]]
('N74', 'N188') [[18.518963]]
('N64', 'N158') [[18.514627]]
('N38', 'N92') [[18.50988]]
('N14', 'N173') [[18.5078]]
('N92', 'N132') [[18.505148]]
('N177', 'N225') [[18.500412]]
('N232', 'M0P1') [[18.492529]]
('N7', 'N91') [[18.486017]]
('N52', 'N116') [[18.47457]]
('N203', 'N222') [[18.462307]]
('N67', 'N112') [[18.45972]]
('N52', 'N132') [[18.454365]]
('N29', 'N203') [[18.44894]]
('N163', 'N224') [[18.43644]]
('N95', 'N225') [[18.429502]]
('N203', 'N224') [[18.42719]]
('N156', 'N203') [[18.42117]]
('N33', 'N203') [[18.417934]]
('N224', 'N246') [[18.416098]]
('N14', 'N38') [[18.412704]]
('N65', 'N67') [[18.412596]]
('N189', 'N237') [[18.410837]]
('N95', 'N177') [[18.410421]]
('N52', 'N203') [[18.408682]]
('N14', 'N119') [[18.406673]]
('N63', 'N237') [[18.406618]]
('N91', 'N95') [[18.404106]]
('N53', 'N177') [[18.403872]]
('N141', 'N203') [[18.402838]]
('N225', 'N237') [[18.40232]]
('N74', 'M0P1') [[18.399347]]
('N17', 'N36') [[18.399326]]
('N177', 'N197') [[18.397219]]
('N184', 'N237') [[18.394663]]
('N224', 'N242') [[18.39115]]
('N33', 'N92') [[18.385973]]
('N131', 'N225') [[18.384388]]
('N14', 'N225') [[18.382608]]
('N14', 'N238') [[18.375175]]
('N7', 'N237') [[18.37505]]
('N112', 'N158') [[18.373655]]
('N14', 'N156') [[18.373135]]
('N92', 'N147') [[18.368645]]
('N7', 'N14') [[18.368608]]
('N64', 'N237') [[18.367964]]
('N55', 'N74') [[18.361082]]
('N158', 'N177') [[18.356663]]
('N112', 'N237') [[18.353424]]
('N14', 'N53') [[18.351181]]
('N52', 'N92') [[18.34728]]
('N67', 'N200') [[18.346176]]
('N55', 'N92') [[18.344055]]
('N77', 'N145') [[18.339596]]
('N74', 'N99') [[18.338104]]
('N65', 'N252') [[18.336052]]
('N116', 'N192') [[18.335175]]
('N50', 'N237') [[18.333944]]
('N197', 'N237') [[18.333221]]
('N132', 'N158') [[18.332209]]
('N64', 'N227') [[18.330841]]
('N158', 'N172') [[18.330318]]
('N74', 'N163') [[18.32822]]
('N36', 'N225') [[18.32593]]
('N7', 'N74') [[18.323801]]
('N141', 'N184') [[18.321255]]
('N132', 'N190') [[18.317715]]
('N74', 'N108') [[18.31497]]
('N26', 'N203') [[18.311123]]
('N145', 'N205') [[18.310717]]
('N7', 'N203') [[18.308994]]
('N67', 'N95') [[18.308067]]
('N105', 'N145') [[18.306705]]
('N59', 'N64') [[18.305454]]
('N14', 'N130') [[18.30414]]
('N187', 'N224') [[18.303917]]
('N38', 'N250') [[18.303774]]
('N74', 'N141') [[18.302872]]
('N86', 'N116') [[18.302328]]
('N67', 'N110') [[18.30016]]
('N21', 'N237') [[18.297417]]
('N145', 'N225') [[18.293007]]
('N92', 'N239') [[18.291502]]
('N86', 'N237') [[18.287012]]
('N29', 'N237') [[18.285091]]
('N214', 'N225') [[18.283327]]
('N7', 'N242') [[18.282299]]
('N102', 'N132') [[18.28201]]
('N64', 'N222') [[18.280916]]
('N11', 'N203') [[18.280079]]
('N33', 'N67') [[18.279234]]
('N74', 'N87') [[18.279182]]
('N92', 'N95') [[18.279123]]
('N65', 'N232') [[18.273376]]
('N102', 'N227') [[18.271317]]
('N74', 'N237') [[18.270153]]
('N79', 'N177') [[18.267763]]
('N95', 'N132') [[18.266]]
('N118', 'N237') [[18.265242]]
('N102', 'N112') [[18.26498]]
('N31', 'N158') [[18.264835]]
('N14', 'N203') [[18.264093]]
('N90', 'N237') [[18.263813]]
('N21', 'N203') [[18.263626]]
('N156', 'N237') [[18.263218]]
('N183', 'N237') [[18.262497]]
('N163', 'N177') [[18.257654]]
('N195', 'N225') [[18.256718]]
('N67', 'N173') [[18.255905]]
('N91', 'N145') [[18.254395]]
('N38', 'N158') [[18.25432]]
('N33', 'N197') [[18.253923]]
('N29', 'N74') [[18.25258]]
('N139', 'N251') [[18.252476]]
('N203', 'N207') [[18.249731]]
('N95', 'N96') [[18.248297]]
('N14', 'N52') [[18.247255]]
('N65', 'N91') [[18.246641]]
('N14', 'N252') [[18.246597]]
('N203', 'N204') [[18.24611]]
('N108', 'N237') [[18.245874]]
('N158', 'N253') [[18.24371]]
('N171', 'N237') [[18.241354]]
('N92', 'N240') [[18.241032]]
('N58', 'N92') [[18.240997]]
('N141', 'N145') [[18.238369]]
('N102', 'N188') [[18.235096]]
('N162', 'N237') [[18.234962]]
('N29', 'N177') [[18.234812]]
('N177', 'N231') [[18.23371]]
('N74', 'N139') [[18.229115]]
('N92', 'N174') [[18.227251]]
('N7', 'N11') [[18.22684]]
('N11', 'N158') [[18.226288]]
('N92', 'N238') [[18.225565]]
('N67', 'N203') [[18.219217]]
('N141', 'N238') [[18.215582]]
('N4', 'N74') [[18.215466]]
('N95', 'N242') [[18.214642]]
('N87', 'N177') [[18.213608]]
('N99', 'N177') [[18.213148]]
('N95', 'N200') [[18.211338]]
