('M0P1', 'M0P2') [[36.49033]]
('N126', 'N247') [[19.641485]]
('N10', 'N76') [[19.439102]]
('N10', 'N213') [[19.365696]]
('N3', 'N173') [[19.35326]]
('N130', 'N173') [[19.346912]]
('N20', 'N173') [[19.33207]]
('N62', 'N147') [[19.322075]]
('N32', 'N246') [[19.304735]]
('N137', 'N143') [[19.298967]]
('N62', 'N246') [[19.28505]]
('N70', 'N247') [[19.246405]]
('N10', 'N71') [[19.198162]]
('N173', 'N246') [[19.195627]]
('N187', 'N252') [[19.195232]]
('N58', 'N97') [[19.192303]]
('N28', 'N32') [[19.192043]]
('N18', 'N173') [[19.190754]]
('N94', 'N203') [[19.189304]]
('N95', 'N240') [[19.188223]]
('N32', 'N60') [[19.181751]]
('N97', 'N246') [[19.175367]]
('N246', 'N247') [[19.16964]]
('N3', 'N88') [[19.16787]]
('N71', 'N173') [[19.166882]]
('N10', 'N32') [[19.162403]]
('N10', 'N212') [[19.159552]]
('N26', 'N44') [[19.15702]]
('N3', 'N32') [[19.147345]]
('N10', 'N95') [[19.146278]]
('N3', 'N203') [[19.12598]]
('N10', 'N110') [[19.122711]]
('N2', 'N10') [[19.122065]]
('N10', 'N87') [[19.115898]]
('N26', 'N76') [[19.10829]]
('N88', 'N136') [[19.107477]]
('N62', 'N247') [[19.10542]]
('N130', 'N246') [[19.104872]]
('N10', 'N22') [[19.103445]]
('N97', 'N214') [[19.101824]]
('N10', 'N88') [[19.077837]]
('N212', 'N213') [[19.072914]]
('N10', 'N153') [[19.071335]]
('N34', 'N52') [[19.069883]]
('N10', 'N39') [[19.068314]]
('N10', 'N26') [[19.063986]]
('N53', 'N246') [[19.061916]]
('N97', 'N104') [[19.061672]]
('N57', 'N97') [[19.051565]]
('N10', 'N113') [[19.047853]]
('N173', 'N175') [[19.047802]]
('N26', 'N173') [[19.046947]]
('N3', 'N189') [[19.04628]]
('N34', 'N131') [[19.03911]]
('N67', 'N173') [[19.037407]]
('N20', 'N137') [[19.0329]]
('N136', 'N246') [[19.03253]]
('N147', 'N212') [[19.031246]]
('N3', 'N26') [[19.027617]]
('N10', 'N232') [[19.025087]]
('N213', 'N246') [[19.019981]]
('N39', 'N50') [[19.019835]]
('N3', 'N53') [[19.018545]]
('N50', 'N95') [[19.015795]]
('N50', 'N246') [[19.012667]]
('N10', 'N24') [[19.012186]]
('N10', 'N137') [[19.010513]]
('N10', 'N160') [[19.004906]]
('N20', 'N93') [[19.004847]]
('N148', 'N246') [[18.996712]]
('N62', 'N143') [[18.995127]]
('N51', 'N246') [[18.993263]]
('N203', 'N246') [[18.991701]]
('N10', 'N208') [[18.991339]]
('N10', 'N237') [[18.990461]]
('N32', 'N203') [[18.987555]]
('N55', 'N212') [[18.985687]]
('N3', 'N20') [[18.982458]]
('N10', 'N230') [[18.981434]]
('N10', 'N86') [[18.98021]]
('N18', 'N175') [[18.979954]]
('N73', 'N167') [[18.97791]]
('N114', 'N246') [[18.977541]]
('N203', 'N247') [[18.975746]]
('N29', 'N246') [[18.974092]]
('N71', 'N203') [[18.970282]]
('N76', 'N214') [[18.970224]]
('N44', 'N52') [[18.969145]]
('N29', 'N93') [[18.9629]]
('N50', 'N143') [[18.961987]]
('N53', 'N173') [[18.960045]]
('N109', 'N148') [[18.95933]]
('N88', 'N139') [[18.956806]]
('N3', 'N150') [[18.955383]]
('N88', 'N239') [[18.953344]]
('N3', 'N97') [[18.951967]]
('N10', 'N206') [[18.950607]]
('N143', 'N169') [[18.947834]]
('N20', 'N58') [[18.946844]]
('N44', 'N153') [[18.943262]]
('N202', 'N247') [[18.942488]]
('N114', 'N154') [[18.937372]]
('N20', 'N189') [[18.936012]]
('N93', 'N169') [[18.929697]]
('N133', 'N173') [[18.929302]]
('N32', 'N212') [[18.928411]]
('N53', 'N203') [[18.927843]]
('N62', 'N214') [[18.924845]]
('N88', 'N247') [[18.924007]]
('N26', 'N93') [[18.923037]]
('N44', 'N62') [[18.92266]]
('N177', 'N187') [[18.92198]]
('N10', 'N173') [[18.920187]]
('N49', 'N88') [[18.919891]]
('N20', 'N212') [[18.919205]]
('N10', 'N239') [[18.9192]]
('N44', 'N93') [[18.91822]]
('N189', 'N247') [[18.9172]]
('N52', 'N230') [[18.916386]]
('N9', 'N88') [[18.916311]]
('N3', 'N28') [[18.913685]]
('N71', 'N88') [[18.911285]]
('N20', 'N62') [[18.91081]]
('N39', 'N51') [[18.906769]]
('N26', 'N110') [[18.905045]]
('N137', 'N212') [[18.904524]]
('N55', 'N151') [[18.903618]]
('N0', 'N113') [[18.899649]]
('N32', 'N136') [[18.897623]]
('N102', 'N213') [[18.894064]]
('N10', 'N152') [[18.89071]]
('N10', 'N143') [[18.88942]]
('N52', 'N114') [[18.888824]]
('N57', 'N203') [[18.88825]]
('N87', 'N203') [[18.887516]]
('N152', 'N246') [[18.886576]]
('N17', 'N110') [[18.886412]]
('N93', 'N189') [[18.884624]]
('N126', 'N147') [[18.88424]]
('N28', 'N156') [[18.884165]]
('N93', 'N153') [[18.883102]]
('N71', 'N229') [[18.881113]]
('N55', 'N246') [[18.880272]]
('N20', 'N156') [[18.880148]]
('N173', 'N247') [[18.879835]]
('N20', 'N147') [[18.879484]]
('N44', 'N173') [[18.879026]]
('N97', 'N203') [[18.877394]]
('N26', 'N214') [[18.87675]]
('N62', 'N203') [[18.87579]]
('N52', 'N57') [[18.875385]]
('N136', 'N137') [[18.875166]]
('N50', 'N212') [[18.874758]]
('N88', 'N187') [[18.871737]]
('N9', 'N26') [[18.870214]]
('N50', 'N84') [[18.868858]]
('N44', 'N246') [[18.8683]]
('N39', 'N74') [[18.867004]]
('N26', 'N213') [[18.866877]]
('N213', 'N225') [[18.866253]]
('N10', 'N20') [[18.865204]]
('N10', 'N66') [[18.864368]]
('N22', 'N203') [[18.862736]]
('N44', 'N189') [[18.862654]]
('N73', 'N246') [[18.861633]]
('N32', 'N44') [[18.858728]]
('N189', 'N203') [[18.858692]]
('N32', 'N50') [[18.857876]]
('N45', 'N252') [[18.857735]]
('N0', 'N10') [[18.857664]]
('N49', 'N203') [[18.856422]]
('N175', 'N230') [[18.85587]]
('N153', 'N173') [[18.854881]]
('N175', 'N246') [[18.854227]]
('N10', 'N49') [[18.854082]]
('N62', 'N71') [[18.853632]]
('N130', 'M0P1') [[18.853195]]
('N93', 'N213') [[18.853054]]
('N45', 'N62') [[18.852734]]
('N97', 'N213') [[18.852245]]
('N32', 'N84') [[18.84955]]
('N26', 'N70') [[18.84926]]
('N26', 'N247') [[18.84872]]
('N62', 'N110') [[18.846535]]
('N76', 'N94') [[18.845718]]
